Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Water,Built-up,Shrubland,Lichens_and_Mosses,Wetland,Non_Wetland
AFRICA_2024_WorldCover_2021_36QUD_M_R,Shrubland,1,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QUD_M_R,Grassland,0,2,2,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QUD_M_R,Cropland,6,0,8,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QUD_M_R,Lichens_and_Mosses,1,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QUD_M_R,Bareland,12,14,0,0,1,2,0,0,0,0
AFRICA_2024_WorldCover_2021_36QUD_M_R,Built-up,2,1,3,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QUD_M_R,Forest,1,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QUD_M_R,Wetland,0,0,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QUD_M_R,Water,4,6,6,0,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36QUD_M_R,Cropland,5,0,3,1,0,4,5,3,0,0
AFRICA_2024_GLC_FCS30D_2022_36QUD_M_R,Wetland,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36QUD_M_R,Bareland,8,3,0,2,0,9,10,5,0,0
AFRICA_2024_GLC_FCS30D_2022_36QUD_M_R,Built-up,0,0,1,0,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36QUD_M_R,Water,4,2,3,2,0,2,3,1,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36QUD_M_R,Grassland,0,2,1,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36QUD_M_R,Bareland,0,9,0,2,0,1,0,0,2,0
AFRICA_2024_ESRI_Annual_LULC_2024_36QUD_M_R,Built-up,0,0,1,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36QUD_M_R,Water,0,1,1,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36QUD_M_R,Bareland,0,0,0,0,0,0,0,0,0,2
AFRICA_2024_GWL_FCS30D_2022_36QUD_M_R,Wetland,0,0,0,0,0,0,0,0,0,1
AFRICA_2024_GSW_Yearly_2021_36QUD_M_R,Bareland,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36QUD_M_R,Grassland,0,1,2,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36QUD_M_R,Bareland,0,2,0,0,6,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36QUD_M_R,Cropland,0,0,6,0,4,0,0,0,0,0
