Dataset,MajorityClass,Grassland,Bareland,Cropland,Built-up,Forest,Water,Shrubland,Lichens_and_Mosses,Wetland
AFRICA_2024_WorldCover_2021_36PXC_M_R,Shrubland,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PXC_M_R,Grassland,0,1,2,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PXC_M_R,Cropland,27,21,0,2,3,5,0,0,0
AFRICA_2024_WorldCover_2021_36PXC_M_R,Bareland,29,0,22,8,1,13,0,0,0
AFRICA_2024_WorldCover_2021_36PXC_M_R,Built-up,6,7,6,0,1,0,0,0,0
AFRICA_2024_WorldCover_2021_36PXC_M_R,Wetland,0,1,0,0,0,1,0,0,0
AFRICA_2024_WorldCover_2021_36PXC_M_R,Water,3,21,17,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PXC_M_R,Forest,1,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PXC_M_R,Grassland,0,5,2,3,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PXC_M_R,Cropland,0,30,0,5,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PXC_M_R,Bareland,0,0,13,13,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PXC_M_R,Water,0,29,6,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PXC_M_R,Wetland,0,1,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PXC_M_R,Built-up,0,1,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PXC_M_R,Forest,0,0,2,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36PXC_M_R,Cropland,21,8,0,12,0,1,11,7,0
AFRICA_2024_GLC_FCS30D_2022_36PXC_M_R,Bareland,28,0,14,21,0,0,19,8,3
AFRICA_2024_GLC_FCS30D_2022_36PXC_M_R,Built-up,6,3,1,0,0,0,2,1,0
AFRICA_2024_GLC_FCS30D_2022_36PXC_M_R,Water,19,16,14,4,0,0,8,0,8
AFRICA_2024_GLC_FCS30D_2022_36PXC_M_R,Forest,1,1,1,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PXC_M_R,Built-up,0,0,0,0,0,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PXC_M_R,Grassland,0,0,0,0,0,3,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PXC_M_R,Cropland,0,0,0,0,0,17,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PXC_M_R,Bareland,0,0,0,0,0,29,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PXC_M_R,Wetland,0,0,0,0,0,1,0,0,0
AFRICA_2024_DynamicWorld_2024_36PXC_M_R,Cropland,1,10,0,0,1,1,0,0,0
AFRICA_2024_DynamicWorld_2024_36PXC_M_R,Grassland,0,5,6,0,0,1,0,0,0
AFRICA_2024_DynamicWorld_2024_36PXC_M_R,Water,0,3,2,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PXC_M_R,Bareland,0,0,14,0,0,8,0,0,0
AFRICA_2024_DynamicWorld_2024_36PXC_M_R,Built-up,0,6,5,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PXC_M_R,Wetland,0,0,1,0,0,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PXC_M_R,Cropland,0,0,0,0,0,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PXC_M_R,Bareland,0,0,0,0,0,0,0,0,3
AFRICA_2024_GWL_FCS30D_2022_36PXC_M_R,Water,0,0,0,0,0,0,0,0,8
