Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Water,Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Non_Wetland
AFRICA_2024_WorldCover_2021_38PKR_M_R,Shrubland,3,3,1,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKR_M_R,Grassland,0,20,5,2,7,1,8,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKR_M_R,Cropland,61,0,37,26,27,21,10,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKR_M_R,Lichens_and_Mosses,1,1,1,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKR_M_R,Bareland,31,26,0,15,3,5,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKR_M_R,Built-up,9,10,7,0,7,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKR_M_R,Water,19,26,19,3,0,0,10,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKR_M_R,Forest,32,43,18,15,0,0,12,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKR_M_R,Wetland,4,7,0,0,0,5,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKR_M_R,Shrubland,0,0,0,0,0,2,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKR_M_R,Grassland,0,0,0,0,0,7,0,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKR_M_R,Cropland,0,0,0,0,0,57,0,6,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKR_M_R,Bareland,0,0,0,0,0,8,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKR_M_R,Forest,0,0,0,0,0,8,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKR_M_R,Wetland,0,0,0,0,0,5,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKR_M_R,Water,0,0,0,0,0,0,0,4,0,0,0
AFRICA_2024_GLC_FCS30D_2022_38PKR_M_R,Water,30,18,15,1,7,0,6,0,23,0,0
AFRICA_2024_GLC_FCS30D_2022_38PKR_M_R,Cropland,54,0,43,30,35,11,7,0,56,15,0
AFRICA_2024_GLC_FCS30D_2022_38PKR_M_R,Wetland,0,1,4,0,5,1,0,0,3,0,0
AFRICA_2024_GLC_FCS30D_2022_38PKR_M_R,Bareland,33,23,0,14,9,1,0,0,32,6,0
AFRICA_2024_GLC_FCS30D_2022_38PKR_M_R,Built-up,8,7,6,0,5,1,0,0,8,2,0
AFRICA_2024_GLC_FCS30D_2022_38PKR_M_R,Forest,23,27,22,13,0,1,2,0,30,8,0
AFRICA_2024_GLC_FCS30D_2022_38PKR_M_R,Grassland,0,16,8,5,12,0,0,0,14,3,0
AFRICA_2024_GWL_FCS30D_2022_38PKR_M_R,Forest,0,0,0,0,0,1,2,0,0,0,30
AFRICA_2024_GWL_FCS30D_2022_38PKR_M_R,Wetland,0,0,0,0,0,1,0,0,0,0,13
AFRICA_2024_GWL_FCS30D_2022_38PKR_M_R,Cropland,0,0,0,0,0,11,7,0,0,0,24
AFRICA_2024_GWL_FCS30D_2022_38PKR_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_38PKR_M_R,Grassland,0,0,0,0,0,0,0,0,0,0,10
AFRICA_2024_GWL_FCS30D_2022_38PKR_M_R,Water,0,0,0,0,0,0,6,0,0,0,5
AFRICA_2024_GWL_FCS30D_2022_38PKR_M_R,Bareland,0,0,0,0,0,1,0,0,0,0,2
AFRICA_2024_ESRI_Annual_LULC_2024_38PKR_M_R,Water,0,31,3,1,4,0,3,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKR_M_R,Grassland,0,21,2,11,18,4,2,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKR_M_R,Bareland,0,25,0,22,15,12,2,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKR_M_R,Built-up,0,3,2,0,1,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKR_M_R,Forest,0,28,0,26,0,4,15,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKR_M_R,Cropland,0,0,12,35,42,12,14,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKR_M_R,Wetland,0,0,0,0,3,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKR_M_R,Cropland,17,0,13,0,19,12,1,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKR_M_R,Forest,10,12,3,0,0,1,3,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKR_M_R,Water,4,15,5,0,5,0,1,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKR_M_R,Wetland,2,3,2,0,1,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKR_M_R,Grassland,0,6,8,0,2,4,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKR_M_R,Bareland,0,5,0,0,1,3,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKR_M_R,Built-up,0,10,10,0,6,2,0,0,0,0,0
