Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Water,Non_Water,Shrubland,Lichens_and_Mosses,Wetland,Non_Wetland,Permanent_ice_and_snow
AFRICA_2024_WorldCover_2021_37NCE_M_R,Shrubland,3,1,1,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NCE_M_R,Grassland,0,5,5,1,3,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NCE_M_R,Cropland,35,0,15,0,10,2,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NCE_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NCE_M_R,Bareland,33,2,0,3,3,2,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NCE_M_R,Built-up,7,0,4,0,2,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NCE_M_R,Water,33,0,21,0,4,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NCE_M_R,Forest,35,9,3,2,0,4,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NCE_M_R,Wetland,6,0,0,0,5,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NCE_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NCE_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NCE_M_R,Grassland,0,0,0,0,0,8,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NCE_M_R,Bareland,0,0,0,0,0,19,4,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NCE_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NCE_M_R,Water,0,0,0,0,0,0,7,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NCE_M_R,Forest,0,0,0,0,0,9,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NCE_M_R,Cropland,0,0,0,0,0,9,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37NCE_M_R,Cropland,20,0,19,15,5,0,0,22,3,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37NCE_M_R,Wetland,1,0,11,0,2,0,0,3,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37NCE_M_R,Bareland,19,1,0,14,1,1,0,15,0,5,0,0
AFRICA_2024_GLC_FCS30D_2022_37NCE_M_R,Built-up,3,1,3,0,1,0,0,4,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37NCE_M_R,Water,16,2,26,10,3,0,0,9,2,7,0,0
AFRICA_2024_GLC_FCS30D_2022_37NCE_M_R,Forest,15,13,21,13,0,4,0,26,8,2,0,0
AFRICA_2024_GLC_FCS30D_2022_37NCE_M_R,Grassland,0,5,2,2,3,0,0,9,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37NCE_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NCE_M_R,Grassland,0,9,5,3,12,3,0,0,0,2,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NCE_M_R,Bareland,0,10,0,5,2,8,0,0,0,3,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NCE_M_R,Forest,0,12,0,3,0,1,0,0,0,17,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NCE_M_R,Cropland,0,0,5,0,14,3,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NCE_M_R,Wetland,0,0,0,0,2,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NCE_M_R,Water,0,8,2,0,8,0,0,0,0,4,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NCE_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37NCE_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,17,0
AFRICA_2024_GWL_FCS30D_2022_37NCE_M_R,Grassland,0,0,0,0,0,0,0,0,0,0,3,0
AFRICA_2024_GWL_FCS30D_2022_37NCE_M_R,Forest,0,0,0,0,0,4,0,0,0,2,18,0
AFRICA_2024_GWL_FCS30D_2022_37NCE_M_R,Bareland,0,0,0,0,0,1,0,0,0,5,3,0
AFRICA_2024_GWL_FCS30D_2022_37NCE_M_R,Water,0,0,0,0,0,0,0,0,0,7,4,0
AFRICA_2024_DynamicWorld_2024_37NCE_M_R,Cropland,1,0,0,0,2,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NCE_M_R,Bareland,1,14,0,0,2,8,0,0,0,0,0,1
AFRICA_2024_DynamicWorld_2024_37NCE_M_R,Forest,5,4,0,0,0,2,0,0,0,1,0,0
AFRICA_2024_DynamicWorld_2024_37NCE_M_R,Grassland,0,9,8,0,4,4,0,0,0,1,0,0
AFRICA_2024_DynamicWorld_2024_37NCE_M_R,Water,0,2,0,0,3,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NCE_M_R,Wetland,0,0,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NCE_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0,0
