Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Cropland
AFRICA_2024_WorldCover_2021_36PUQ_M_R,Shrubland,3,3,1,2,1,3,0,0,0,0
AFRICA_2024_WorldCover_2021_36PUQ_M_R,Grassland,0,22,2,2,1,9,0,0,0,0
AFRICA_2024_WorldCover_2021_36PUQ_M_R,Cropland,42,21,8,6,2,11,0,0,0,0
AFRICA_2024_WorldCover_2021_36PUQ_M_R,Wetland,65,0,6,4,18,30,0,0,0,0
AFRICA_2024_WorldCover_2021_36PUQ_M_R,Bareland,14,4,0,0,1,4,0,0,0,0
AFRICA_2024_WorldCover_2021_36PUQ_M_R,Built-up,9,3,4,0,0,6,0,0,0,0
AFRICA_2024_WorldCover_2021_36PUQ_M_R,Water,76,51,29,5,0,51,0,0,0,0
AFRICA_2024_WorldCover_2021_36PUQ_M_R,Forest,63,45,9,5,16,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PUQ_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PUQ_M_R,Cropland,0,2,0,0,0,0,24,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PUQ_M_R,Bareland,0,0,0,0,0,0,4,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PUQ_M_R,Built-up,0,0,0,0,0,0,3,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PUQ_M_R,Forest,0,10,0,0,9,0,89,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PUQ_M_R,Wetland,0,0,0,0,11,0,139,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PUQ_M_R,Water,0,24,0,0,0,0,50,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PUQ_M_R,Grassland,0,4,0,0,1,0,32,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PUQ_M_R,Shrubland,0,0,0,0,4,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PUQ_M_R,Grassland,0,0,0,0,11,0,0,1,0,0
AFRICA_2024_GSW_Yearly_2021_36PUQ_M_R,Cropland,0,0,0,0,15,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PUQ_M_R,Wetland,0,0,0,0,63,0,0,10,0,0
AFRICA_2024_GSW_Yearly_2021_36PUQ_M_R,Bareland,0,0,0,0,6,0,0,1,0,0
AFRICA_2024_GSW_Yearly_2021_36PUQ_M_R,Water,0,0,0,0,0,0,0,20,0,0
AFRICA_2024_GSW_Yearly_2021_36PUQ_M_R,Forest,0,0,0,0,62,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36PUQ_M_R,Water,11,24,31,7,0,31,0,0,76,17
AFRICA_2024_GLC_FCS30D_2022_36PUQ_M_R,Cropland,8,2,8,4,0,16,0,0,37,0
AFRICA_2024_GLC_FCS30D_2022_36PUQ_M_R,Wetland,1,0,7,1,11,36,0,0,61,3
AFRICA_2024_GLC_FCS30D_2022_36PUQ_M_R,Built-up,3,0,2,0,0,3,0,0,6,2
AFRICA_2024_GLC_FCS30D_2022_36PUQ_M_R,Forest,7,10,15,7,9,0,0,0,73,10
AFRICA_2024_GLC_FCS30D_2022_36PUQ_M_R,Grassland,0,4,5,0,1,12,0,0,30,4
AFRICA_2024_GLC_FCS30D_2022_36PUQ_M_R,Bareland,1,0,0,1,0,2,0,0,10,2
AFRICA_2024_ESRI_Annual_LULC_2024_36PUQ_M_R,Grassland,0,10,0,1,3,13,0,0,0,13
AFRICA_2024_ESRI_Annual_LULC_2024_36PUQ_M_R,Wetland,0,0,0,0,26,36,0,0,0,30
AFRICA_2024_ESRI_Annual_LULC_2024_36PUQ_M_R,Built-up,0,0,0,0,0,0,0,0,0,2
AFRICA_2024_ESRI_Annual_LULC_2024_36PUQ_M_R,Forest,0,35,0,7,9,0,0,0,0,11
AFRICA_2024_ESRI_Annual_LULC_2024_36PUQ_M_R,Water,0,37,0,0,0,31,0,0,0,14
AFRICA_2024_ESRI_Annual_LULC_2024_36PUQ_M_R,Cropland,0,3,0,2,0,7,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PUQ_M_R,Bareland,0,0,0,0,0,2,0,0,0,2
AFRICA_2024_DynamicWorld_2024_36PUQ_M_R,Wetland,12,0,0,0,28,20,0,0,0,13
AFRICA_2024_DynamicWorld_2024_36PUQ_M_R,Water,2,31,0,0,0,38,0,0,0,6
AFRICA_2024_DynamicWorld_2024_36PUQ_M_R,Forest,11,14,5,0,9,0,0,0,0,8
AFRICA_2024_DynamicWorld_2024_36PUQ_M_R,Grassland,0,0,2,0,1,3,0,0,0,3
AFRICA_2024_DynamicWorld_2024_36PUQ_M_R,Bareland,0,0,0,0,2,1,0,0,0,1
AFRICA_2024_DynamicWorld_2024_36PUQ_M_R,Built-up,0,0,1,0,0,0,0,0,0,2
AFRICA_2024_DynamicWorld_2024_36PUQ_M_R,Cropland,0,0,0,0,1,0,0,0,0,0
