Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Forest,Water,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AFRICA_2024_WorldCover_2021_35NPH_M_R,Shrubland,3,1,3,2,1,3,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPH_M_R,Grassland,0,4,15,2,1,5,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPH_M_R,Cropland,18,0,6,5,0,3,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPH_M_R,Wetland,73,18,0,8,0,46,1,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPH_M_R,Bareland,9,0,5,0,3,3,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPH_M_R,Built-up,5,1,0,1,0,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPH_M_R,Water,63,10,58,28,0,46,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPH_M_R,Forest,60,9,33,5,10,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPH_M_R,Permanent_ice_and_snow,6,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPH_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPH_M_R,Forest,0,0,16,0,0,0,6,62,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPH_M_R,Wetland,0,0,0,0,0,0,7,145,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPH_M_R,Grassland,0,0,3,0,0,0,1,23,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPH_M_R,Cropland,0,0,0,0,0,0,0,11,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPH_M_R,Water,0,0,22,0,0,0,0,59,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPH_M_R,Bareland,0,0,0,0,0,0,0,5,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NPH_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NPH_M_R,Grassland,0,0,0,0,0,0,11,0,1,0,0
AFRICA_2024_GSW_Yearly_2021_35NPH_M_R,Wetland,0,0,0,0,0,0,54,0,22,0,0
AFRICA_2024_GSW_Yearly_2021_35NPH_M_R,Forest,0,0,0,0,0,0,44,0,14,0,0
AFRICA_2024_GSW_Yearly_2021_35NPH_M_R,Water,0,0,0,0,0,0,0,0,54,0,0
AFRICA_2024_GSW_Yearly_2021_35NPH_M_R,Bareland,0,0,0,0,0,0,4,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NPH_M_R,Cropland,0,0,0,0,0,0,4,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35NPH_M_R,Cropland,2,0,0,0,0,9,0,0,0,22,0
AFRICA_2024_GLC_FCS30D_2022_35NPH_M_R,Wetland,0,1,0,9,0,42,7,0,0,63,0
AFRICA_2024_GLC_FCS30D_2022_35NPH_M_R,Bareland,0,1,0,0,0,4,0,0,0,14,0
AFRICA_2024_GLC_FCS30D_2022_35NPH_M_R,Built-up,0,0,0,0,0,3,0,0,0,5,0
AFRICA_2024_GLC_FCS30D_2022_35NPH_M_R,Water,6,3,22,17,3,40,0,0,0,73,0
AFRICA_2024_GLC_FCS30D_2022_35NPH_M_R,Forest,1,9,16,11,6,0,6,0,0,63,0
AFRICA_2024_GLC_FCS30D_2022_35NPH_M_R,Grassland,0,1,3,3,0,17,1,0,0,24,0
AFRICA_2024_GLC_FCS30D_2022_35NPH_M_R,Permanent_ice_and_snow,0,0,0,0,0,2,0,0,0,3,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NPH_M_R,Forest,0,10,18,0,8,0,29,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NPH_M_R,Wetland,0,0,0,0,0,29,44,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NPH_M_R,Grassland,0,7,8,0,0,6,2,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NPH_M_R,Cropland,0,0,5,0,0,2,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NPH_M_R,Water,0,0,28,3,0,13,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NPH_M_R,Bareland,0,0,0,0,0,3,3,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NPH_M_R,Permanent_ice_and_snow,0,0,0,2,0,2,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NPH_M_R,Water,10,1,18,4,0,14,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NPH_M_R,Wetland,17,14,0,0,0,31,35,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NPH_M_R,Bareland,1,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NPH_M_R,Forest,9,4,15,6,0,0,19,0,0,0,1
AFRICA_2024_DynamicWorld_2024_35NPH_M_R,Grassland,0,2,0,0,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NPH_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0
