Dataset,MajorityClass,Grassland,Cropland,Bareland,Water,Forest,Built-up,Non_Water,Shrubland,Lichens_and_Mosses,Wetland,Non_Wetland
AFRICA_2024_WorldCover_2021_37QCU_M_R,Shrubland,1,1,1,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37QCU_M_R,Grassland,0,1,3,1,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37QCU_M_R,Cropland,29,0,28,3,29,9,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37QCU_M_R,Wetland,2,0,2,2,3,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37QCU_M_R,Lichens_and_Mosses,1,1,1,0,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37QCU_M_R,Bareland,43,22,0,5,31,7,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37QCU_M_R,Built-up,9,1,10,0,8,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37QCU_M_R,Water,23,19,29,0,15,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37QCU_M_R,Forest,25,19,21,0,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37QCU_M_R,Grassland,0,0,0,1,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37QCU_M_R,Cropland,0,0,0,4,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37QCU_M_R,Wetland,0,0,0,4,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37QCU_M_R,Bareland,0,0,0,22,0,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37QCU_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37QCU_M_R,Forest,0,0,0,4,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37QCU_M_R,Water,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37QCU_M_R,Cropland,22,0,17,0,11,12,0,15,13,0,0
AFRICA_2024_GLC_FCS30D_2022_37QCU_M_R,Wetland,1,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37QCU_M_R,Bareland,34,26,0,2,9,26,0,30,19,2,0
AFRICA_2024_GLC_FCS30D_2022_37QCU_M_R,Built-up,5,4,4,0,3,0,0,5,4,0,0
AFRICA_2024_GLC_FCS30D_2022_37QCU_M_R,Water,21,15,18,0,6,11,0,13,10,0,0
AFRICA_2024_GLC_FCS30D_2022_37QCU_M_R,Forest,23,21,18,0,0,14,0,16,14,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37QCU_M_R,Grassland,0,4,4,2,4,2,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37QCU_M_R,Bareland,0,23,0,10,22,14,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37QCU_M_R,Forest,0,14,5,1,0,3,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37QCU_M_R,Cropland,0,0,3,3,19,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37QCU_M_R,Wetland,0,0,3,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37QCU_M_R,Built-up,0,0,1,0,1,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37QCU_M_R,Water,0,15,6,0,16,2,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37QCU_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,3
AFRICA_2024_GWL_FCS30D_2022_37QCU_M_R,Bareland,0,0,0,2,0,0,0,0,0,2,0
AFRICA_2024_DynamicWorld_2024_37QCU_M_R,Grassland,0,3,5,4,3,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37QCU_M_R,Bareland,0,3,0,14,2,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37QCU_M_R,Built-up,0,2,3,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37QCU_M_R,Forest,0,9,10,11,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37QCU_M_R,Cropland,0,0,7,13,5,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37QCU_M_R,Water,0,0,1,0,3,0,0,0,0,0,0
