Value,AFRICA_2024_DynamicWorld_2024_38PKQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PKQ_M_R,AFRICA_2024_GLC_FCS30D_2022_38PKQ_M_R,AFRICA_2024_GSW_Yearly_2021_38PKQ_M_R,AFRICA_2024_GWL_FCS30D_2022_38PKQ_M_R,AFRICA_2024_WorldCover_2021_38PKQ_M_R
118,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
119,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
120,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
121,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
122,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
123,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
124,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
125,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
126,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
127,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
128,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
129,NULL,Water,Bareland,NULL,Non_Wetland,NULL
130,NULL,Forest,NULL,NULL,Non_Wetland,NULL
131,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
132,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
133,NULL,Forest,NULL,NULL,Non_Wetland,Forest
134,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
135,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
136,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
137,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
138,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
139,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
140,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
141,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
142,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
143,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
144,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
145,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
146,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
147,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
148,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
149,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
150,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
151,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
152,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
153,NULL,Forest,Forest,NULL,Non_Wetland,NULL
154,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
155,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
156,NULL,Forest,Forest,NULL,Non_Wetland,Forest
157,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
158,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
159,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
160,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland
161,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
162,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
163,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
164,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
165,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
166,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
167,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
168,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
169,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
170,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
171,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
172,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
173,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
174,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
175,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
176,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
177,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
178,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
179,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
180,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
181,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
182,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
183,Grassland,NULL,Wetland,NULL,Wetland,Grassland
184,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
185,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
186,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
187,Grassland,NULL,Bareland,NULL,Non_Wetland,Water
188,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
189,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
190,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
191,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
192,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
193,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
194,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
195,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
196,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
197,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
198,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
199,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
200,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
201,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
202,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
203,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
204,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
205,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
206,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL
207,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
208,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland
209,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL
210,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
211,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
212,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
213,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
214,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
215,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
216,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
217,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
218,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
219,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
220,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
221,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
222,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
223,Grassland,Forest,Grassland,NULL,Non_Wetland,Cropland
224,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
225,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
226,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
227,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
228,Grassland,Forest,Wetland,NULL,Wetland,Grassland
229,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
230,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
231,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
232,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
233,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
234,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
235,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
236,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
237,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
238,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL
239,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
240,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
241,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
242,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
243,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
244,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
245,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
246,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
247,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
248,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
249,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
250,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
251,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
252,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
253,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
254,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
255,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
256,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
257,Cropland,NULL,Grassland,NULL,Non_Wetland,Water
258,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
259,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
260,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
261,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
262,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
263,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
264,Cropland,NULL,Grassland,Water,Non_Wetland,Water
265,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
266,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
267,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
268,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
269,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
270,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
271,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
272,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
273,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
274,Cropland,NULL,Wetland,NULL,Wetland,Grassland
275,Cropland,NULL,Wetland,Water,Wetland,Water
276,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
277,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
278,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
279,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
280,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
281,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
282,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
283,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
284,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
285,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
286,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Water
287,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
288,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
289,Cropland,NULL,Bareland,Water,Non_Wetland,Water
290,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
291,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
292,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
293,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
294,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
295,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
296,Cropland,NULL,Water,NULL,Water,NULL
297,Cropland,NULL,Water,NULL,Water,Grassland
298,Cropland,NULL,Water,NULL,Water,Cropland
299,Cropland,NULL,Water,NULL,Water,Water
300,Cropland,NULL,Water,Non_Water,Water,Grassland
301,Cropland,NULL,Water,Water,Water,Grassland
302,Cropland,NULL,Water,Water,Water,Water
303,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
304,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
305,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
306,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
307,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
308,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
309,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
310,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
311,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
312,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
313,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
314,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
315,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
316,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
317,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
318,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
319,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
320,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
321,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
322,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
323,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
324,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
325,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
326,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
327,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
328,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
329,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
330,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
331,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
332,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
333,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
334,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
335,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
336,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
337,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
338,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
339,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
340,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL
341,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
342,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Cropland
343,Cropland,Wetland,Cropland,NULL,Non_Wetland,NULL
344,Cropland,Wetland,Cropland,NULL,Non_Wetland,Grassland
345,Cropland,Wetland,Cropland,NULL,Non_Wetland,Cropland
346,Cropland,Wetland,Forest,NULL,Non_Wetland,Cropland
347,Cropland,Bareland,NULL,NULL,Non_Wetland,Grassland
348,Cropland,Bareland,NULL,NULL,Non_Wetland,Cropland
349,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL
350,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
351,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
352,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL
353,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
354,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
355,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
356,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL
357,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
358,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
359,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL
360,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
361,Cropland,Built-up,NULL,NULL,Non_Wetland,Cropland
362,Cropland,Built-up,NULL,NULL,Non_Wetland,Bareland
363,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
364,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
365,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
366,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
367,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
368,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
369,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
370,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
371,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
372,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
373,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
374,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
375,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland
376,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up
377,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL
378,Cropland,Built-up,Bareland,NULL,Non_Wetland,Grassland
379,Cropland,Built-up,Bareland,NULL,Non_Wetland,Cropland
380,Cropland,Built-up,Bareland,NULL,Non_Wetland,Bareland
381,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
382,Cropland,Water,Grassland,NULL,Non_Wetland,Grassland
383,Cropland,Water,Bareland,NULL,Non_Wetland,Water
384,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
385,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
386,Cropland,Forest,NULL,NULL,Non_Wetland,Cropland
387,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
388,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
389,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
390,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
391,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
392,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
393,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
394,Cropland,Forest,Grassland,NULL,Non_Wetland,Cropland
395,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
396,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
397,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
398,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
399,Cropland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
400,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL
401,Cropland,Forest,Bareland,NULL,Non_Wetland,Grassland
402,Cropland,Forest,Bareland,NULL,Non_Wetland,Forest
403,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL
404,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
405,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
406,Cropland,Forest,Forest,NULL,Non_Wetland,Cropland
407,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
408,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
409,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
410,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
411,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
412,Bareland,NULL,NULL,NULL,Non_Wetland,Built-up
413,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
414,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
415,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
416,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
