Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Built-up,Water,Non_Water,Shrubland,Lichens_and_Mosses,Wetland,Non_Wetland
AFRICA_2024_WorldCover_2021_37PBT_M_R,Shrubland,1,1,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBT_M_R,Grassland,0,6,4,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBT_M_R,Cropland,65,0,42,38,19,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBT_M_R,Lichens_and_Mosses,1,1,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBT_M_R,Bareland,41,25,0,28,10,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBT_M_R,Built-up,11,9,11,10,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBT_M_R,Forest,39,26,22,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBT_M_R,Water,31,24,26,11,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBT_M_R,Wetland,5,4,2,0,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PBT_M_R,Cropland,0,0,0,0,0,28,4,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PBT_M_R,Bareland,0,0,0,0,0,20,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PBT_M_R,Built-up,0,0,0,0,0,2,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PBT_M_R,Grassland,0,0,0,0,0,3,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PBT_M_R,Wetland,0,0,0,0,0,2,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PBT_M_R,Water,0,0,0,0,0,0,13,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PBT_M_R,Forest,0,0,0,0,0,2,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PBT_M_R,Cropland,46,0,28,19,28,0,0,31,17,4,0
AFRICA_2024_GLC_FCS30D_2022_37PBT_M_R,Bareland,33,20,0,10,20,1,0,23,13,2,0
AFRICA_2024_GLC_FCS30D_2022_37PBT_M_R,Built-up,8,7,7,4,0,0,0,6,5,0,0
AFRICA_2024_GLC_FCS30D_2022_37PBT_M_R,Water,28,27,24,1,10,0,0,6,0,9,0
AFRICA_2024_GLC_FCS30D_2022_37PBT_M_R,Forest,28,25,20,0,13,0,0,22,14,0,0
AFRICA_2024_GLC_FCS30D_2022_37PBT_M_R,Grassland,0,3,0,5,0,0,0,2,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PBT_M_R,Wetland,0,1,1,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PBT_M_R,Grassland,0,10,3,4,6,4,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PBT_M_R,Bareland,0,33,0,23,23,11,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PBT_M_R,Built-up,0,2,1,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PBT_M_R,Forest,0,30,2,0,20,3,0,0,0,1,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PBT_M_R,Cropland,0,0,12,25,31,6,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PBT_M_R,Wetland,0,1,0,0,0,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PBT_M_R,Water,0,16,2,1,13,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PBT_M_R,Cropland,2,0,18,16,0,14,0,0,0,8,0
AFRICA_2024_DynamicWorld_2024_37PBT_M_R,Forest,1,12,11,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PBT_M_R,Grassland,0,8,8,6,0,5,0,0,0,1,0
AFRICA_2024_DynamicWorld_2024_37PBT_M_R,Wetland,0,1,3,0,0,5,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PBT_M_R,Bareland,0,13,0,3,0,6,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PBT_M_R,Built-up,0,10,11,0,0,2,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PBT_M_R,Water,0,1,1,0,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PBT_M_R,Cropland,0,0,0,0,0,0,0,0,0,4,8
AFRICA_2024_GWL_FCS30D_2022_37PBT_M_R,Grassland,0,0,0,0,0,0,0,0,0,0,1
AFRICA_2024_GWL_FCS30D_2022_37PBT_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,2
AFRICA_2024_GWL_FCS30D_2022_37PBT_M_R,Bareland,0,0,0,0,0,1,0,0,0,2,0
AFRICA_2024_GWL_FCS30D_2022_37PBT_M_R,Water,0,0,0,0,0,0,0,0,0,9,0
AFRICA_2024_GWL_FCS30D_2022_37PBT_M_R,Forest,0,0,0,0,0,0,0,0,0,0,1
