Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland
AFRICA_2024_WorldCover_2021_36NXP_M_R,Shrubland,3,1,1,2,1,1,1,0,0,0
AFRICA_2024_WorldCover_2021_36NXP_M_R,Grassland,0,5,36,2,3,1,18,0,0,0
AFRICA_2024_WorldCover_2021_36NXP_M_R,Cropland,52,0,34,7,11,0,28,0,0,0
AFRICA_2024_WorldCover_2021_36NXP_M_R,Wetland,74,8,0,4,0,11,49,0,0,0
AFRICA_2024_WorldCover_2021_36NXP_M_R,Bareland,7,2,1,0,2,0,1,0,0,0
AFRICA_2024_WorldCover_2021_36NXP_M_R,Built-up,13,4,1,7,0,0,7,0,0,0
AFRICA_2024_WorldCover_2021_36NXP_M_R,Water,74,15,86,20,3,0,60,0,0,0
AFRICA_2024_WorldCover_2021_36NXP_M_R,Forest,86,24,62,17,17,18,0,0,0,0
AFRICA_2024_WorldCover_2021_36NXP_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NXP_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0
AFRICA_2024_GWL_FCS30D_2022_36NXP_M_R,Cropland,0,0,2,0,0,1,0,50,0,0
AFRICA_2024_GWL_FCS30D_2022_36NXP_M_R,Bareland,0,0,0,0,0,0,0,3,0,0
AFRICA_2024_GWL_FCS30D_2022_36NXP_M_R,Forest,0,0,22,0,0,11,0,111,0,0
AFRICA_2024_GWL_FCS30D_2022_36NXP_M_R,Wetland,0,0,0,0,0,12,0,172,0,0
AFRICA_2024_GWL_FCS30D_2022_36NXP_M_R,Built-up,0,0,1,0,0,0,0,1,0,0
AFRICA_2024_GWL_FCS30D_2022_36NXP_M_R,Water,0,0,19,0,0,0,0,82,0,0
AFRICA_2024_GWL_FCS30D_2022_36NXP_M_R,Grassland,0,0,4,0,0,1,0,55,0,0
AFRICA_2024_GSW_Yearly_2021_36NXP_M_R,Shrubland,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NXP_M_R,Grassland,0,0,0,0,0,18,0,0,2,0
AFRICA_2024_GSW_Yearly_2021_36NXP_M_R,Cropland,0,0,0,0,0,12,0,0,4,0
AFRICA_2024_GSW_Yearly_2021_36NXP_M_R,Bareland,0,0,0,0,0,3,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NXP_M_R,Built-up,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NXP_M_R,Forest,0,0,0,0,0,61,0,0,18,0
AFRICA_2024_GSW_Yearly_2021_36NXP_M_R,Water,0,0,0,0,0,0,0,0,55,0
AFRICA_2024_GSW_Yearly_2021_36NXP_M_R,Wetland,0,0,0,0,0,54,0,0,17,0
AFRICA_2024_GLC_FCS30D_2022_36NXP_M_R,Cropland,5,0,2,22,6,1,37,0,0,53
AFRICA_2024_GLC_FCS30D_2022_36NXP_M_R,Wetland,1,10,0,33,0,12,45,0,0,58
AFRICA_2024_GLC_FCS30D_2022_36NXP_M_R,Built-up,5,5,1,2,0,0,6,0,0,9
AFRICA_2024_GLC_FCS30D_2022_36NXP_M_R,Water,9,17,19,43,11,0,53,0,0,69
AFRICA_2024_GLC_FCS30D_2022_36NXP_M_R,Forest,15,23,22,43,13,11,0,0,0,76
AFRICA_2024_GLC_FCS30D_2022_36NXP_M_R,Grassland,0,11,4,25,1,1,29,0,0,32
AFRICA_2024_GLC_FCS30D_2022_36NXP_M_R,Bareland,2,0,0,0,1,0,2,0,0,7
AFRICA_2024_GLC_FCS30D_2022_36NXP_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,1
AFRICA_2024_ESRI_Annual_LULC_2024_36NXP_M_R,Grassland,0,24,17,0,3,15,27,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NXP_M_R,Bareland,0,1,0,0,1,0,2,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NXP_M_R,Built-up,0,1,0,1,0,1,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NXP_M_R,Forest,0,43,43,0,24,41,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NXP_M_R,Cropland,0,0,13,0,5,11,7,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NXP_M_R,Wetland,0,35,0,0,2,41,39,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NXP_M_R,Water,0,23,45,0,2,0,23,0,0,0
AFRICA_2024_DynamicWorld_2024_36NXP_M_R,Wetland,39,20,0,0,0,37,40,0,0,0
AFRICA_2024_DynamicWorld_2024_36NXP_M_R,Water,21,2,30,1,0,0,30,0,0,0
AFRICA_2024_DynamicWorld_2024_36NXP_M_R,Forest,20,18,14,4,0,17,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NXP_M_R,Cropland,3,0,4,0,0,5,6,0,0,0
AFRICA_2024_DynamicWorld_2024_36NXP_M_R,Grassland,0,1,3,1,0,1,4,0,0,0
AFRICA_2024_DynamicWorld_2024_36NXP_M_R,Built-up,0,2,0,1,0,0,6,0,0,0
AFRICA_2024_DynamicWorld_2024_36NXP_M_R,Bareland,0,0,2,0,0,1,3,0,0,0
