Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Water,Wetland,Built-up,Non_Water,Shrubland,Lichens_and_Mosses,Non_Wetland
AFRICA_2024_WorldCover_2021_36QXD_M_R,Shrubland,1,1,2,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QXD_M_R,Grassland,0,3,3,2,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QXD_M_R,Cropland,19,0,22,10,5,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QXD_M_R,Wetland,0,3,1,8,4,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QXD_M_R,Lichens_and_Mosses,2,1,2,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QXD_M_R,Bareland,26,25,0,7,7,0,2,0,0,0,0
AFRICA_2024_WorldCover_2021_36QXD_M_R,Built-up,1,1,3,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QXD_M_R,Water,5,18,13,5,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QXD_M_R,Forest,1,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36QXD_M_R,Grassland,0,0,0,0,6,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36QXD_M_R,Cropland,0,0,0,0,16,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36QXD_M_R,Wetland,0,0,0,0,6,0,0,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_36QXD_M_R,Lichens_and_Mosses,0,0,0,0,2,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36QXD_M_R,Bareland,0,0,0,0,22,0,0,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_36QXD_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36QXD_M_R,Water,0,0,0,0,0,0,0,6,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36QXD_M_R,Water,10,12,11,0,0,5,7,0,10,1,0
AFRICA_2024_GLC_FCS30D_2022_36QXD_M_R,Cropland,20,0,14,0,0,2,9,0,10,7,0
AFRICA_2024_GLC_FCS30D_2022_36QXD_M_R,Bareland,17,15,0,0,0,3,17,0,17,9,0
AFRICA_2024_GLC_FCS30D_2022_36QXD_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36QXD_M_R,Forest,3,3,2,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36QXD_M_R,Water,0,3,11,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36QXD_M_R,Grassland,0,5,5,0,1,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36QXD_M_R,Wetland,0,5,7,0,2,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36QXD_M_R,Bareland,0,12,0,0,1,0,1,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36QXD_M_R,Cropland,0,0,10,1,1,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36QXD_M_R,Forest,0,2,0,0,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36QXD_M_R,Cropland,0,0,0,0,0,2,0,0,0,0,2
AFRICA_2024_GWL_FCS30D_2022_36QXD_M_R,Bareland,0,0,0,0,0,3,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36QXD_M_R,Water,0,0,0,0,0,5,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36QXD_M_R,Grassland,0,2,2,0,3,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36QXD_M_R,Bareland,0,7,0,0,8,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36QXD_M_R,Cropland,0,0,5,1,1,0,0,0,0,0,0
