Value,AFRICA_2024_DynamicWorld_2024_38NLN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38NLN_M_R,AFRICA_2024_GLC_FCS30D_2022_38NLN_M_R,AFRICA_2024_GSW_Yearly_2021_38NLN_M_R,AFRICA_2024_GWL_FCS30D_2022_38NLN_M_R,AFRICA_2024_WorldCover_2021_38NLN_M_R
120,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
121,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
122,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
123,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
124,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
125,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
126,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
127,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
128,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
129,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
130,NULL,Water,NULL,NULL,Non_Wetland,NULL
131,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
132,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
133,NULL,Water,Grassland,NULL,Non_Wetland,NULL
134,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
135,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
136,NULL,Water,Grassland,NULL,Non_Wetland,Water
137,NULL,Water,Grassland,Water,Non_Wetland,Bareland
138,NULL,Water,Grassland,Water,Non_Wetland,Water
139,NULL,Water,Cropland,NULL,Non_Wetland,Water
140,NULL,Water,Cropland,Water,Non_Wetland,Water
141,NULL,Water,Wetland,NULL,Wetland,Grassland
142,NULL,Water,Wetland,NULL,Wetland,Water
143,NULL,Water,Wetland,Water,Wetland,Grassland
144,NULL,Water,Wetland,Water,Wetland,Water
145,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
146,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
147,NULL,Water,Bareland,NULL,Non_Wetland,Water
148,NULL,Water,Bareland,Water,Non_Wetland,Bareland
149,NULL,Water,Bareland,Water,Non_Wetland,Water
150,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
151,NULL,Water,Water,NULL,Water,Grassland
152,NULL,Water,Water,NULL,Water,Bareland
153,NULL,Water,Water,NULL,Water,Water
154,NULL,Water,Water,Water,Water,Grassland
155,NULL,Water,Water,Water,Water,Water
156,NULL,Forest,NULL,NULL,Non_Wetland,NULL
157,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
158,NULL,Forest,NULL,NULL,Non_Wetland,Forest
159,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
160,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
161,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
162,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
163,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
164,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
165,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
166,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
167,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
168,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
169,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
170,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
171,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
172,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
173,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
174,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
175,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
176,NULL,Forest,Wetland,NULL,Wetland,NULL
177,NULL,Forest,Wetland,NULL,Wetland,Grassland
178,NULL,Forest,Wetland,NULL,Wetland,Cropland
179,NULL,Forest,Wetland,NULL,Wetland,Forest
180,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
181,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
182,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
183,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
184,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
185,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
186,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
187,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
188,NULL,Forest,Forest,NULL,Non_Wetland,NULL
189,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
190,NULL,Forest,Forest,NULL,Non_Wetland,Forest
191,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
192,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
193,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
194,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
195,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
196,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
197,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
198,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
199,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
200,Grassland,Forest,Grassland,NULL,Non_Wetland,Cropland
201,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
202,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
203,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
204,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
205,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
206,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
207,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
208,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
209,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
210,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
211,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
212,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
213,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
214,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
215,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
216,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
217,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
218,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
219,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
220,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
221,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
222,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
223,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
224,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
225,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
226,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
227,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
228,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
229,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
230,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
231,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
232,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
233,Cropland,Forest,Grassland,NULL,Non_Wetland,Cropland
234,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
235,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
236,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
237,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
238,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
239,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
240,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
241,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
242,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
243,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
244,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
245,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
246,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
247,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
248,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
249,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
250,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
251,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
252,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
253,Bareland,Forest,NULL,NULL,Non_Wetland,NULL
254,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL
255,Forest,NULL,NULL,NULL,Non_Wetland,NULL
256,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
257,Forest,NULL,NULL,NULL,Non_Wetland,Forest
258,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
259,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
260,Forest,NULL,Shrubland,NULL,Non_Wetland,Cropland
261,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
262,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
263,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
264,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland
265,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
266,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
267,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
268,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland
269,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
270,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
271,Forest,NULL,Bareland,NULL,Non_Wetland,Forest
272,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
273,Forest,NULL,Forest,NULL,Non_Wetland,NULL
274,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
275,Forest,NULL,Forest,NULL,Non_Wetland,Forest
276,Forest,Forest,NULL,NULL,Non_Wetland,NULL
277,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
278,Forest,Forest,NULL,NULL,Non_Wetland,Forest
279,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
280,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
281,Forest,Forest,Shrubland,NULL,Non_Wetland,Cropland
282,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
283,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
284,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
285,Forest,Forest,Grassland,NULL,Non_Wetland,Cropland
286,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
287,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
288,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
289,Forest,Forest,Cropland,NULL,Non_Wetland,Cropland
290,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
291,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
292,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
293,Forest,Forest,Forest,NULL,Non_Wetland,NULL
294,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
295,Forest,Forest,Forest,NULL,Non_Wetland,Forest
