Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Non_Wetland
AFRICA_2024_WorldCover_2021_37PDP_M_R,Shrubland,2,3,1,1,1,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PDP_M_R,Grassland,0,13,7,9,0,20,7,0,0,0,0
AFRICA_2024_WorldCover_2021_37PDP_M_R,Cropland,37,0,34,30,8,36,15,0,0,0,0
AFRICA_2024_WorldCover_2021_37PDP_M_R,Wetland,5,4,3,0,4,6,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PDP_M_R,Lichens_and_Mosses,1,1,1,1,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PDP_M_R,Bareland,45,36,0,14,20,24,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PDP_M_R,Built-up,12,11,10,0,2,11,4,0,0,0,0
AFRICA_2024_WorldCover_2021_37PDP_M_R,Water,51,40,41,1,0,26,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PDP_M_R,Forest,52,35,25,25,9,0,9,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PDP_M_R,Shrubland,0,0,0,0,3,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PDP_M_R,Cropland,0,0,0,0,14,0,0,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PDP_M_R,Wetland,0,0,0,0,7,0,0,5,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PDP_M_R,Bareland,0,0,0,0,44,0,0,12,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PDP_M_R,Built-up,0,0,0,0,2,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PDP_M_R,Forest,0,0,0,0,25,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PDP_M_R,Grassland,0,0,0,0,1,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PDP_M_R,Water,0,0,0,0,0,0,0,13,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PDP_M_R,Water,13,27,51,26,0,19,30,0,28,3,0
AFRICA_2024_GLC_FCS30D_2022_37PDP_M_R,Cropland,27,0,28,24,1,32,2,0,39,19,0
AFRICA_2024_GLC_FCS30D_2022_37PDP_M_R,Bareland,22,31,0,23,3,19,13,0,36,11,0
AFRICA_2024_GLC_FCS30D_2022_37PDP_M_R,Built-up,8,9,10,0,0,8,1,0,10,6,0
AFRICA_2024_GLC_FCS30D_2022_37PDP_M_R,Forest,25,27,35,19,7,0,3,0,40,22,0
AFRICA_2024_GLC_FCS30D_2022_37PDP_M_R,Grassland,0,11,10,9,0,13,0,0,21,3,0
AFRICA_2024_GLC_FCS30D_2022_37PDP_M_R,Wetland,1,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PDP_M_R,Cropland,0,0,0,0,1,0,2,0,0,0,15
AFRICA_2024_GWL_FCS30D_2022_37PDP_M_R,Built-up,0,0,0,0,0,0,1,0,0,0,4
AFRICA_2024_GWL_FCS30D_2022_37PDP_M_R,Grassland,0,0,0,0,0,0,0,0,0,0,7
AFRICA_2024_GWL_FCS30D_2022_37PDP_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,3
AFRICA_2024_GWL_FCS30D_2022_37PDP_M_R,Forest,0,0,0,0,7,0,3,0,0,0,11
AFRICA_2024_GWL_FCS30D_2022_37PDP_M_R,Bareland,0,0,0,0,3,0,13,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PDP_M_R,Water,0,0,0,0,0,0,30,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PDP_M_R,Grassland,0,34,1,17,1,14,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PDP_M_R,Bareland,0,43,0,28,47,3,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PDP_M_R,Built-up,0,4,0,0,0,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PDP_M_R,Water,0,23,21,5,0,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PDP_M_R,Forest,0,42,0,42,15,0,1,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PDP_M_R,Cropland,0,0,3,38,6,22,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PDP_M_R,Wetland,0,0,2,2,1,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PDP_M_R,Cropland,19,0,15,0,9,15,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PDP_M_R,Bareland,2,5,0,0,17,6,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PDP_M_R,Forest,10,10,7,0,5,0,1,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PDP_M_R,Built-up,7,12,9,0,2,11,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PDP_M_R,Water,1,3,24,0,0,11,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PDP_M_R,Grassland,0,3,5,0,2,3,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PDP_M_R,Wetland,0,0,10,0,8,2,0,0,0,0,0
