Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Water,Wetland,Built-up,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow,Non_Wetland
AFRICA_2024_WorldCover_2021_37PFS_M_R,Shrubland,1,1,1,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PFS_M_R,Grassland,0,2,1,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PFS_M_R,Cropland,12,0,21,11,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PFS_M_R,Wetland,12,36,35,8,24,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PFS_M_R,Lichens_and_Mosses,0,1,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PFS_M_R,Bareland,37,28,0,7,35,32,8,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PFS_M_R,Built-up,1,1,7,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PFS_M_R,Water,21,21,56,2,0,40,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PFS_M_R,Forest,5,10,5,0,1,1,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PFS_M_R,Cropland,0,0,0,0,4,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PFS_M_R,Bareland,0,0,0,0,73,0,0,15,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PFS_M_R,Wetland,0,0,0,0,53,0,0,20,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PFS_M_R,Water,0,0,0,0,0,0,0,27,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PFS_M_R,Grassland,0,0,0,0,1,0,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PFS_M_R,Cropland,17,0,11,0,0,3,10,0,12,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PFS_M_R,Bareland,48,50,0,3,9,43,33,0,38,12,0,0
AFRICA_2024_GLC_FCS30D_2022_37PFS_M_R,Built-up,3,2,1,0,0,0,0,0,2,2,0,0
AFRICA_2024_GLC_FCS30D_2022_37PFS_M_R,Water,31,42,53,1,0,61,25,0,24,4,0,0
AFRICA_2024_GLC_FCS30D_2022_37PFS_M_R,Forest,14,17,9,0,0,9,2,0,8,3,0,0
AFRICA_2024_GLC_FCS30D_2022_37PFS_M_R,Wetland,29,27,25,0,0,0,12,0,6,4,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PFS_M_R,Wetland,0,10,17,22,77,0,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PFS_M_R,Bareland,0,17,0,11,51,18,22,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PFS_M_R,Cropland,0,0,4,9,2,3,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PFS_M_R,Grassland,0,1,0,0,2,1,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PFS_M_R,Water,0,0,53,0,0,14,7,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PFS_M_R,Forest,0,9,0,0,2,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PFS_M_R,Cropland,1,0,12,7,2,5,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PFS_M_R,Wetland,5,2,39,15,26,0,0,0,0,0,2,0
AFRICA_2024_DynamicWorld_2024_37PFS_M_R,Water,2,0,39,4,0,15,0,0,0,0,2,0
AFRICA_2024_DynamicWorld_2024_37PFS_M_R,Grassland,0,1,6,0,0,1,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PFS_M_R,Bareland,0,7,0,1,19,9,0,0,0,0,3,0
AFRICA_2024_DynamicWorld_2024_37PFS_M_R,Forest,0,2,1,0,0,1,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PFS_M_R,Built-up,0,0,3,0,0,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PFS_M_R,Water,0,0,0,0,0,38,0,0,0,0,0,54
AFRICA_2024_GWL_FCS30D_2022_37PFS_M_R,Cropland,0,0,0,0,0,3,0,0,0,0,0,8
AFRICA_2024_GWL_FCS30D_2022_37PFS_M_R,Forest,0,0,0,0,0,9,0,0,0,0,0,2
AFRICA_2024_GWL_FCS30D_2022_37PFS_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,0,105
AFRICA_2024_GWL_FCS30D_2022_37PFS_M_R,Bareland,0,0,0,0,4,27,0,0,0,0,0,57
AFRICA_2024_GWL_FCS30D_2022_37PFS_M_R,Grassland,0,0,0,0,0,0,0,0,0,0,0,2
