Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Forest,Water,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water
AFRICA_2024_WorldCover_2021_36NWL_M_R,Shrubland,1,1,1,1,1,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NWL_M_R,Grassland,0,9,7,4,1,7,1,0,0,0,0
AFRICA_2024_WorldCover_2021_36NWL_M_R,Cropland,49,0,14,27,16,30,1,0,0,0,0
AFRICA_2024_WorldCover_2021_36NWL_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NWL_M_R,Bareland,36,15,13,0,1,19,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NWL_M_R,Built-up,9,5,1,6,0,7,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NWL_M_R,Water,37,9,12,16,0,14,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NWL_M_R,Forest,45,17,16,20,14,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NWL_M_R,Wetland,12,0,0,1,0,4,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NWL_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NWL_M_R,Cropland,0,0,1,0,0,0,0,14,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NWL_M_R,Bareland,0,0,0,0,0,0,0,13,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NWL_M_R,Built-up,0,0,1,0,0,0,0,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NWL_M_R,Forest,0,0,11,0,0,0,2,27,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NWL_M_R,Grassland,0,0,0,0,0,0,0,9,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NWL_M_R,Wetland,0,0,0,0,0,0,0,16,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NWL_M_R,Water,0,0,3,0,0,0,0,12,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36NWL_M_R,Cropland,30,0,1,16,21,20,0,0,43,4,0
AFRICA_2024_GLC_FCS30D_2022_36NWL_M_R,Bareland,26,16,0,0,12,13,0,0,31,0,0
AFRICA_2024_GLC_FCS30D_2022_36NWL_M_R,Built-up,6,6,1,3,0,3,0,0,8,0,0
AFRICA_2024_GLC_FCS30D_2022_36NWL_M_R,Water,21,11,3,17,4,10,0,0,28,0,0
AFRICA_2024_GLC_FCS30D_2022_36NWL_M_R,Forest,23,30,11,20,20,0,2,0,43,4,0
AFRICA_2024_GLC_FCS30D_2022_36NWL_M_R,Grassland,0,7,0,9,2,7,0,0,16,0,0
AFRICA_2024_GLC_FCS30D_2022_36NWL_M_R,Wetland,1,2,0,1,1,3,0,0,5,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NWL_M_R,Grassland,0,12,0,6,3,23,9,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NWL_M_R,Built-up,0,2,0,0,0,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NWL_M_R,Forest,0,22,4,2,14,0,22,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NWL_M_R,Cropland,0,0,0,14,13,29,20,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NWL_M_R,Wetland,0,2,0,0,1,4,2,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NWL_M_R,Bareland,0,15,0,0,1,17,26,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NWL_M_R,Water,0,11,0,9,1,8,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NWL_M_R,Cropland,6,0,0,4,0,7,1,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NWL_M_R,Forest,9,13,7,12,0,0,9,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NWL_M_R,Grassland,0,6,2,5,0,5,4,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NWL_M_R,Wetland,0,1,0,2,0,3,1,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NWL_M_R,Bareland,0,8,0,0,0,5,10,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NWL_M_R,Built-up,0,7,0,1,0,7,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NWL_M_R,Water,0,0,0,0,0,2,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NWL_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NWL_M_R,Water,0,0,0,0,0,0,0,0,0,0,2
