Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Non_Water,Shrubland,Lichens_and_Mosses,Non_Wetland
AFRICA_2024_WorldCover_2021_37NFF_M_R,Shrubland,3,3,2,1,3,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NFF_M_R,Grassland,0,8,3,1,9,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NFF_M_R,Cropland,49,0,20,12,29,1,4,0,0,0,0
AFRICA_2024_WorldCover_2021_37NFF_M_R,Wetland,31,8,7,0,45,0,4,0,0,0,0
AFRICA_2024_WorldCover_2021_37NFF_M_R,Lichens_and_Mosses,1,0,1,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NFF_M_R,Bareland,51,23,0,3,23,0,1,0,0,0,0
AFRICA_2024_WorldCover_2021_37NFF_M_R,Built-up,7,5,6,0,8,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NFF_M_R,Water,111,62,73,0,92,10,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NFF_M_R,Forest,62,35,24,9,0,13,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NFF_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NFF_M_R,Grassland,0,0,0,0,0,0,10,5,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NFF_M_R,Cropland,0,0,0,0,0,0,34,5,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NFF_M_R,Wetland,0,0,0,0,0,0,21,5,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NFF_M_R,Bareland,0,0,0,0,0,0,53,19,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NFF_M_R,Built-up,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NFF_M_R,Water,0,0,0,0,0,0,0,92,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NFF_M_R,Forest,0,0,0,0,0,0,64,25,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37NFF_M_R,Water,52,57,57,23,43,31,0,0,71,4,0
AFRICA_2024_GLC_FCS30D_2022_37NFF_M_R,Cropland,23,0,16,11,10,2,1,0,47,1,0
AFRICA_2024_GLC_FCS30D_2022_37NFF_M_R,Bareland,34,38,0,8,13,12,9,0,37,0,0
AFRICA_2024_GLC_FCS30D_2022_37NFF_M_R,Built-up,5,5,4,0,0,0,0,0,6,0,0
AFRICA_2024_GLC_FCS30D_2022_37NFF_M_R,Forest,38,50,32,25,0,14,8,0,62,7,0
AFRICA_2024_GLC_FCS30D_2022_37NFF_M_R,Grassland,0,10,3,1,4,0,0,0,14,0,0
AFRICA_2024_GLC_FCS30D_2022_37NFF_M_R,Wetland,7,15,10,5,6,0,0,0,16,1,0
AFRICA_2024_GWL_FCS30D_2022_37NFF_M_R,Forest,0,0,0,0,0,14,8,0,0,0,32
AFRICA_2024_GWL_FCS30D_2022_37NFF_M_R,Bareland,0,0,0,0,0,12,9,0,0,0,1
AFRICA_2024_GWL_FCS30D_2022_37NFF_M_R,Water,0,0,0,0,0,31,0,0,0,0,23
AFRICA_2024_GWL_FCS30D_2022_37NFF_M_R,Cropland,0,0,0,0,0,2,1,0,0,0,4
AFRICA_2024_GWL_FCS30D_2022_37NFF_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,70
AFRICA_2024_GWL_FCS30D_2022_37NFF_M_R,Grassland,0,0,0,0,0,0,0,0,0,0,2
AFRICA_2024_ESRI_Annual_LULC_2024_37NFF_M_R,Grassland,0,3,3,3,14,0,13,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NFF_M_R,Forest,0,5,2,11,0,2,65,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NFF_M_R,Water,0,3,33,0,13,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NFF_M_R,Cropland,0,0,3,9,30,0,35,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NFF_M_R,Bareland,0,2,0,2,19,0,50,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NFF_M_R,Wetland,0,0,0,2,10,0,52,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NFF_M_R,Cropland,3,0,6,0,8,3,1,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NFF_M_R,Water,1,33,38,0,22,27,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NFF_M_R,Forest,9,16,10,0,0,17,7,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NFF_M_R,Grassland,0,6,9,0,5,2,4,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NFF_M_R,Wetland,0,10,6,0,2,0,6,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NFF_M_R,Bareland,0,4,0,0,5,1,15,0,0,0,0
