Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Forest,Water,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water
AFRICA_2024_WorldCover_2021_37PGL_M_R,Shrubland,1,1,1,1,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGL_M_R,Grassland,0,13,15,3,1,5,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGL_M_R,Cropland,47,0,34,37,27,28,2,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGL_M_R,Lichens_and_Mosses,1,1,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGL_M_R,Bareland,35,21,9,0,16,1,1,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGL_M_R,Built-up,11,15,4,10,0,7,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGL_M_R,Forest,45,32,41,34,22,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGL_M_R,Wetland,12,2,0,5,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGL_M_R,Water,19,31,45,26,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PGL_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PGL_M_R,Grassland,0,0,0,0,0,0,0,16,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PGL_M_R,Cropland,0,0,2,0,0,0,4,39,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PGL_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PGL_M_R,Bareland,0,0,1,0,0,0,2,21,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PGL_M_R,Built-up,0,0,0,0,0,0,0,4,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PGL_M_R,Forest,0,0,3,0,0,0,2,48,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PGL_M_R,Wetland,0,0,0,0,0,0,0,41,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PGL_M_R,Water,0,0,6,0,0,0,0,34,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PGL_M_R,Cropland,38,0,2,35,22,40,4,0,47,22,0
AFRICA_2024_GLC_FCS30D_2022_37PGL_M_R,Wetland,3,5,0,15,4,12,0,0,0,1,0
AFRICA_2024_GLC_FCS30D_2022_37PGL_M_R,Bareland,27,25,1,0,17,23,2,0,19,7,0
AFRICA_2024_GLC_FCS30D_2022_37PGL_M_R,Built-up,8,8,0,8,0,10,0,0,10,6,0
AFRICA_2024_GLC_FCS30D_2022_37PGL_M_R,Water,18,25,6,21,9,26,0,0,12,1,0
AFRICA_2024_GLC_FCS30D_2022_37PGL_M_R,Forest,31,33,3,32,18,0,2,0,33,16,0
AFRICA_2024_GLC_FCS30D_2022_37PGL_M_R,Grassland,0,10,0,7,3,16,0,0,10,2,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGL_M_R,Grassland,0,21,0,3,14,19,6,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGL_M_R,Bareland,0,25,10,0,19,15,13,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGL_M_R,Built-up,0,3,0,2,0,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGL_M_R,Forest,0,38,5,5,40,0,17,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGL_M_R,Cropland,0,0,2,15,43,33,24,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGL_M_R,Wetland,0,5,0,0,1,10,2,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGL_M_R,Water,0,36,0,3,5,8,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PGL_M_R,Cropland,0,0,0,0,0,0,21,0,0,0,2
AFRICA_2024_GSW_Yearly_2021_37PGL_M_R,Built-up,0,0,0,0,0,0,4,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PGL_M_R,Wetland,0,0,0,0,0,0,5,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PGL_M_R,Forest,0,0,0,0,0,0,7,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PGL_M_R,Grassland,0,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PGL_M_R,Bareland,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PGL_M_R,Water,0,0,0,0,0,0,0,0,0,0,1
AFRICA_2024_DynamicWorld_2024_37PGL_M_R,Cropland,14,0,3,13,0,15,13,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PGL_M_R,Wetland,2,6,0,0,0,5,1,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PGL_M_R,Forest,10,11,2,5,0,0,6,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PGL_M_R,Water,5,6,1,0,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PGL_M_R,Grassland,0,6,1,5,0,2,4,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PGL_M_R,Bareland,0,9,2,0,0,4,7,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PGL_M_R,Built-up,0,12,0,9,0,11,0,0,0,0,0
