Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AFRICA_2024_WorldCover_2021_35PRK_M_R,Shrubland,3,3,2,1,1,2,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRK_M_R,Grassland,0,40,3,4,4,23,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRK_M_R,Cropland,46,33,7,6,3,13,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRK_M_R,Wetland,136,0,18,13,45,75,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRK_M_R,Bareland,24,8,0,6,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRK_M_R,Built-up,10,7,5,0,1,7,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRK_M_R,Water,132,114,21,3,0,72,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRK_M_R,Forest,87,72,9,6,11,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRK_M_R,Permanent_ice_and_snow,5,0,3,0,0,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PRK_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PRK_M_R,Grassland,0,10,0,0,6,0,83,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PRK_M_R,Cropland,0,1,0,0,1,0,52,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PRK_M_R,Bareland,0,0,0,0,0,0,17,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PRK_M_R,Forest,0,24,0,0,9,0,133,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PRK_M_R,Wetland,0,0,0,0,21,0,308,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PRK_M_R,Water,0,36,0,0,0,0,120,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PRK_M_R,Built-up,0,1,0,0,0,0,12,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PRK_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PRK_M_R,Shrubland,0,0,0,0,3,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PRK_M_R,Grassland,0,0,0,0,26,0,0,4,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PRK_M_R,Cropland,0,0,0,0,9,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PRK_M_R,Wetland,0,0,0,0,114,0,0,43,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PRK_M_R,Bareland,0,0,0,0,3,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PRK_M_R,Water,0,0,0,0,0,0,0,78,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PRK_M_R,Forest,0,0,0,0,40,0,0,11,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PRK_M_R,Built-up,0,0,0,0,2,0,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35PRK_M_R,Water,20,36,42,21,0,44,0,0,94,16,0,0
AFRICA_2024_GLC_FCS30D_2022_35PRK_M_R,Cropland,5,1,12,4,1,13,0,0,39,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35PRK_M_R,Wetland,30,0,49,15,21,45,0,0,93,24,0,0
AFRICA_2024_GLC_FCS30D_2022_35PRK_M_R,Bareland,10,0,0,6,0,2,0,0,14,2,0,0
AFRICA_2024_GLC_FCS30D_2022_35PRK_M_R,Built-up,6,1,4,0,0,4,0,0,9,3,0,0
AFRICA_2024_GLC_FCS30D_2022_35PRK_M_R,Forest,15,24,34,20,9,0,0,0,76,19,0,0
AFRICA_2024_GLC_FCS30D_2022_35PRK_M_R,Grassland,0,10,22,2,6,21,0,0,42,12,1,0
AFRICA_2024_GLC_FCS30D_2022_35PRK_M_R,Permanent_ice_and_snow,0,0,1,2,0,0,0,0,4,1,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PRK_M_R,Water,0,90,31,2,0,39,0,0,0,44,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PRK_M_R,Grassland,0,39,0,9,12,28,0,0,0,34,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PRK_M_R,Wetland,0,0,19,17,60,63,0,0,0,60,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PRK_M_R,Forest,0,51,0,26,26,0,0,0,0,31,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PRK_M_R,Built-up,0,3,0,0,0,0,0,0,0,1,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PRK_M_R,Bareland,0,8,0,5,1,1,0,0,0,2,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PRK_M_R,Cropland,0,19,0,8,1,7,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PRK_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,1,0,0
AFRICA_2024_DynamicWorld_2024_35PRK_M_R,Water,38,55,0,0,0,49,0,0,0,3,0,1
AFRICA_2024_DynamicWorld_2024_35PRK_M_R,Wetland,60,0,2,0,53,61,0,0,0,27,0,1
AFRICA_2024_DynamicWorld_2024_35PRK_M_R,Forest,25,17,0,0,16,0,0,0,0,10,0,0
AFRICA_2024_DynamicWorld_2024_35PRK_M_R,Cropland,2,2,0,0,0,2,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PRK_M_R,Grassland,0,7,5,0,2,8,0,0,0,5,0,1
AFRICA_2024_DynamicWorld_2024_35PRK_M_R,Bareland,0,1,0,0,3,2,0,0,0,2,0,1
AFRICA_2024_DynamicWorld_2024_35PRK_M_R,Built-up,0,2,2,0,1,5,0,0,0,1,0,0
