Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Non_Water,Shrubland,Lichens_and_Mosses,Non_Wetland,Permanent_ice_and_snow
AFRICA_2024_WorldCover_2021_38PKV_M_R,Shrubland,1,1,1,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKV_M_R,Grassland,0,1,1,1,1,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKV_M_R,Cropland,15,0,31,1,1,6,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKV_M_R,Wetland,5,37,40,0,4,0,25,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKV_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKV_M_R,Bareland,22,44,0,21,6,40,35,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKV_M_R,Built-up,4,7,11,0,4,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKV_M_R,Water,13,39,80,4,6,71,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKV_M_R,Forest,3,11,13,0,0,8,2,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKV_M_R,Bareland,0,0,0,0,0,0,104,23,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKV_M_R,Cropland,0,0,0,0,0,0,17,4,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKV_M_R,Built-up,0,0,0,0,0,0,11,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKV_M_R,Wetland,0,0,0,0,0,0,78,17,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKV_M_R,Grassland,0,0,0,0,0,0,3,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKV_M_R,Water,0,0,0,0,0,0,0,41,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKV_M_R,Forest,0,0,0,0,0,0,3,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_38PKV_M_R,Cropland,29,0,25,16,0,0,0,0,19,7,0,0
AFRICA_2024_GLC_FCS30D_2022_38PKV_M_R,Bareland,58,41,0,46,1,45,24,0,45,8,0,0
AFRICA_2024_GLC_FCS30D_2022_38PKV_M_R,Built-up,11,5,7,0,0,1,0,0,7,0,0,0
AFRICA_2024_GLC_FCS30D_2022_38PKV_M_R,Water,63,36,58,40,0,63,0,0,32,6,0,0
AFRICA_2024_GLC_FCS30D_2022_38PKV_M_R,Forest,16,16,12,7,0,6,0,0,14,5,0,0
AFRICA_2024_GLC_FCS30D_2022_38PKV_M_R,Grassland,0,2,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_38PKV_M_R,Wetland,30,22,31,17,0,0,5,0,18,5,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKV_M_R,Grassland,0,3,1,0,1,2,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKV_M_R,Bareland,0,29,0,29,7,23,46,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKV_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKV_M_R,Water,0,7,57,23,2,29,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKV_M_R,Cropland,0,0,7,5,14,2,2,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKV_M_R,Wetland,0,11,18,12,41,0,61,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKV_M_R,Forest,0,16,0,2,0,0,5,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_38PKV_M_R,Water,0,0,0,0,0,37,0,0,0,0,73,0
AFRICA_2024_GWL_FCS30D_2022_38PKV_M_R,Grassland,0,0,0,0,0,0,0,0,0,0,4,0
AFRICA_2024_GWL_FCS30D_2022_38PKV_M_R,Wetland,0,0,0,0,0,0,3,0,0,0,123,0
AFRICA_2024_GWL_FCS30D_2022_38PKV_M_R,Cropland,0,0,0,0,0,0,0,0,0,0,12,0
AFRICA_2024_GWL_FCS30D_2022_38PKV_M_R,Bareland,0,0,0,0,0,25,10,0,0,0,68,0
AFRICA_2024_GWL_FCS30D_2022_38PKV_M_R,Forest,0,0,0,0,0,6,0,0,0,0,8,0
AFRICA_2024_DynamicWorld_2024_38PKV_M_R,Wetland,17,1,44,0,19,0,36,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKV_M_R,Bareland,1,12,0,0,3,11,18,0,0,0,0,1
AFRICA_2024_DynamicWorld_2024_38PKV_M_R,Water,13,1,62,0,3,22,0,0,0,0,0,1
AFRICA_2024_DynamicWorld_2024_38PKV_M_R,Grassland,0,1,4,0,2,2,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKV_M_R,Built-up,0,1,9,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKV_M_R,Cropland,0,0,17,0,9,4,10,0,0,0,0,0
