Value,AFRICA_2024_DynamicWorld_2024_36PTA_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PTA_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTA_M_R,AFRICA_2024_GSW_Yearly_2021_36PTA_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTA_M_R,AFRICA_2024_WorldCover_2021_36PTA_M_R
117,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
118,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
119,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
120,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
121,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
122,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
123,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
124,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
125,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
126,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
127,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
128,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
129,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
130,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
131,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
132,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
133,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
134,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
135,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
136,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
137,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
138,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
139,Cropland,Cropland,Wetland,NULL,Wetland,Forest
140,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
141,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
142,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
143,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
144,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
145,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
146,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
147,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
148,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
149,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
150,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland
151,Cropland,Bareland,Built-up,NULL,Non_Wetland,Forest
152,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
153,Cropland,Built-up,NULL,NULL,Non_Wetland,Cropland
154,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
155,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
156,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
157,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
158,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
159,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
160,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
161,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
162,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
163,Cropland,Built-up,Grassland,NULL,Non_Wetland,Forest
164,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
165,Cropland,Built-up,Cropland,NULL,Non_Wetland,Cropland
166,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland
167,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
168,Cropland,Built-up,Bareland,NULL,Non_Wetland,Grassland
169,Cropland,Built-up,Bareland,NULL,Non_Wetland,Bareland
170,Cropland,Built-up,Bareland,NULL,Non_Wetland,Forest
171,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
172,Cropland,Built-up,Built-up,NULL,Non_Wetland,Bareland
173,Cropland,Built-up,Built-up,NULL,Non_Wetland,Forest
174,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
175,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
176,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
177,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
178,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
179,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
180,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
181,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
182,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
183,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
184,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
185,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
186,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
187,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
188,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
189,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
190,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
191,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
192,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
193,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
194,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
195,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
196,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
197,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
198,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
199,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
200,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
201,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
202,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
203,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
204,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up
205,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
206,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
207,Bareland,NULL,Built-up,NULL,Non_Wetland,Cropland
208,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
209,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up
210,Bareland,NULL,Built-up,NULL,Non_Wetland,Forest
211,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland
212,Bareland,Cropland,NULL,NULL,Non_Wetland,Cropland
213,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
214,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
215,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
216,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL
217,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
218,Bareland,Cropland,Grassland,NULL,Non_Wetland,Cropland
219,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
220,Bareland,Cropland,Cropland,NULL,Non_Wetland,Grassland
221,Bareland,Cropland,Cropland,NULL,Non_Wetland,Cropland
222,Bareland,Cropland,Cropland,NULL,Non_Wetland,Bareland
223,Bareland,Cropland,Bareland,NULL,Non_Wetland,Grassland
224,Bareland,Cropland,Bareland,NULL,Non_Wetland,Cropland
225,Bareland,Cropland,Bareland,NULL,Non_Wetland,Bareland
226,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
227,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
228,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
229,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
230,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland
231,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
232,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
233,Bareland,Bareland,Built-up,NULL,Non_Wetland,Grassland
234,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
235,Bareland,Built-up,NULL,NULL,Non_Wetland,Grassland
236,Bareland,Built-up,NULL,NULL,Non_Wetland,Cropland
237,Bareland,Built-up,NULL,NULL,Non_Wetland,Bareland
238,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
239,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
240,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL
241,Bareland,Built-up,Grassland,NULL,Non_Wetland,Grassland
242,Bareland,Built-up,Grassland,NULL,Non_Wetland,Cropland
243,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland
244,Bareland,Built-up,Grassland,NULL,Non_Wetland,Built-up
245,Bareland,Built-up,Cropland,NULL,Non_Wetland,Grassland
246,Bareland,Built-up,Cropland,NULL,Non_Wetland,Cropland
247,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland
248,Bareland,Built-up,Bareland,NULL,Non_Wetland,Grassland
249,Bareland,Built-up,Bareland,NULL,Non_Wetland,Cropland
250,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland
251,Bareland,Built-up,Bareland,NULL,Non_Wetland,Built-up
252,Bareland,Built-up,Built-up,NULL,Non_Wetland,Grassland
253,Bareland,Built-up,Built-up,NULL,Non_Wetland,Cropland
254,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland
255,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up
256,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL
257,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland
258,Forest,NULL,NULL,NULL,Non_Wetland,NULL
259,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
260,Forest,NULL,NULL,NULL,Non_Wetland,Forest
261,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
262,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
263,Forest,NULL,Shrubland,NULL,Non_Wetland,Cropland
264,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
265,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
266,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
267,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland
268,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
269,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
270,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
271,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
272,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
273,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
274,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
275,Forest,Cropland,NULL,NULL,Non_Wetland,Forest
276,Forest,Cropland,Shrubland,NULL,Non_Wetland,Forest
277,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL
278,Forest,Cropland,Grassland,NULL,Non_Wetland,Grassland
279,Forest,Cropland,Grassland,NULL,Non_Wetland,Cropland
280,Forest,Cropland,Grassland,NULL,Non_Wetland,Forest
281,Forest,Cropland,Cropland,NULL,Non_Wetland,Forest
282,Forest,Cropland,Wetland,NULL,Wetland,Forest
283,Forest,Cropland,Built-up,NULL,Non_Wetland,Forest
284,Forest,Cropland,Forest,NULL,Non_Wetland,Forest
285,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL
286,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL
287,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
288,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
289,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
290,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
291,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
292,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
293,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
