Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Non_Wetland,Water,Shrubland
AFRICA_2024_WorldCover_2021_35PMQ_M_R,Shrubland,1,1,1,1,1,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMQ_M_R,Grassland,0,1,3,1,1,1,0,0,0
AFRICA_2024_WorldCover_2021_35PMQ_M_R,Cropland,14,0,12,0,1,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMQ_M_R,Wetland,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMQ_M_R,Lichens_and_Mosses,1,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMQ_M_R,Bareland,12,6,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMQ_M_R,Built-up,4,0,3,0,3,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMQ_M_R,Forest,7,1,2,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMQ_M_R,Water,0,0,0,0,0,2,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PMQ_M_R,Grassland,0,0,0,0,0,0,1,0,0
AFRICA_2024_GWL_FCS30D_2022_35PMQ_M_R,Water,0,0,0,0,0,1,2,0,0
AFRICA_2024_GSW_Yearly_2021_35PMQ_M_R,Grassland,0,0,0,0,0,0,0,2,0
AFRICA_2024_GSW_Yearly_2021_35PMQ_M_R,Wetland,0,0,0,0,0,0,0,2,0
AFRICA_2024_GSW_Yearly_2021_35PMQ_M_R,Bareland,0,0,0,0,0,0,0,1,0
AFRICA_2024_GLC_FCS30D_2022_35PMQ_M_R,Cropland,12,0,5,1,5,0,0,0,10
AFRICA_2024_GLC_FCS30D_2022_35PMQ_M_R,Bareland,6,3,0,4,4,0,0,0,6
AFRICA_2024_GLC_FCS30D_2022_35PMQ_M_R,Built-up,4,0,0,0,0,0,0,0,1
AFRICA_2024_GLC_FCS30D_2022_35PMQ_M_R,Water,2,1,1,0,0,1,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35PMQ_M_R,Forest,4,3,1,2,0,0,0,0,3
AFRICA_2024_ESRI_Annual_LULC_2024_35PMQ_M_R,Grassland,0,2,0,1,1,0,0,1,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PMQ_M_R,Bareland,0,10,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PMQ_M_R,Wetland,0,0,0,0,0,0,0,2,0
AFRICA_2024_DynamicWorld_2024_35PMQ_M_R,Grassland,0,1,2,0,1,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PMQ_M_R,Bareland,0,1,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PMQ_M_R,Cropland,0,0,2,0,0,0,0,0,0
