Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Non_Water,Non_Wetland,Shrubland
AFRICA_2024_WorldCover_2021_36NVK_M_R,Shrubland,3,1,1,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NVK_M_R,Grassland,0,12,3,10,11,10,1,0,0,0
AFRICA_2024_WorldCover_2021_36NVK_M_R,Cropland,30,0,6,19,17,6,0,0,0,0
AFRICA_2024_WorldCover_2021_36NVK_M_R,Wetland,25,0,0,0,20,0,2,0,0,0
AFRICA_2024_WorldCover_2021_36NVK_M_R,Bareland,13,6,0,2,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NVK_M_R,Built-up,9,7,7,0,7,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NVK_M_R,Forest,59,25,17,22,0,14,6,0,0,0
AFRICA_2024_WorldCover_2021_36NVK_M_R,Water,52,10,24,5,29,10,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NVK_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NVK_M_R,Grassland,0,0,0,0,0,0,15,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NVK_M_R,Forest,0,0,0,0,0,0,25,8,0,0
AFRICA_2024_GSW_Yearly_2021_36NVK_M_R,Wetland,0,0,0,0,0,0,1,2,0,0
AFRICA_2024_GSW_Yearly_2021_36NVK_M_R,Bareland,0,0,0,0,0,0,3,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NVK_M_R,Water,0,0,0,0,0,0,0,27,0,0
AFRICA_2024_GWL_FCS30D_2022_36NVK_M_R,Forest,0,0,0,0,0,18,3,0,20,0
AFRICA_2024_GWL_FCS30D_2022_36NVK_M_R,Cropland,0,0,0,0,0,2,0,0,6,0
AFRICA_2024_GWL_FCS30D_2022_36NVK_M_R,Grassland,0,0,0,0,0,3,0,0,10,0
AFRICA_2024_GWL_FCS30D_2022_36NVK_M_R,Water,0,0,0,0,0,16,0,0,10,0
AFRICA_2024_GWL_FCS30D_2022_36NVK_M_R,Wetland,0,0,0,0,0,0,0,0,22,0
AFRICA_2024_GLC_FCS30D_2022_36NVK_M_R,Cropland,7,0,2,12,21,2,0,0,0,27
AFRICA_2024_GLC_FCS30D_2022_36NVK_M_R,Built-up,7,7,2,0,7,0,0,0,0,8
AFRICA_2024_GLC_FCS30D_2022_36NVK_M_R,Water,13,17,20,4,31,16,0,0,0,43
AFRICA_2024_GLC_FCS30D_2022_36NVK_M_R,Forest,14,29,21,16,0,18,3,0,0,50
AFRICA_2024_GLC_FCS30D_2022_36NVK_M_R,Grassland,0,13,8,5,21,3,0,0,0,26
AFRICA_2024_GLC_FCS30D_2022_36NVK_M_R,Wetland,0,7,4,0,4,0,0,0,0,4
AFRICA_2024_GLC_FCS30D_2022_36NVK_M_R,Bareland,7,1,0,1,3,0,0,0,0,9
AFRICA_2024_ESRI_Annual_LULC_2024_36NVK_M_R,Grassland,0,19,1,8,27,0,8,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NVK_M_R,Built-up,0,2,0,0,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NVK_M_R,Forest,0,24,0,23,0,0,26,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NVK_M_R,Cropland,0,0,0,18,16,0,1,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NVK_M_R,Wetland,0,5,0,4,18,0,15,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NVK_M_R,Bareland,0,0,0,0,5,0,3,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NVK_M_R,Water,0,7,2,11,17,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NVK_M_R,Cropland,10,0,0,0,10,0,10,0,0,0
AFRICA_2024_DynamicWorld_2024_36NVK_M_R,Wetland,9,6,0,0,10,0,9,0,0,0
AFRICA_2024_DynamicWorld_2024_36NVK_M_R,Built-up,2,7,0,0,10,0,6,0,0,0
AFRICA_2024_DynamicWorld_2024_36NVK_M_R,Forest,23,10,2,0,0,6,14,0,0,0
AFRICA_2024_DynamicWorld_2024_36NVK_M_R,Water,3,0,0,0,5,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NVK_M_R,Grassland,0,2,5,0,2,0,3,0,0,0
