Value,AFRICA_2024_DynamicWorld_2024_35NMJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NMJ_M_R,AFRICA_2024_GLC_FCS30D_2022_35NMJ_M_R,AFRICA_2024_GSW_Yearly_2021_35NMJ_M_R,AFRICA_2024_GWL_FCS30D_2022_35NMJ_M_R,AFRICA_2024_WorldCover_2021_35NMJ_M_R
123,NULL,Water,Wetland,Non_Water,Wetland,Forest
124,NULL,Water,Wetland,Water,Wetland,Grassland
125,NULL,Water,Wetland,Water,Wetland,Wetland
126,NULL,Water,Wetland,Water,Wetland,Forest
127,NULL,Water,Bareland,NULL,Non_Wetland,Forest
128,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
129,NULL,Water,Built-up,Water,Non_Wetland,Grassland
130,NULL,Water,Built-up,Water,Non_Wetland,Forest
131,NULL,Water,Water,NULL,Water,Forest
132,NULL,Water,Water,Non_Water,Water,Forest
133,NULL,Water,Water,Water,Water,Grassland
134,NULL,Water,Water,Water,Water,Forest
135,NULL,Water,Forest,NULL,Non_Wetland,NULL
136,NULL,Water,Forest,NULL,Non_Wetland,Grassland
137,NULL,Water,Forest,NULL,Non_Wetland,Forest
138,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
139,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
140,NULL,Water,Forest,Water,Non_Wetland,Grassland
141,NULL,Water,Forest,Water,Non_Wetland,Forest
142,NULL,Forest,NULL,NULL,Non_Wetland,NULL
143,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
144,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
145,NULL,Forest,NULL,NULL,Non_Wetland,Forest
146,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
147,NULL,Forest,NULL,Water,Non_Wetland,Forest
148,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
149,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
150,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
151,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
152,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
153,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
154,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
155,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
156,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
157,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
158,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
159,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
160,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
161,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
162,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
163,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
164,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
165,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
166,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
167,NULL,Forest,Wetland,NULL,Wetland,NULL
168,NULL,Forest,Wetland,NULL,Wetland,Grassland
169,NULL,Forest,Wetland,NULL,Wetland,Wetland
170,NULL,Forest,Wetland,NULL,Wetland,Forest
171,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
172,NULL,Forest,Wetland,Non_Water,Wetland,Forest
173,NULL,Forest,Wetland,Water,Wetland,NULL
174,NULL,Forest,Wetland,Water,Wetland,Grassland
175,NULL,Forest,Wetland,Water,Wetland,Forest
176,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
177,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
178,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
179,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
180,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
181,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
182,NULL,Forest,Water,NULL,Water,Forest
183,NULL,Forest,Water,Non_Water,Water,Forest
184,NULL,Forest,Forest,NULL,Non_Wetland,NULL
185,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
186,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
187,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
188,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
189,NULL,Forest,Forest,NULL,Non_Wetland,Forest
190,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
191,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
192,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
193,NULL,Forest,Forest,Water,Non_Wetland,NULL
194,NULL,Forest,Forest,Water,Non_Wetland,Grassland
195,NULL,Forest,Forest,Water,Non_Wetland,Wetland
196,NULL,Forest,Forest,Water,Non_Wetland,Forest
197,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
198,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
199,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
200,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
201,Wetland,NULL,Wetland,NULL,Wetland,Grassland
202,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
203,Wetland,NULL,Wetland,Water,Wetland,NULL
204,Wetland,NULL,Wetland,Water,Wetland,Wetland
205,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
206,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
207,Wetland,NULL,Forest,Water,Non_Wetland,NULL
208,Wetland,Forest,Shrubland,NULL,Non_Wetland,Grassland
209,Wetland,Forest,Wetland,NULL,Wetland,NULL
210,Wetland,Forest,Wetland,NULL,Wetland,Forest
211,Wetland,Forest,Wetland,Non_Water,Wetland,Grassland
212,Wetland,Forest,Forest,NULL,Non_Wetland,NULL
213,Wetland,Forest,Forest,Non_Water,Non_Wetland,Grassland
214,Water,NULL,Shrubland,Water,Non_Wetland,Forest
215,Water,NULL,Wetland,NULL,Wetland,NULL
216,Water,NULL,Wetland,NULL,Wetland,Grassland
217,Water,NULL,Wetland,NULL,Wetland,Forest
218,Water,NULL,Forest,NULL,Non_Wetland,NULL
219,Water,NULL,Forest,NULL,Non_Wetland,Grassland
220,Water,NULL,Forest,NULL,Non_Wetland,Forest
221,Water,Forest,Shrubland,NULL,Non_Wetland,Grassland
222,Water,Forest,Shrubland,NULL,Non_Wetland,Forest
223,Water,Forest,Wetland,Non_Water,Wetland,Forest
224,Water,Forest,Forest,NULL,Non_Wetland,Grassland
225,Water,Forest,Forest,Non_Water,Non_Wetland,Forest
226,Forest,NULL,NULL,NULL,Non_Wetland,NULL
227,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
228,Forest,NULL,NULL,NULL,Non_Wetland,Forest
229,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
230,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
231,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland
232,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
233,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL
234,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
235,Forest,NULL,Shrubland,Water,Non_Wetland,Grassland
236,Forest,NULL,Shrubland,Water,Non_Wetland,Wetland
237,Forest,NULL,Wetland,NULL,Wetland,NULL
238,Forest,NULL,Wetland,NULL,Wetland,Grassland
239,Forest,NULL,Wetland,NULL,Wetland,Forest
240,Forest,NULL,Wetland,Non_Water,Wetland,Grassland
241,Forest,NULL,Wetland,Non_Water,Wetland,Forest
242,Forest,NULL,Wetland,Water,Wetland,Grassland
243,Forest,NULL,Forest,NULL,Non_Wetland,NULL
244,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
245,Forest,NULL,Forest,NULL,Non_Wetland,Bareland
246,Forest,NULL,Forest,NULL,Non_Wetland,Forest
247,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL
248,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland
249,Forest,NULL,Forest,Non_Water,Non_Wetland,Forest
250,Forest,NULL,Forest,Water,Non_Wetland,NULL
251,Forest,NULL,Forest,Water,Non_Wetland,Grassland
252,Forest,NULL,Forest,Water,Non_Wetland,Forest
253,Forest,Forest,NULL,NULL,Non_Wetland,NULL
254,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
255,Forest,Forest,NULL,NULL,Non_Wetland,Built-up
256,Forest,Forest,NULL,NULL,Non_Wetland,Forest
257,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
258,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
259,Forest,Forest,Shrubland,NULL,Non_Wetland,Bareland
260,Forest,Forest,Shrubland,NULL,Non_Wetland,Built-up
261,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
262,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL
263,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
264,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest
265,Forest,Forest,Shrubland,Water,Non_Wetland,NULL
266,Forest,Forest,Shrubland,Water,Non_Wetland,Forest
267,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
268,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
269,Forest,Forest,Wetland,NULL,Wetland,NULL
270,Forest,Forest,Wetland,NULL,Wetland,Grassland
271,Forest,Forest,Wetland,NULL,Wetland,Forest
272,Forest,Forest,Wetland,Non_Water,Wetland,Grassland
273,Forest,Forest,Wetland,Non_Water,Wetland,Forest
274,Forest,Forest,Wetland,Water,Wetland,NULL
275,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
276,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
277,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
278,Forest,Forest,Built-up,NULL,Non_Wetland,Built-up
279,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
280,Forest,Forest,Forest,NULL,Non_Wetland,NULL
281,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
282,Forest,Forest,Forest,NULL,Non_Wetland,Wetland
283,Forest,Forest,Forest,NULL,Non_Wetland,Built-up
284,Forest,Forest,Forest,NULL,Non_Wetland,Forest
285,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL
286,Forest,Forest,Forest,Non_Water,Non_Wetland,Grassland
287,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
288,Forest,Forest,Forest,Water,Non_Wetland,NULL
289,Forest,Forest,Forest,Water,Non_Wetland,Grassland
290,Forest,Forest,Forest,Water,Non_Wetland,Forest
