Value,AFRICA_2024_DynamicWorld_2024_36NTN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NTN_M_R,AFRICA_2024_GLC_FCS30D_2022_36NTN_M_R,AFRICA_2024_GSW_Yearly_2021_36NTN_M_R,AFRICA_2024_GWL_FCS30D_2022_36NTN_M_R,AFRICA_2024_WorldCover_2021_36NTN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
21,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Water
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
29,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
30,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
31,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
32,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
38,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
39,NULL,NULL,Wetland,NULL,Wetland,Grassland
40,NULL,NULL,Wetland,NULL,Wetland,Wetland
41,NULL,NULL,Wetland,NULL,Wetland,Forest
42,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
43,NULL,NULL,Wetland,Water,Wetland,Wetland
44,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
45,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
46,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
47,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
48,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
49,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
50,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
51,NULL,NULL,Water,NULL,Water,Grassland
52,NULL,NULL,Water,Non_Water,Water,Wetland
53,NULL,NULL,Water,Water,Water,Wetland
54,NULL,NULL,Forest,NULL,Non_Wetland,NULL
55,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
56,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
57,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
58,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
59,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
60,NULL,NULL,Forest,NULL,Non_Wetland,Forest
61,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
62,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
63,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
64,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
65,NULL,NULL,Forest,Water,Non_Wetland,NULL
66,NULL,NULL,Forest,Water,Non_Wetland,Grassland
67,NULL,NULL,Forest,Water,Non_Wetland,Wetland
68,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
69,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
70,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
71,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
72,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
73,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL
74,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
75,NULL,Cropland,NULL,Non_Water,Non_Wetland,Forest
76,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
77,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
78,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
79,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
80,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
81,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
82,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
83,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
84,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
85,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
86,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
87,NULL,Cropland,Shrubland,Water,Non_Wetland,Bareland
88,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
89,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
90,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
91,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
92,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
93,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
94,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
95,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
96,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
97,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
98,NULL,Cropland,Wetland,NULL,Wetland,Wetland
99,NULL,Cropland,Wetland,NULL,Wetland,Forest
100,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
101,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
102,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
103,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
104,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
105,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
106,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
107,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
108,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
109,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
110,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
111,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
112,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
113,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL
114,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
115,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
116,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
117,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
118,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
119,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
