Value,AFRICA_2024_DynamicWorld_2024_36PUC_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PUC_M_R,AFRICA_2024_GLC_FCS30D_2022_36PUC_M_R,AFRICA_2024_GSW_Yearly_2021_36PUC_M_R,AFRICA_2024_GWL_FCS30D_2022_36PUC_M_R,AFRICA_2024_WorldCover_2021_36PUC_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
2,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
3,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
4,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
5,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
6,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
7,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
8,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
9,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
11,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
12,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
13,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
14,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
15,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
16,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
17,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
18,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
19,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
20,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
21,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
22,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
23,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
24,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
25,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
26,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
27,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
28,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
29,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
30,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
31,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
32,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
33,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
34,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
35,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
36,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
37,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
38,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
39,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
40,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
41,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
42,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
43,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
44,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
45,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
46,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
47,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
48,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
49,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
50,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
51,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
52,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
53,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
54,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
55,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
56,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
57,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
58,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
59,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
60,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
61,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
62,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
63,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
64,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
65,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
66,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
67,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
68,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
69,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
70,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
71,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
72,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
73,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
74,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
75,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
76,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
77,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
78,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
79,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
80,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
81,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
82,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
83,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
84,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
85,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
86,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
87,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
88,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
89,Cropland,NULL,Bareland,NULL,Non_Wetland,Built-up
90,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
91,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
92,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
93,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
94,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
95,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
96,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
97,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
98,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
99,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
100,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
101,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
102,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
103,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
104,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
105,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
106,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
107,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
108,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
109,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
110,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
111,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
112,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
113,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
114,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
115,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
116,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
117,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
118,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
119,Cropland,Cropland,Bareland,NULL,Non_Wetland,Forest
120,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
121,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
122,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
123,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL
124,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
125,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
126,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
127,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland
128,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
129,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
130,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
131,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
132,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
133,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
134,Cropland,Built-up,Grassland,NULL,Non_Wetland,Forest
135,Cropland,Built-up,Cropland,NULL,Non_Wetland,Cropland
136,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland
137,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
138,Cropland,Built-up,Bareland,NULL,Non_Wetland,Grassland
139,Cropland,Built-up,Bareland,NULL,Non_Wetland,Cropland
140,Cropland,Built-up,Bareland,NULL,Non_Wetland,Bareland
141,Cropland,Built-up,Bareland,NULL,Non_Wetland,Forest
142,Cropland,Forest,Built-up,NULL,Non_Wetland,Forest
143,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
144,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
145,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
146,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
147,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
148,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
149,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
150,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
151,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
152,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
153,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
154,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
155,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
156,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
157,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
158,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
159,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
160,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
161,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
162,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
163,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
164,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
165,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL
166,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
167,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
168,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
169,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
170,Bareland,NULL,Grassland,Water,Non_Wetland,Cropland
171,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
172,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
173,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
174,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
175,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
176,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
177,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL
178,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
179,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
180,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
181,Bareland,NULL,Cropland,Water,Non_Wetland,Grassland
182,Bareland,NULL,Cropland,Water,Non_Wetland,Cropland
183,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
184,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
185,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
186,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
187,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
188,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
189,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
190,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up
191,Bareland,NULL,Bareland,NULL,Non_Wetland,Forest
192,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
193,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
194,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
195,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
196,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
197,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
198,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
199,Bareland,NULL,Built-up,NULL,Non_Wetland,Cropland
200,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
201,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up
202,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL
203,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Cropland
204,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
205,Bareland,NULL,Built-up,Water,Non_Wetland,Bareland
206,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
207,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland
208,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland
209,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland
210,Bareland,Cropland,NULL,NULL,Non_Wetland,Cropland
211,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
212,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
213,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL
214,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
215,Bareland,Cropland,Grassland,NULL,Non_Wetland,Cropland
216,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
217,Bareland,Cropland,Grassland,NULL,Non_Wetland,Forest
218,Bareland,Cropland,Cropland,NULL,Non_Wetland,NULL
219,Bareland,Cropland,Cropland,NULL,Non_Wetland,Grassland
220,Bareland,Cropland,Cropland,NULL,Non_Wetland,Cropland
221,Bareland,Cropland,Cropland,NULL,Non_Wetland,Bareland
222,Bareland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
223,Bareland,Cropland,Bareland,NULL,Non_Wetland,Grassland
224,Bareland,Cropland,Bareland,NULL,Non_Wetland,Cropland
225,Bareland,Cropland,Bareland,NULL,Non_Wetland,Bareland
226,Bareland,Cropland,Bareland,NULL,Non_Wetland,Forest
227,Bareland,Cropland,Built-up,NULL,Non_Wetland,Built-up
228,Bareland,Cropland,Forest,NULL,Non_Wetland,Cropland
229,Bareland,Wetland,Bareland,NULL,Non_Wetland,Bareland
230,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland
231,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
232,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
233,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
234,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
235,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland
236,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
237,Bareland,Bareland,Bareland,NULL,Non_Wetland,Cropland
238,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
239,Bareland,Bareland,Built-up,NULL,Non_Wetland,Grassland
240,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
241,Bareland,Built-up,NULL,NULL,Non_Wetland,Grassland
242,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
243,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
244,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL
245,Bareland,Built-up,Grassland,NULL,Non_Wetland,Grassland
246,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland
247,Bareland,Built-up,Grassland,NULL,Non_Wetland,Built-up
248,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL
249,Bareland,Built-up,Cropland,NULL,Non_Wetland,Grassland
250,Bareland,Built-up,Bareland,NULL,Non_Wetland,NULL
251,Bareland,Built-up,Bareland,NULL,Non_Wetland,Grassland
252,Bareland,Built-up,Bareland,NULL,Non_Wetland,Cropland
253,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland
254,Bareland,Built-up,Bareland,NULL,Non_Wetland,Built-up
255,Bareland,Built-up,Built-up,NULL,Non_Wetland,Grassland
256,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland
257,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up
258,Bareland,Forest,Bareland,NULL,Non_Wetland,Bareland
259,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
260,Water,NULL,Grassland,NULL,Non_Wetland,Cropland
261,Water,NULL,Grassland,Non_Water,Non_Wetland,Cropland
262,Water,NULL,Grassland,Water,Non_Wetland,Cropland
263,Water,NULL,Cropland,NULL,Non_Wetland,Cropland
264,Water,NULL,Cropland,Non_Water,Non_Wetland,Cropland
265,Water,NULL,Bareland,NULL,Non_Wetland,Cropland
266,Water,Water,Bareland,NULL,Non_Wetland,Bareland
267,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
268,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
269,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland
