Dataset,MajorityClass,Grassland,Bareland,Forest,Cropland,Wetland,Built-up,Water,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_36NZK_M_R,Shrubland,2,1,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NZK_M_R,Grassland,0,6,4,5,3,1,2,0,0,0,0
AFRICA_2024_WorldCover_2021_36NZK_M_R,Cropland,35,18,26,0,11,3,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NZK_M_R,Wetland,34,25,42,15,0,2,5,0,0,0,0
AFRICA_2024_WorldCover_2021_36NZK_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NZK_M_R,Bareland,48,0,21,3,2,9,2,0,0,0,0
AFRICA_2024_WorldCover_2021_36NZK_M_R,Built-up,13,6,8,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NZK_M_R,Water,59,58,53,27,48,6,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NZK_M_R,Forest,32,11,0,3,16,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NZK_M_R,Grassland,0,0,0,0,0,0,0,33,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NZK_M_R,Bareland,0,0,0,0,6,0,1,34,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NZK_M_R,Wetland,0,0,0,0,0,0,3,180,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NZK_M_R,Forest,0,0,0,0,9,0,0,37,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NZK_M_R,Water,0,0,0,0,26,0,0,100,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NZK_M_R,Cropland,0,0,0,0,2,0,0,22,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NZK_M_R,Grassland,0,0,0,0,0,0,13,0,1,0,0
AFRICA_2024_GSW_Yearly_2021_36NZK_M_R,Bareland,0,0,0,0,0,0,43,0,3,0,0
AFRICA_2024_GSW_Yearly_2021_36NZK_M_R,Built-up,0,0,0,0,0,0,4,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NZK_M_R,Wetland,0,0,0,0,0,0,57,0,4,0,0
AFRICA_2024_GSW_Yearly_2021_36NZK_M_R,Cropland,0,0,0,0,0,0,9,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NZK_M_R,Water,0,0,0,0,0,0,0,0,44,0,0
AFRICA_2024_GSW_Yearly_2021_36NZK_M_R,Forest,0,0,0,0,0,0,10,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36NZK_M_R,Cropland,35,32,6,0,2,16,0,0,0,27,1
AFRICA_2024_GLC_FCS30D_2022_36NZK_M_R,Wetland,41,51,7,14,0,21,3,0,0,31,0
AFRICA_2024_GLC_FCS30D_2022_36NZK_M_R,Bareland,38,0,3,10,6,24,1,0,0,27,0
AFRICA_2024_GLC_FCS30D_2022_36NZK_M_R,Built-up,6,8,2,1,0,0,0,0,0,6,0
AFRICA_2024_GLC_FCS30D_2022_36NZK_M_R,Water,63,80,13,27,26,35,0,0,0,49,0
AFRICA_2024_GLC_FCS30D_2022_36NZK_M_R,Forest,38,38,0,21,9,14,0,0,0,28,3
AFRICA_2024_GLC_FCS30D_2022_36NZK_M_R,Grassland,0,11,1,0,0,1,0,0,0,5,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NZK_M_R,Grassland,0,5,6,6,24,8,4,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NZK_M_R,Bareland,0,0,10,26,15,30,21,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NZK_M_R,Water,0,13,5,11,69,18,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NZK_M_R,Cropland,0,5,10,0,11,17,2,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NZK_M_R,Wetland,0,3,1,8,0,10,27,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NZK_M_R,Forest,0,1,0,19,21,21,9,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NZK_M_R,Wetland,8,3,12,9,0,0,31,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NZK_M_R,Water,3,1,2,0,19,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NZK_M_R,Bareland,4,0,7,14,17,0,15,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NZK_M_R,Grassland,0,9,5,7,8,0,7,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NZK_M_R,Forest,0,9,0,7,1,0,9,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NZK_M_R,Built-up,0,7,1,1,0,0,8,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NZK_M_R,Cropland,0,1,1,0,1,0,1,0,0,0,0
