Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Built-up,Wetland,Water,Non_Water,Shrubland,Lichens_and_Mosses,Non_Wetland
AFRICA_2024_WorldCover_2021_35PQS_M_R,Shrubland,2,1,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PQS_M_R,Grassland,0,2,1,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PQS_M_R,Cropland,24,0,14,13,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PQS_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PQS_M_R,Bareland,38,9,0,7,4,9,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PQS_M_R,Built-up,5,1,5,2,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PQS_M_R,Forest,17,5,2,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PQS_M_R,Wetland,32,6,7,20,0,0,2,0,0,0,0
AFRICA_2024_WorldCover_2021_35PQS_M_R,Water,47,25,33,12,1,18,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PQS_M_R,Grassland,0,0,0,0,0,0,9,4,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PQS_M_R,Cropland,0,0,0,0,0,0,8,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PQS_M_R,Wetland,0,0,0,0,0,0,14,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PQS_M_R,Bareland,0,0,0,0,0,0,21,7,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PQS_M_R,Water,0,0,0,0,0,0,0,31,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PQS_M_R,Grassland,0,3,2,6,6,10,6,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PQS_M_R,Cropland,0,0,1,8,3,8,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PQS_M_R,Bareland,0,12,0,5,13,8,17,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PQS_M_R,Forest,0,0,0,0,0,4,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PQS_M_R,Wetland,0,0,1,14,0,0,5,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PQS_M_R,Water,0,0,11,0,2,2,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35PQS_M_R,Cropland,23,0,9,5,7,0,0,0,12,2,0
AFRICA_2024_GLC_FCS30D_2022_35PQS_M_R,Wetland,20,12,4,9,5,0,0,0,11,0,0
AFRICA_2024_GLC_FCS30D_2022_35PQS_M_R,Built-up,6,0,0,0,0,0,0,0,4,1,0
AFRICA_2024_GLC_FCS30D_2022_35PQS_M_R,Water,47,6,21,11,8,15,0,0,18,0,0
AFRICA_2024_GLC_FCS30D_2022_35PQS_M_R,Forest,16,4,1,0,9,4,0,0,10,0,0
AFRICA_2024_GLC_FCS30D_2022_35PQS_M_R,Grassland,0,0,1,2,0,0,0,0,1,0,0
AFRICA_2024_GLC_FCS30D_2022_35PQS_M_R,Bareland,32,4,0,10,13,2,1,0,22,9,0
AFRICA_2024_GWL_FCS30D_2022_35PQS_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,73
AFRICA_2024_GWL_FCS30D_2022_35PQS_M_R,Grassland,0,0,0,0,0,0,0,0,0,0,16
AFRICA_2024_GWL_FCS30D_2022_35PQS_M_R,Cropland,0,0,0,0,0,0,0,0,0,0,9
AFRICA_2024_GWL_FCS30D_2022_35PQS_M_R,Bareland,0,0,0,0,0,2,1,0,0,0,18
AFRICA_2024_GWL_FCS30D_2022_35PQS_M_R,Forest,0,0,0,0,0,4,0,0,0,0,13
AFRICA_2024_GWL_FCS30D_2022_35PQS_M_R,Water,0,0,0,0,0,15,0,0,0,0,22
AFRICA_2024_DynamicWorld_2024_35PQS_M_R,Bareland,1,7,0,0,0,1,7,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PQS_M_R,Grassland,0,10,10,2,0,6,6,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PQS_M_R,Forest,0,8,3,0,0,9,4,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PQS_M_R,Water,0,1,6,0,0,4,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PQS_M_R,Wetland,0,0,4,2,0,0,5,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PQS_M_R,Built-up,0,0,5,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PQS_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0
