Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Non_Water,Shrubland,Lichens_and_Mosses,Wetland,Non_Wetland
AFRICA_2024_WorldCover_2021_37PCR_M_R,Shrubland,3,2,1,1,1,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PCR_M_R,Grassland,0,13,4,2,2,14,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PCR_M_R,Cropland,61,0,44,23,24,50,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PCR_M_R,Wetland,19,15,12,0,9,20,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PCR_M_R,Lichens_and_Mosses,1,1,1,0,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PCR_M_R,Bareland,57,49,0,10,29,21,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PCR_M_R,Built-up,12,10,7,0,1,7,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PCR_M_R,Water,88,57,62,0,0,67,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PCR_M_R,Forest,61,56,35,10,17,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PCR_M_R,Shrubland,0,0,0,0,2,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PCR_M_R,Grassland,0,0,0,0,3,0,5,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PCR_M_R,Cropland,0,0,0,0,53,0,16,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PCR_M_R,Wetland,0,0,0,0,17,0,9,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PCR_M_R,Bareland,0,0,0,0,51,0,31,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PCR_M_R,Built-up,0,0,0,0,2,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PCR_M_R,Forest,0,0,0,0,48,0,19,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PCR_M_R,Water,0,0,0,0,0,0,82,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PCR_M_R,Water,38,59,62,40,0,40,0,56,11,38,0
AFRICA_2024_GLC_FCS30D_2022_37PCR_M_R,Cropland,30,0,40,29,1,42,0,47,8,8,0
AFRICA_2024_GLC_FCS30D_2022_37PCR_M_R,Bareland,38,44,0,31,3,21,0,39,4,14,0
AFRICA_2024_GLC_FCS30D_2022_37PCR_M_R,Built-up,7,5,4,0,0,5,0,6,2,0,0
AFRICA_2024_GLC_FCS30D_2022_37PCR_M_R,Forest,32,48,41,23,6,0,0,49,9,18,0
AFRICA_2024_GLC_FCS30D_2022_37PCR_M_R,Grassland,0,10,7,0,0,7,0,12,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PCR_M_R,Wetland,2,14,6,3,0,2,0,8,1,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PCR_M_R,Grassland,0,15,2,4,7,12,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PCR_M_R,Bareland,0,33,0,12,57,5,0,0,0,1,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PCR_M_R,Built-up,0,2,0,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PCR_M_R,Water,0,21,25,2,0,12,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PCR_M_R,Forest,0,30,0,20,55,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PCR_M_R,Cropland,0,0,7,25,42,18,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PCR_M_R,Wetland,0,2,1,1,23,1,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PCR_M_R,Forest,0,0,0,0,6,0,0,0,0,18,8
AFRICA_2024_GWL_FCS30D_2022_37PCR_M_R,Cropland,0,0,0,0,1,0,0,0,0,8,3
AFRICA_2024_GWL_FCS30D_2022_37PCR_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,38
AFRICA_2024_GWL_FCS30D_2022_37PCR_M_R,Grassland,0,0,0,0,0,0,0,0,0,0,2
AFRICA_2024_GWL_FCS30D_2022_37PCR_M_R,Bareland,0,0,0,0,3,0,0,0,0,14,4
AFRICA_2024_GWL_FCS30D_2022_37PCR_M_R,Water,0,0,0,0,0,0,0,0,0,38,1
AFRICA_2024_DynamicWorld_2024_37PCR_M_R,Cropland,10,0,23,0,15,24,0,0,0,3,0
AFRICA_2024_DynamicWorld_2024_37PCR_M_R,Water,2,15,29,0,0,28,0,0,0,1,0
AFRICA_2024_DynamicWorld_2024_37PCR_M_R,Wetland,3,6,6,0,8,19,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PCR_M_R,Bareland,1,9,0,0,17,6,0,0,0,3,0
AFRICA_2024_DynamicWorld_2024_37PCR_M_R,Forest,10,19,5,0,14,0,0,0,0,8,0
AFRICA_2024_DynamicWorld_2024_37PCR_M_R,Grassland,0,6,6,0,2,6,0,0,0,2,0
AFRICA_2024_DynamicWorld_2024_37PCR_M_R,Built-up,0,4,4,0,0,1,0,0,0,0,0
