Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Non_Water,Non_Wetland,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_37PHL_M_R,Shrubland,2,1,1,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHL_M_R,Grassland,0,22,4,2,6,24,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHL_M_R,Cropland,55,0,32,29,28,47,13,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHL_M_R,Wetland,6,9,0,0,1,0,7,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHL_M_R,Lichens_and_Mosses,1,1,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHL_M_R,Bareland,34,22,0,16,5,0,3,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHL_M_R,Built-up,10,15,9,0,9,4,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHL_M_R,Water,31,74,22,5,11,77,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHL_M_R,Forest,39,41,20,19,0,38,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PHL_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PHL_M_R,Grassland,0,0,0,0,0,0,14,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PHL_M_R,Cropland,0,0,0,0,0,0,56,20,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PHL_M_R,Bareland,0,0,0,0,0,0,4,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PHL_M_R,Forest,0,0,0,0,0,0,15,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PHL_M_R,Wetland,0,0,0,0,0,0,31,7,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PHL_M_R,Built-up,0,0,0,0,0,0,2,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PHL_M_R,Water,0,0,0,0,0,0,0,30,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PHL_M_R,Grassland,0,0,0,0,0,0,0,0,27,0,0
AFRICA_2024_GWL_FCS30D_2022_37PHL_M_R,Cropland,0,0,0,0,0,3,12,0,79,0,0
AFRICA_2024_GWL_FCS30D_2022_37PHL_M_R,Forest,0,0,0,0,0,1,2,0,53,0,0
AFRICA_2024_GWL_FCS30D_2022_37PHL_M_R,Wetland,0,0,0,0,0,0,5,0,52,0,0
AFRICA_2024_GWL_FCS30D_2022_37PHL_M_R,Built-up,0,0,0,0,0,0,0,0,4,0,0
AFRICA_2024_GWL_FCS30D_2022_37PHL_M_R,Water,0,0,0,0,0,16,0,0,53,0,0
AFRICA_2024_GWL_FCS30D_2022_37PHL_M_R,Bareland,0,0,0,0,0,0,0,0,2,0,0
AFRICA_2024_GLC_FCS30D_2022_37PHL_M_R,Water,27,42,31,7,48,16,0,0,0,30,0
AFRICA_2024_GLC_FCS30D_2022_37PHL_M_R,Cropland,42,0,40,30,55,3,12,0,0,62,14
AFRICA_2024_GLC_FCS30D_2022_37PHL_M_R,Wetland,1,8,8,2,22,0,5,0,0,3,0
AFRICA_2024_GLC_FCS30D_2022_37PHL_M_R,Bareland,31,23,0,18,11,0,0,0,0,24,5
AFRICA_2024_GLC_FCS30D_2022_37PHL_M_R,Built-up,10,10,8,0,8,0,0,0,0,10,4
AFRICA_2024_GLC_FCS30D_2022_37PHL_M_R,Forest,35,34,26,18,0,1,2,0,0,29,11
AFRICA_2024_GLC_FCS30D_2022_37PHL_M_R,Grassland,0,19,9,4,22,0,0,0,0,15,1
AFRICA_2024_ESRI_Annual_LULC_2024_37PHL_M_R,Grassland,0,31,3,16,17,3,13,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHL_M_R,Bareland,0,24,0,23,15,2,12,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHL_M_R,Built-up,0,3,2,0,2,0,1,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHL_M_R,Forest,0,39,5,37,0,18,15,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHL_M_R,Cropland,0,0,14,41,36,17,39,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHL_M_R,Water,0,68,3,20,3,16,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHL_M_R,Wetland,0,23,0,2,3,0,20,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PHL_M_R,Cropland,25,0,14,0,23,19,23,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PHL_M_R,Bareland,1,7,0,0,1,0,5,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PHL_M_R,Water,16,15,3,0,11,11,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PHL_M_R,Forest,9,11,6,0,0,0,3,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PHL_M_R,Wetland,4,6,0,0,8,0,8,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PHL_M_R,Grassland,0,6,5,0,4,0,3,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PHL_M_R,Built-up,0,15,9,0,12,0,3,0,0,0,0
