Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Water,Non_Water,Shrubland,Lichens_and_Mosses,Wetland,Non_Wetland
AFRICA_2024_WorldCover_2021_38NKP_M_R,Shrubland,2,1,1,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38NKP_M_R,Grassland,0,7,1,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38NKP_M_R,Cropland,34,0,10,1,15,3,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38NKP_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38NKP_M_R,Bareland,21,2,0,1,5,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38NKP_M_R,Built-up,7,0,5,0,2,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38NKP_M_R,Forest,32,8,2,1,0,4,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38NKP_M_R,Water,22,1,9,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38NKP_M_R,Wetland,1,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38NKP_M_R,Grassland,0,0,0,0,0,4,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38NKP_M_R,Cropland,0,0,0,0,0,8,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38NKP_M_R,Wetland,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38NKP_M_R,Bareland,0,0,0,0,0,6,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38NKP_M_R,Forest,0,0,0,0,0,9,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_38NKP_M_R,Cropland,21,0,10,4,7,0,0,21,1,0,0
AFRICA_2024_GLC_FCS30D_2022_38NKP_M_R,Bareland,21,8,0,6,2,0,0,17,3,1,0
AFRICA_2024_GLC_FCS30D_2022_38NKP_M_R,Built-up,3,2,1,0,0,0,0,4,0,0,0
AFRICA_2024_GLC_FCS30D_2022_38NKP_M_R,Water,17,5,8,0,8,0,0,6,0,1,0
AFRICA_2024_GLC_FCS30D_2022_38NKP_M_R,Forest,15,13,13,8,0,0,0,19,6,0,0
AFRICA_2024_GLC_FCS30D_2022_38NKP_M_R,Grassland,0,5,3,0,1,0,0,7,0,0,0
AFRICA_2024_GLC_FCS30D_2022_38NKP_M_R,Wetland,0,1,1,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38NKP_M_R,Grassland,0,6,2,4,13,5,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38NKP_M_R,Bareland,0,5,0,8,7,12,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38NKP_M_R,Forest,0,12,0,0,0,5,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38NKP_M_R,Cropland,0,0,1,8,14,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38NKP_M_R,Wetland,0,0,0,0,1,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38NKP_M_R,Water,0,0,0,2,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38NKP_M_R,Cropland,3,0,0,0,3,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38NKP_M_R,Forest,2,5,0,0,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38NKP_M_R,Water,0,7,4,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38NKP_M_R,Grassland,0,7,8,0,3,3,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38NKP_M_R,Wetland,0,2,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38NKP_M_R,Bareland,0,3,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38NKP_M_R,Built-up,0,1,1,0,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_38NKP_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,2
AFRICA_2024_GWL_FCS30D_2022_38NKP_M_R,Bareland,0,0,0,0,0,0,0,0,0,1,0
AFRICA_2024_GWL_FCS30D_2022_38NKP_M_R,Water,0,0,0,0,0,0,0,0,0,1,0
