Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Water,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_35PMT_M_R,Shrubland,3,1,3,1,3,0,0,0
AFRICA_2024_WorldCover_2021_35PMT_M_R,Grassland,0,1,3,1,1,0,0,0
AFRICA_2024_WorldCover_2021_35PMT_M_R,Cropland,10,0,10,0,6,0,0,0
AFRICA_2024_WorldCover_2021_35PMT_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMT_M_R,Bareland,14,11,0,3,9,0,0,0
AFRICA_2024_WorldCover_2021_35PMT_M_R,Built-up,8,2,7,0,6,0,0,0
AFRICA_2024_WorldCover_2021_35PMT_M_R,Water,1,0,6,0,1,0,0,0
AFRICA_2024_WorldCover_2021_35PMT_M_R,Forest,6,1,3,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PMT_M_R,Shrubland,0,0,0,0,0,3,0,0
AFRICA_2024_GSW_Yearly_2021_35PMT_M_R,Grassland,0,0,0,0,0,3,0,0
AFRICA_2024_GSW_Yearly_2021_35PMT_M_R,Cropland,0,0,0,0,0,2,0,0
AFRICA_2024_GSW_Yearly_2021_35PMT_M_R,Bareland,0,0,0,0,0,4,0,0
AFRICA_2024_GSW_Yearly_2021_35PMT_M_R,Built-up,0,0,0,0,0,2,0,0
AFRICA_2024_GSW_Yearly_2021_35PMT_M_R,Forest,0,0,0,0,0,4,0,0
AFRICA_2024_GLC_FCS30D_2022_35PMT_M_R,Cropland,6,0,4,5,4,0,6,0
AFRICA_2024_GLC_FCS30D_2022_35PMT_M_R,Bareland,11,5,0,9,6,1,10,2
AFRICA_2024_GLC_FCS30D_2022_35PMT_M_R,Built-up,2,0,3,0,2,0,3,0
AFRICA_2024_GLC_FCS30D_2022_35PMT_M_R,Water,1,0,0,1,0,0,1,0
AFRICA_2024_GLC_FCS30D_2022_35PMT_M_R,Forest,2,1,0,2,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PMT_M_R,Grassland,0,1,1,1,2,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PMT_M_R,Bareland,0,3,0,1,0,1,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PMT_M_R,Forest,0,1,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PMT_M_R,Built-up,0,0,1,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PMT_M_R,Bareland,0,0,0,0,0,1,0,0
AFRICA_2024_DynamicWorld_2024_35PMT_M_R,Grassland,0,1,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PMT_M_R,Bareland,0,1,0,0,0,0,0,0
