Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_36NWK_M_R,Shrubland,3,1,1,2,1,1,1,0,0,0
AFRICA_2024_WorldCover_2021_36NWK_M_R,Grassland,0,12,8,8,12,1,7,0,0,0
AFRICA_2024_WorldCover_2021_36NWK_M_R,Cropland,38,0,2,31,20,1,20,0,0,0
AFRICA_2024_WorldCover_2021_36NWK_M_R,Wetland,9,0,0,1,0,1,5,0,0,0
AFRICA_2024_WorldCover_2021_36NWK_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_WorldCover_2021_36NWK_M_R,Bareland,20,3,0,0,0,2,2,0,0,0
AFRICA_2024_WorldCover_2021_36NWK_M_R,Built-up,10,7,0,6,0,0,6,0,0,0
AFRICA_2024_WorldCover_2021_36NWK_M_R,Water,35,10,3,20,6,0,8,0,0,0
AFRICA_2024_WorldCover_2021_36NWK_M_R,Forest,43,25,14,23,20,5,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NWK_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0
AFRICA_2024_GWL_FCS30D_2022_36NWK_M_R,Forest,0,0,9,0,0,2,0,17,0,0
AFRICA_2024_GWL_FCS30D_2022_36NWK_M_R,Cropland,0,0,1,0,0,0,0,2,0,0
AFRICA_2024_GWL_FCS30D_2022_36NWK_M_R,Grassland,0,0,2,0,0,0,0,8,0,0
AFRICA_2024_GWL_FCS30D_2022_36NWK_M_R,Wetland,0,0,0,0,0,0,0,9,0,0
AFRICA_2024_GWL_FCS30D_2022_36NWK_M_R,Water,0,0,5,0,0,0,0,3,0,0
AFRICA_2024_GSW_Yearly_2021_36NWK_M_R,Shrubland,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NWK_M_R,Wetland,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NWK_M_R,Bareland,0,0,0,0,0,3,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NWK_M_R,Built-up,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NWK_M_R,Grassland,0,0,0,0,0,4,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NWK_M_R,Cropland,0,0,0,0,0,4,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NWK_M_R,Forest,0,0,0,0,0,3,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36NWK_M_R,Cropland,22,0,1,3,16,0,21,0,38,0
AFRICA_2024_GLC_FCS30D_2022_36NWK_M_R,Bareland,8,8,0,0,3,0,5,0,19,0
AFRICA_2024_GLC_FCS30D_2022_36NWK_M_R,Built-up,7,7,0,1,0,0,5,0,8,0
AFRICA_2024_GLC_FCS30D_2022_36NWK_M_R,Water,10,14,5,12,4,0,16,0,30,0
AFRICA_2024_GLC_FCS30D_2022_36NWK_M_R,Forest,27,28,9,12,18,2,0,0,44,2
AFRICA_2024_GLC_FCS30D_2022_36NWK_M_R,Grassland,0,11,2,5,4,0,13,0,20,0
AFRICA_2024_GLC_FCS30D_2022_36NWK_M_R,Wetland,0,2,0,0,0,0,1,0,4,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NWK_M_R,Grassland,0,17,0,2,9,4,22,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NWK_M_R,Built-up,0,2,0,0,0,0,1,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NWK_M_R,Forest,0,21,0,0,21,12,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NWK_M_R,Cropland,0,0,0,2,20,12,22,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NWK_M_R,Bareland,0,3,0,0,1,7,7,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NWK_M_R,Wetland,0,0,0,0,0,1,3,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NWK_M_R,Water,0,6,0,0,11,0,11,0,0,0
AFRICA_2024_DynamicWorld_2024_36NWK_M_R,Cropland,12,0,0,3,0,7,10,0,0,0
AFRICA_2024_DynamicWorld_2024_36NWK_M_R,Wetland,3,1,0,0,0,1,5,0,0,0
AFRICA_2024_DynamicWorld_2024_36NWK_M_R,Bareland,1,5,0,0,0,4,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NWK_M_R,Built-up,1,6,0,0,0,7,9,0,0,0
AFRICA_2024_DynamicWorld_2024_36NWK_M_R,Forest,11,10,3,5,0,11,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NWK_M_R,Water,0,1,0,0,0,0,1,0,0,0
AFRICA_2024_DynamicWorld_2024_36NWK_M_R,Grassland,0,6,0,4,0,3,3,0,0,0
