Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Built-up,Water,Non_Water,Shrubland,Lichens_and_Mosses,Wetland
AFRICA_2024_WorldCover_2021_35PQQ_M_R,Shrubland,1,1,2,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PQQ_M_R,Grassland,0,1,2,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PQQ_M_R,Cropland,33,0,15,3,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PQQ_M_R,Wetland,7,0,2,0,0,1,0,0,0,0
AFRICA_2024_WorldCover_2021_35PQQ_M_R,Lichens_and_Mosses,1,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PQQ_M_R,Bareland,26,14,0,3,5,2,0,0,0,0
AFRICA_2024_WorldCover_2021_35PQQ_M_R,Built-up,6,6,7,3,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PQQ_M_R,Forest,20,9,5,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PQQ_M_R,Water,16,0,17,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PQQ_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PQQ_M_R,Grassland,0,0,0,0,0,5,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PQQ_M_R,Cropland,0,0,0,0,0,4,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PQQ_M_R,Bareland,0,0,0,0,0,26,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PQQ_M_R,Wetland,0,0,0,0,0,3,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PQQ_M_R,Water,0,0,0,0,0,0,3,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PQQ_M_R,Forest,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35PQQ_M_R,Cropland,24,0,2,13,3,0,0,14,5,0
AFRICA_2024_GLC_FCS30D_2022_35PQQ_M_R,Built-up,6,1,2,0,0,0,0,5,0,0
AFRICA_2024_GLC_FCS30D_2022_35PQQ_M_R,Forest,16,2,2,0,2,0,0,13,0,1
AFRICA_2024_GLC_FCS30D_2022_35PQQ_M_R,Grassland,0,0,0,3,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35PQQ_M_R,Bareland,24,3,0,6,9,2,0,16,3,6
AFRICA_2024_GLC_FCS30D_2022_35PQQ_M_R,Water,15,0,6,2,4,0,0,2,0,9
AFRICA_2024_ESRI_Annual_LULC_2024_35PQQ_M_R,Grassland,0,9,2,3,6,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PQQ_M_R,Bareland,0,9,0,1,17,3,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PQQ_M_R,Built-up,0,0,0,1,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PQQ_M_R,Cropland,0,0,0,5,6,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PQQ_M_R,Water,0,4,6,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PQQ_M_R,Wetland,0,1,1,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PQQ_M_R,Forest,0,4,0,0,2,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PQQ_M_R,Grassland,0,6,9,3,0,4,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PQQ_M_R,Wetland,0,2,3,0,0,5,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PQQ_M_R,Bareland,0,3,0,0,0,5,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PQQ_M_R,Built-up,0,1,6,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PQQ_M_R,Forest,0,4,1,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PQQ_M_R,Water,0,0,4,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PQQ_M_R,Cropland,0,0,8,3,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PQQ_M_R,Bareland,0,0,0,0,0,2,0,0,0,6
AFRICA_2024_GWL_FCS30D_2022_35PQQ_M_R,Water,0,0,0,0,0,0,0,0,0,9
AFRICA_2024_GWL_FCS30D_2022_35PQQ_M_R,Forest,0,0,0,0,0,0,0,0,0,1
