Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Forest,Built-up,Water,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AFRICA_2024_WorldCover_2021_37PHN_M_R,Shrubland,1,2,1,2,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHN_M_R,Grassland,0,5,3,4,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHN_M_R,Cropland,28,0,35,37,15,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHN_M_R,Wetland,3,19,0,16,3,0,4,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHN_M_R,Lichens_and_Mosses,1,2,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHN_M_R,Bareland,38,58,39,0,5,18,18,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHN_M_R,Built-up,6,5,1,9,4,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHN_M_R,Forest,8,17,14,12,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHN_M_R,Water,10,37,55,76,4,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHN_M_R,Permanent_ice_and_snow,0,0,1,2,0,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PHN_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PHN_M_R,Grassland,0,0,0,0,0,0,0,3,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PHN_M_R,Cropland,0,0,2,0,0,0,5,57,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PHN_M_R,Bareland,0,0,21,0,0,0,11,51,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PHN_M_R,Built-up,0,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PHN_M_R,Forest,0,0,4,0,0,0,0,23,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PHN_M_R,Wetland,0,0,0,0,0,0,0,78,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PHN_M_R,Water,0,0,18,0,0,0,0,48,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PHN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PHN_M_R,Grassland,0,0,0,0,0,0,5,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PHN_M_R,Cropland,0,0,0,0,0,0,23,0,8,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PHN_M_R,Bareland,0,0,0,0,0,0,85,0,21,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PHN_M_R,Built-up,0,0,0,0,0,0,6,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PHN_M_R,Wetland,0,0,0,0,0,0,13,0,2,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PHN_M_R,Water,0,0,0,0,0,0,0,0,44,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PHN_M_R,Cropland,52,0,2,39,3,32,5,0,0,38,10,0
AFRICA_2024_GLC_FCS30D_2022_37PHN_M_R,Bareland,49,40,22,0,0,47,14,0,0,45,24,0
AFRICA_2024_GLC_FCS30D_2022_37PHN_M_R,Built-up,7,6,0,8,0,0,0,0,0,6,3,0
AFRICA_2024_GLC_FCS30D_2022_37PHN_M_R,Water,33,25,22,53,0,28,0,0,0,25,12,0
AFRICA_2024_GLC_FCS30D_2022_37PHN_M_R,Forest,21,18,4,18,0,11,0,0,0,12,6,0
AFRICA_2024_GLC_FCS30D_2022_37PHN_M_R,Grassland,0,2,0,2,0,0,0,0,0,1,0,0
AFRICA_2024_GLC_FCS30D_2022_37PHN_M_R,Wetland,26,11,0,19,1,13,0,0,0,7,0,0
AFRICA_2024_GLC_FCS30D_2022_37PHN_M_R,Permanent_ice_and_snow,1,0,0,2,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHN_M_R,Grassland,0,3,0,3,0,4,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHN_M_R,Bareland,0,31,6,0,15,30,33,0,0,0,0,2
AFRICA_2024_ESRI_Annual_LULC_2024_37PHN_M_R,Cropland,0,0,11,21,18,14,4,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHN_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHN_M_R,Wetland,0,14,0,10,8,2,11,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHN_M_R,Water,0,7,10,40,0,11,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHN_M_R,Forest,0,13,9,0,0,6,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PHN_M_R,Cropland,2,0,14,17,9,0,11,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PHN_M_R,Bareland,1,20,7,0,4,0,26,0,0,0,0,15
AFRICA_2024_DynamicWorld_2024_37PHN_M_R,Grassland,0,5,0,6,1,0,2,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PHN_M_R,Wetland,0,7,0,10,11,0,9,0,0,0,0,7
AFRICA_2024_DynamicWorld_2024_37PHN_M_R,Water,0,2,1,17,0,0,0,0,0,0,0,13
AFRICA_2024_DynamicWorld_2024_37PHN_M_R,Forest,0,2,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PHN_M_R,Built-up,0,0,0,7,0,0,0,0,0,0,0,0
