Value,AFRICA_2024_DynamicWorld_2024_35PMN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PMN_M_R,AFRICA_2024_GLC_FCS30D_2022_35PMN_M_R,AFRICA_2024_GSW_Yearly_2021_35PMN_M_R,AFRICA_2024_GWL_FCS30D_2022_35PMN_M_R,AFRICA_2024_WorldCover_2021_35PMN_M_R
121,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
122,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
123,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
124,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
125,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
126,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
127,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
128,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
129,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
130,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
131,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
132,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
133,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
134,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
135,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
136,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
137,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
138,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
139,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
140,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
141,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
142,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
143,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
144,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
145,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
146,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
147,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
148,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
149,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
150,NULL,Water,NULL,NULL,Non_Wetland,Water
151,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
152,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
153,NULL,Water,Grassland,NULL,Non_Wetland,Water
154,NULL,Water,Grassland,Water,Non_Wetland,Wetland
155,NULL,Water,Wetland,Water,Wetland,Wetland
156,NULL,Water,Wetland,Water,Wetland,Water
157,NULL,Water,Bareland,Water,Non_Wetland,Water
158,NULL,Forest,NULL,NULL,Non_Wetland,NULL
159,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
160,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
161,NULL,Forest,NULL,NULL,Non_Wetland,Forest
162,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
163,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
164,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
165,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
166,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
167,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
168,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
169,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
170,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
171,NULL,Forest,Grassland,Water,Non_Wetland,Cropland
172,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
173,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
174,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
175,NULL,Forest,Wetland,NULL,Wetland,NULL
176,NULL,Forest,Wetland,NULL,Wetland,Grassland
177,NULL,Forest,Wetland,NULL,Wetland,Forest
178,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
179,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
180,NULL,Forest,Forest,NULL,Non_Wetland,NULL
181,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
182,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
183,NULL,Forest,Forest,NULL,Non_Wetland,Forest
184,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
185,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
186,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
187,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
188,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
189,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
190,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
191,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
192,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
193,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
194,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
195,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
196,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
197,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
198,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
199,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
200,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
201,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
202,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
203,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
204,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
205,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
206,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
207,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
208,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
209,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
210,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
211,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
212,Cropland,Built-up,NULL,NULL,Non_Wetland,Cropland
213,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
214,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
215,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
216,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
217,Cropland,Forest,NULL,NULL,Non_Wetland,Cropland
218,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
219,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
220,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
221,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
222,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
223,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
224,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
225,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
226,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
227,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
228,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
229,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
230,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
231,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland
232,Bareland,Cropland,NULL,NULL,Non_Wetland,Cropland
233,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
234,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
235,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
236,Bareland,Cropland,Grassland,NULL,Non_Wetland,Cropland
237,Bareland,Cropland,Forest,NULL,Non_Wetland,Grassland
238,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
239,Forest,NULL,NULL,NULL,Non_Wetland,NULL
240,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
241,Forest,NULL,NULL,NULL,Non_Wetland,Cropland
242,Forest,NULL,NULL,NULL,Non_Wetland,Forest
243,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
244,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
245,Forest,NULL,Shrubland,NULL,Non_Wetland,Cropland
246,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
247,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
248,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
249,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland
250,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
251,Forest,NULL,Forest,NULL,Non_Wetland,NULL
252,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
253,Forest,NULL,Forest,NULL,Non_Wetland,Cropland
254,Forest,NULL,Forest,NULL,Non_Wetland,Forest
255,Forest,Cropland,NULL,NULL,Non_Wetland,Grassland
256,Forest,Cropland,Shrubland,NULL,Non_Wetland,Grassland
257,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL
258,Forest,Cropland,Grassland,NULL,Non_Wetland,Grassland
259,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
260,Forest,Forest,NULL,NULL,Non_Wetland,Cropland
261,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
262,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
263,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
264,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
265,Forest,Forest,Grassland,NULL,Non_Wetland,Cropland
266,Forest,Forest,Forest,NULL,Non_Wetland,NULL
