Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_35PNQ_M_R,Shrubland,2,1,1,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PNQ_M_R,Grassland,0,2,1,1,2,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PNQ_M_R,Cropland,32,0,12,2,10,4,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PNQ_M_R,Wetland,12,2,1,0,11,0,2,0,0,0,0
AFRICA_2024_WorldCover_2021_35PNQ_M_R,Lichens_and_Mosses,1,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PNQ_M_R,Bareland,33,8,0,4,3,6,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PNQ_M_R,Built-up,7,1,4,0,3,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PNQ_M_R,Water,15,7,3,0,0,14,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PNQ_M_R,Forest,28,1,5,1,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PNQ_M_R,Grassland,0,0,0,0,0,0,0,3,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PNQ_M_R,Forest,0,0,0,0,0,8,0,3,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PNQ_M_R,Cropland,0,0,0,0,0,3,0,4,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PNQ_M_R,Wetland,0,0,0,0,0,0,0,5,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PNQ_M_R,Bareland,0,0,0,0,0,2,0,6,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PNQ_M_R,Water,0,0,0,0,0,5,0,11,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PNQ_M_R,Grassland,0,0,0,0,0,0,6,0,1,0,0
AFRICA_2024_GSW_Yearly_2021_35PNQ_M_R,Bareland,0,0,0,0,0,0,18,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PNQ_M_R,Forest,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PNQ_M_R,Cropland,0,0,0,0,0,0,11,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PNQ_M_R,Wetland,0,0,0,0,0,0,10,0,5,0,0
AFRICA_2024_GSW_Yearly_2021_35PNQ_M_R,Water,0,0,0,0,0,0,0,0,6,0,0
AFRICA_2024_GLC_FCS30D_2022_35PNQ_M_R,Cropland,27,0,6,2,11,3,0,0,0,17,2
AFRICA_2024_GLC_FCS30D_2022_35PNQ_M_R,Built-up,5,0,1,0,1,0,0,0,0,3,0
AFRICA_2024_GLC_FCS30D_2022_35PNQ_M_R,Forest,23,10,4,8,0,8,0,0,0,18,0
AFRICA_2024_GLC_FCS30D_2022_35PNQ_M_R,Grassland,0,0,0,0,0,0,0,0,0,1,0
AFRICA_2024_GLC_FCS30D_2022_35PNQ_M_R,Bareland,18,5,0,11,7,2,0,0,0,15,3
AFRICA_2024_GLC_FCS30D_2022_35PNQ_M_R,Wetland,3,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35PNQ_M_R,Water,8,1,3,1,5,5,0,0,0,5,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PNQ_M_R,Grassland,0,3,2,3,6,0,1,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PNQ_M_R,Bareland,0,13,0,9,6,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PNQ_M_R,Wetland,0,1,0,0,2,0,1,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PNQ_M_R,Cropland,0,0,0,0,8,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PNQ_M_R,Forest,0,10,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PNQ_M_R,Grassland,0,7,6,0,3,1,2,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PNQ_M_R,Wetland,0,9,7,0,3,0,7,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PNQ_M_R,Bareland,0,4,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PNQ_M_R,Built-up,0,1,5,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PNQ_M_R,Forest,0,8,5,0,0,3,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PNQ_M_R,Water,0,0,4,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PNQ_M_R,Cropland,0,0,5,0,0,0,0,0,0,0,0
