Value,AFRICA_2024_DynamicWorld_2024_35NMG_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NMG_M_R,AFRICA_2024_GLC_FCS30D_2022_35NMG_M_R,AFRICA_2024_GSW_Yearly_2021_35NMG_M_R,AFRICA_2024_GWL_FCS30D_2022_35NMG_M_R,AFRICA_2024_WorldCover_2021_35NMG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
21,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
24,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
25,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
26,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
27,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
28,NULL,NULL,Wetland,NULL,Wetland,NULL
29,NULL,NULL,Wetland,NULL,Wetland,Grassland
30,NULL,NULL,Wetland,NULL,Wetland,Wetland
31,NULL,NULL,Wetland,NULL,Wetland,Forest
32,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
33,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
34,NULL,NULL,Wetland,Non_Water,Wetland,Forest
35,NULL,NULL,Wetland,Water,Wetland,Wetland
36,NULL,NULL,Wetland,Water,Wetland,Forest
37,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
38,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
39,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
40,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
41,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
42,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
43,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
44,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
45,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
46,NULL,NULL,Water,NULL,Water,Grassland
47,NULL,NULL,Water,NULL,Water,Forest
48,NULL,NULL,Water,Non_Water,Water,Grassland
49,NULL,NULL,Water,Non_Water,Water,Wetland
50,NULL,NULL,Water,Water,Water,Wetland
51,NULL,NULL,Water,Water,Water,Forest
52,NULL,NULL,Forest,NULL,Non_Wetland,NULL
53,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
54,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
55,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
56,NULL,NULL,Forest,NULL,Non_Wetland,Forest
57,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
58,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
59,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
60,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
61,NULL,NULL,Forest,Water,Non_Wetland,NULL
62,NULL,NULL,Forest,Water,Non_Wetland,Grassland
63,NULL,NULL,Forest,Water,Non_Wetland,Wetland
64,NULL,NULL,Forest,Water,Non_Wetland,Forest
65,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
66,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
67,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
68,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
69,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
70,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
71,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
72,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
73,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
74,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
75,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
76,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
77,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
78,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
79,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
80,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
81,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL
82,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
83,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
84,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
85,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
86,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
87,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
88,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
89,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
90,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
91,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
92,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
93,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
94,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
95,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
96,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
97,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
98,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
99,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
100,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
101,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
102,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
103,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
104,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
105,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
106,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
107,NULL,Water,Wetland,NULL,Wetland,Grassland
108,NULL,Water,Wetland,NULL,Wetland,Wetland
109,NULL,Water,Forest,NULL,Non_Wetland,Grassland
110,NULL,Water,Forest,Non_Water,Non_Wetland,Wetland
111,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
112,NULL,Forest,NULL,NULL,Non_Wetland,NULL
113,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
114,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
115,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
116,NULL,Forest,NULL,NULL,Non_Wetland,Forest
117,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
118,NULL,Forest,NULL,Water,Non_Wetland,Forest
119,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
120,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
121,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
