Dataset,MajorityClass,Grassland,Bareland,Water,Forest,Cropland,Wetland,Built-up,Non_Water,Shrubland,Lichens_and_Mosses,Non_Wetland,Permanent_ice_and_snow
AFRICA_2024_WorldCover_2021_37PHR_M_R,Shrubland,1,1,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHR_M_R,Grassland,0,1,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHR_M_R,Bareland,17,0,21,5,12,23,7,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHR_M_R,Built-up,1,2,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHR_M_R,Water,10,66,0,3,13,28,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHR_M_R,Wetland,0,24,8,3,6,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHR_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHR_M_R,Forest,0,1,0,0,0,5,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PHR_M_R,Bareland,0,0,52,0,0,0,0,14,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PHR_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PHR_M_R,Wetland,0,0,27,0,0,0,0,8,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PHR_M_R,Water,0,0,0,0,0,0,0,16,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PHR_M_R,Bareland,26,0,12,0,18,28,23,0,25,3,0,0
AFRICA_2024_GLC_FCS30D_2022_37PHR_M_R,Water,22,40,0,0,21,43,15,0,16,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PHR_M_R,Cropland,1,1,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PHR_M_R,Wetland,13,7,0,0,14,0,3,0,2,2,0,0
AFRICA_2024_GLC_FCS30D_2022_37PHR_M_R,Forest,2,0,0,0,3,3,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PHR_M_R,Bareland,0,0,5,0,0,16,0,0,0,0,33,0
AFRICA_2024_GWL_FCS30D_2022_37PHR_M_R,Water,0,0,0,0,0,26,0,0,0,0,26,0
AFRICA_2024_GWL_FCS30D_2022_37PHR_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,41,0
AFRICA_2024_GWL_FCS30D_2022_37PHR_M_R,Cropland,0,0,0,0,0,0,0,0,0,0,2,0
AFRICA_2024_GWL_FCS30D_2022_37PHR_M_R,Forest,0,0,0,0,0,1,0,0,0,0,4,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHR_M_R,Water,0,37,0,0,0,7,6,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHR_M_R,Bareland,0,0,43,4,1,7,9,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHR_M_R,Wetland,0,9,42,17,11,0,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHR_M_R,Cropland,0,0,2,0,0,1,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHR_M_R,Grassland,0,0,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHR_M_R,Forest,0,0,3,0,1,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PHR_M_R,Wetland,7,21,14,20,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PHR_M_R,Water,4,32,0,0,0,6,0,0,0,0,0,9
AFRICA_2024_DynamicWorld_2024_37PHR_M_R,Bareland,0,0,18,0,1,5,0,0,0,0,0,4
AFRICA_2024_DynamicWorld_2024_37PHR_M_R,Cropland,0,2,2,0,0,1,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PHR_M_R,Grassland,0,2,0,0,0,0,0,0,0,0,0,0
