Dataset,MajorityClass,Grassland,Bareland,Forest,Cropland,Built-up,Water,Non_Water,Wetland,Shrubland,Lichens_and_Mosses,Non_Wetland
AFRICA_2024_WorldCover_2021_36PTB_M_R,Shrubland,1,1,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PTB_M_R,Grassland,0,3,1,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PTB_M_R,Cropland,15,18,5,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PTB_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PTB_M_R,Bareland,37,0,8,10,3,3,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PTB_M_R,Built-up,6,5,1,2,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PTB_M_R,Water,15,19,2,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PTB_M_R,Forest,8,4,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PTB_M_R,Wetland,1,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PTB_M_R,Grassland,0,0,0,0,0,7,3,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PTB_M_R,Cropland,0,0,0,0,0,4,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PTB_M_R,Bareland,0,0,0,0,0,23,4,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PTB_M_R,Water,0,0,0,0,0,0,6,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PTB_M_R,Forest,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PTB_M_R,Grassland,0,2,5,4,3,4,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PTB_M_R,Bareland,0,0,6,13,9,9,0,1,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PTB_M_R,Cropland,0,4,4,0,3,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PTB_M_R,Water,0,4,0,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PTB_M_R,Forest,0,2,0,0,0,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36PTB_M_R,Cropland,20,7,0,0,7,0,0,0,8,2,0
AFRICA_2024_GLC_FCS30D_2022_36PTB_M_R,Bareland,30,0,0,20,23,4,0,1,22,4,0
AFRICA_2024_GLC_FCS30D_2022_36PTB_M_R,Built-up,5,2,0,1,0,0,0,0,2,1,0
AFRICA_2024_GLC_FCS30D_2022_36PTB_M_R,Water,16,8,0,4,1,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36PTB_M_R,Forest,14,2,0,12,8,0,0,0,6,4,0
AFRICA_2024_GLC_FCS30D_2022_36PTB_M_R,Wetland,2,0,0,0,0,0,0,0,1,0,0
AFRICA_2024_DynamicWorld_2024_36PTB_M_R,Grassland,0,10,3,6,0,3,0,2,0,0,0
AFRICA_2024_DynamicWorld_2024_36PTB_M_R,Bareland,0,0,0,8,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PTB_M_R,Forest,0,2,0,1,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PTB_M_R,Cropland,0,5,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PTB_M_R,Built-up,0,4,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PTB_M_R,Water,0,6,0,0,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PTB_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,3
AFRICA_2024_GWL_FCS30D_2022_36PTB_M_R,Grassland,0,0,0,0,0,0,0,0,0,0,2
AFRICA_2024_GWL_FCS30D_2022_36PTB_M_R,Bareland,0,0,0,0,0,4,0,1,0,0,1
