Value,AFRICA_2024_DynamicWorld_2024_35NND_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NND_M_R,AFRICA_2024_GLC_FCS30D_2022_35NND_M_R,AFRICA_2024_GSW_Yearly_2021_35NND_M_R,AFRICA_2024_GWL_FCS30D_2022_35NND_M_R,AFRICA_2024_WorldCover_2021_35NND_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,NULL,Water,Non_Wetland,NULL
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
9,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
10,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
12,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
13,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
15,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
16,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
18,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
19,NULL,NULL,Cropland,Water,Non_Wetland,Forest
20,NULL,NULL,Wetland,NULL,Wetland,NULL
21,NULL,NULL,Wetland,NULL,Wetland,Grassland
22,NULL,NULL,Wetland,NULL,Wetland,Forest
23,NULL,NULL,Wetland,Non_Water,Wetland,NULL
24,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
25,NULL,NULL,Wetland,Non_Water,Wetland,Forest
26,NULL,NULL,Wetland,Water,Wetland,Grassland
27,NULL,NULL,Wetland,Water,Wetland,Forest
28,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
29,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
30,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
31,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
32,NULL,NULL,Bareland,Water,Non_Wetland,Forest
33,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
34,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
35,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
36,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
37,NULL,NULL,Water,NULL,Water,Grassland
38,NULL,NULL,Water,NULL,Water,Forest
39,NULL,NULL,Water,Non_Water,Water,Forest
40,NULL,NULL,Water,Water,Water,Grassland
41,NULL,NULL,Water,Water,Water,Forest
42,NULL,NULL,Forest,NULL,Non_Wetland,NULL
43,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
44,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
45,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
46,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
47,NULL,NULL,Forest,NULL,Non_Wetland,Forest
48,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
49,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
50,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
51,NULL,NULL,Forest,Water,Non_Wetland,NULL
52,NULL,NULL,Forest,Water,Non_Wetland,Grassland
53,NULL,NULL,Forest,Water,Non_Wetland,Forest
54,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
55,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
56,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
57,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
58,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
59,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
60,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
61,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
62,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
63,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
64,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
65,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
66,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
67,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
68,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
69,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
70,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
71,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
72,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
73,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
74,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
75,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
76,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
77,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
78,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
79,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
80,NULL,Wetland,Wetland,NULL,Wetland,Grassland
81,NULL,Wetland,Wetland,NULL,Wetland,Forest
82,NULL,Wetland,Wetland,Water,Wetland,Forest
83,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
84,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
85,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
86,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
87,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
88,NULL,Wetland,Forest,Water,Non_Wetland,Forest
89,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
90,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
91,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
92,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
93,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
94,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
95,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
96,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
97,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
98,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
99,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
100,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
101,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
102,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
103,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
104,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
105,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
106,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
107,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
108,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
109,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
110,NULL,Built-up,Wetland,NULL,Wetland,NULL
111,NULL,Built-up,Wetland,NULL,Wetland,Grassland
112,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
113,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
114,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
115,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
116,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
117,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
118,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
119,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
120,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
121,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
122,NULL,Water,NULL,NULL,Non_Wetland,NULL
