Dataset,MajorityClass,Bareland,Wetland,Forest,Grassland,Built-up,Cropland,Water,Shrubland,Lichens_and_Mosses,Non_Water,Non_Wetland,Permanent_ice_and_snow
AFRICA_2024_WorldCover_2021_37PHT_M_R,Grassland,1,1,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHT_M_R,Cropland,10,2,3,2,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHT_M_R,Bareland,0,26,2,16,14,27,27,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHT_M_R,Built-up,2,0,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHT_M_R,Water,48,28,5,16,2,14,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHT_M_R,Wetland,24,0,8,12,0,26,19,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHT_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHT_M_R,Forest,1,3,0,0,0,3,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PHT_M_R,Built-up,1,2,0,0,0,2,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PHT_M_R,Water,53,70,0,1,13,26,0,12,1,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PHT_M_R,Forest,5,2,0,0,0,10,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PHT_M_R,Grassland,0,0,0,0,0,1,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PHT_M_R,Cropland,6,0,0,2,4,0,0,5,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PHT_M_R,Bareland,0,40,0,8,21,42,9,21,7,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PHT_M_R,Wetland,29,0,0,1,4,19,3,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHT_M_R,Bareland,0,9,3,0,21,12,37,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHT_M_R,Wetland,15,0,28,0,9,2,55,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHT_M_R,Cropland,2,0,2,0,1,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHT_M_R,Water,36,9,2,0,7,1,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHT_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHT_M_R,Forest,0,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PHT_M_R,Wetland,0,0,0,0,0,0,60,0,0,22,0,0
AFRICA_2024_GSW_Yearly_2021_37PHT_M_R,Bareland,0,0,0,0,0,0,69,0,0,13,0,0
AFRICA_2024_GSW_Yearly_2021_37PHT_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PHT_M_R,Water,0,0,0,0,0,0,0,0,0,18,0,0
AFRICA_2024_GSW_Yearly_2021_37PHT_M_R,Built-up,0,0,0,0,0,0,2,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PHT_M_R,Forest,0,0,0,0,0,0,2,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PHT_M_R,Water,0,42,0,0,0,0,0,0,0,0,31,0
AFRICA_2024_GWL_FCS30D_2022_37PHT_M_R,Grassland,0,0,0,0,0,0,0,0,0,0,1,0
AFRICA_2024_GWL_FCS30D_2022_37PHT_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,53,0
AFRICA_2024_GWL_FCS30D_2022_37PHT_M_R,Cropland,0,0,0,0,0,0,0,0,0,0,3,0
AFRICA_2024_GWL_FCS30D_2022_37PHT_M_R,Bareland,0,25,0,0,0,0,2,0,0,0,40,0
AFRICA_2024_GWL_FCS30D_2022_37PHT_M_R,Forest,0,1,0,0,0,0,0,0,0,0,3,0
AFRICA_2024_GWL_FCS30D_2022_37PHT_M_R,Built-up,0,2,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PHT_M_R,Wetland,38,0,16,4,0,0,28,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PHT_M_R,Bareland,0,8,0,0,0,5,17,0,0,0,0,3
AFRICA_2024_DynamicWorld_2024_37PHT_M_R,Cropland,13,1,2,0,0,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PHT_M_R,Water,39,12,2,0,0,0,0,0,0,0,0,5
AFRICA_2024_DynamicWorld_2024_37PHT_M_R,Forest,0,1,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PHT_M_R,Grassland,1,0,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PHT_M_R,Built-up,7,0,0,0,0,0,1,0,0,0,0,0
