Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Non_Water,Shrubland,Lichens_and_Mosses,Non_Wetland,Permanent_ice_and_snow
AFRICA_2024_WorldCover_2021_36PYQ_M_R,Shrubland,3,2,1,1,2,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PYQ_M_R,Grassland,0,16,5,5,8,7,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PYQ_M_R,Cropland,36,0,21,23,27,5,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PYQ_M_R,Wetland,18,29,5,0,27,0,4,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PYQ_M_R,Lichens_and_Mosses,1,1,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PYQ_M_R,Bareland,12,12,0,2,2,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PYQ_M_R,Built-up,9,9,7,0,9,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PYQ_M_R,Water,49,53,36,0,49,3,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PYQ_M_R,Forest,62,41,24,21,0,12,8,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PYQ_M_R,Permanent_ice_and_snow,0,1,0,0,1,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PYQ_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PYQ_M_R,Bareland,0,0,0,0,0,0,3,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PYQ_M_R,Forest,0,0,0,0,0,0,39,14,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PYQ_M_R,Cropland,0,0,0,0,0,0,7,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PYQ_M_R,Grassland,0,0,0,0,0,0,9,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PYQ_M_R,Wetland,0,0,0,0,0,0,12,3,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PYQ_M_R,Water,0,0,0,0,0,0,0,36,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36PYQ_M_R,Water,2,14,46,22,38,19,0,0,44,4,0,0
AFRICA_2024_GLC_FCS30D_2022_36PYQ_M_R,Cropland,15,0,17,21,33,8,0,0,35,6,0,0
AFRICA_2024_GLC_FCS30D_2022_36PYQ_M_R,Wetland,1,2,12,3,9,0,1,0,13,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36PYQ_M_R,Built-up,6,6,4,0,6,1,0,0,8,5,0,0
AFRICA_2024_GLC_FCS30D_2022_36PYQ_M_R,Forest,10,26,35,31,0,14,6,0,49,8,0,0
AFRICA_2024_GLC_FCS30D_2022_36PYQ_M_R,Grassland,0,8,8,7,19,3,0,0,17,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36PYQ_M_R,Bareland,2,1,0,1,9,0,0,0,6,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36PYQ_M_R,Permanent_ice_and_snow,1,1,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PYQ_M_R,Forest,0,0,0,0,0,14,6,0,0,0,34,0
AFRICA_2024_GWL_FCS30D_2022_36PYQ_M_R,Cropland,0,0,0,0,0,8,0,0,0,0,8,0
AFRICA_2024_GWL_FCS30D_2022_36PYQ_M_R,Wetland,0,0,0,0,0,0,1,0,0,0,43,0
AFRICA_2024_GWL_FCS30D_2022_36PYQ_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PYQ_M_R,Water,0,0,0,0,0,19,0,0,0,0,27,0
AFRICA_2024_GWL_FCS30D_2022_36PYQ_M_R,Grassland,0,0,0,0,0,3,0,0,0,0,8,0
AFRICA_2024_GWL_FCS30D_2022_36PYQ_M_R,Bareland,0,0,0,0,0,0,0,0,0,0,1,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PYQ_M_R,Grassland,0,19,0,7,11,1,3,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PYQ_M_R,Wetland,0,5,0,1,9,0,34,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PYQ_M_R,Bareland,0,10,0,4,1,0,5,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PYQ_M_R,Built-up,0,1,0,0,1,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PYQ_M_R,Forest,0,37,1,24,0,14,50,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PYQ_M_R,Cropland,0,0,0,19,17,2,7,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PYQ_M_R,Water,0,12,0,2,14,5,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PYQ_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PYQ_M_R,Cropland,14,0,8,0,14,1,10,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PYQ_M_R,Built-up,1,7,1,0,9,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PYQ_M_R,Forest,11,13,2,0,0,10,14,0,0,0,0,1
AFRICA_2024_DynamicWorld_2024_36PYQ_M_R,Wetland,1,4,0,0,9,0,6,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PYQ_M_R,Grassland,0,2,1,0,2,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PYQ_M_R,Bareland,0,1,0,0,2,1,3,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PYQ_M_R,Water,0,0,0,0,30,32,0,0,0,0,0,0
