Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Non_Water,Shrubland,Wetland,Lichens_and_Mosses,Permanent_ice_and_snow
AFRICA_2024_WorldCover_2021_37NEE_M_R,Shrubland,3,3,3,1,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NEE_M_R,Grassland,0,9,3,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NEE_M_R,Cropland,29,0,4,2,0,10,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NEE_M_R,Wetland,9,1,3,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NEE_M_R,Lichens_and_Mosses,1,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NEE_M_R,Bareland,20,2,0,1,1,3,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NEE_M_R,Built-up,9,2,5,0,0,5,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NEE_M_R,Water,42,4,24,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NEE_M_R,Forest,34,8,9,2,1,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NEE_M_R,Shrubland,0,0,0,0,3,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NEE_M_R,Grassland,0,0,0,0,7,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NEE_M_R,Cropland,0,0,0,0,11,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NEE_M_R,Wetland,0,0,0,0,6,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NEE_M_R,Bareland,0,0,0,0,4,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NEE_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NEE_M_R,Water,0,0,0,0,0,0,15,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NEE_M_R,Forest,0,0,0,0,12,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37NEE_M_R,Water,19,6,22,9,0,3,0,25,6,0,0
AFRICA_2024_GLC_FCS30D_2022_37NEE_M_R,Cropland,6,0,6,3,0,5,0,29,0,2,0
AFRICA_2024_GLC_FCS30D_2022_37NEE_M_R,Built-up,4,5,3,0,0,1,0,7,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37NEE_M_R,Forest,15,18,12,8,2,0,0,38,0,4,0
AFRICA_2024_GLC_FCS30D_2022_37NEE_M_R,Grassland,0,3,4,2,0,4,0,9,0,2,0
AFRICA_2024_GLC_FCS30D_2022_37NEE_M_R,Bareland,7,4,0,2,0,2,0,16,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NEE_M_R,Grassland,0,1,0,4,3,14,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NEE_M_R,Bareland,0,3,0,3,4,4,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NEE_M_R,Forest,0,3,0,9,4,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NEE_M_R,Cropland,0,0,0,4,1,13,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NEE_M_R,Wetland,0,0,0,0,0,4,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NEE_M_R,Water,0,0,3,0,0,3,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NEE_M_R,Cropland,2,0,1,0,0,2,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NEE_M_R,Forest,3,5,1,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NEE_M_R,Grassland,0,5,5,0,2,2,0,0,0,0,1
AFRICA_2024_DynamicWorld_2024_37NEE_M_R,Wetland,0,3,1,0,3,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NEE_M_R,Bareland,0,1,0,0,3,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NEE_M_R,Water,0,1,1,0,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37NEE_M_R,Water,0,0,0,0,0,0,0,0,6,0,0
AFRICA_2024_GWL_FCS30D_2022_37NEE_M_R,Forest,0,0,0,0,2,0,0,0,0,0,0
