Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Wetland,Built-up,Water,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_35PPR_M_R,Shrubland,3,2,1,1,2,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PPR_M_R,Grassland,0,4,3,3,3,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PPR_M_R,Cropland,45,0,32,28,8,0,14,0,0,0,0
AFRICA_2024_WorldCover_2021_35PPR_M_R,Wetland,21,0,7,23,0,0,6,0,0,0,0
AFRICA_2024_WorldCover_2021_35PPR_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PPR_M_R,Bareland,40,10,0,10,7,3,4,0,0,0,0
AFRICA_2024_WorldCover_2021_35PPR_M_R,Built-up,7,1,4,5,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PPR_M_R,Water,34,9,34,16,23,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PPR_M_R,Forest,39,6,7,0,4,1,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PPR_M_R,Shrubland,0,0,0,0,0,0,0,2,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PPR_M_R,Grassland,0,0,0,0,0,0,0,13,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PPR_M_R,Cropland,0,0,0,0,8,0,0,9,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PPR_M_R,Forest,0,0,0,0,14,0,1,21,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PPR_M_R,Wetland,0,0,0,0,0,0,0,32,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PPR_M_R,Bareland,0,0,0,0,5,0,0,8,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PPR_M_R,Water,0,0,0,0,29,0,0,18,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PPR_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PPR_M_R,Grassland,0,0,0,0,0,0,12,0,5,0,0
AFRICA_2024_GSW_Yearly_2021_35PPR_M_R,Cropland,0,0,0,0,0,0,43,0,2,0,0
AFRICA_2024_GSW_Yearly_2021_35PPR_M_R,Wetland,0,0,0,0,0,0,32,0,1,0,0
AFRICA_2024_GSW_Yearly_2021_35PPR_M_R,Built-up,0,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PPR_M_R,Forest,0,0,0,0,0,0,28,0,1,0,0
AFRICA_2024_GSW_Yearly_2021_35PPR_M_R,Bareland,0,0,0,0,0,0,36,0,2,0,0
AFRICA_2024_GSW_Yearly_2021_35PPR_M_R,Water,0,0,0,0,0,0,0,0,10,0,0
AFRICA_2024_GLC_FCS30D_2022_35PPR_M_R,Water,39,0,20,12,29,6,0,0,0,11,0
AFRICA_2024_GLC_FCS30D_2022_35PPR_M_R,Cropland,39,0,15,18,8,13,0,0,0,24,3
AFRICA_2024_GLC_FCS30D_2022_35PPR_M_R,Wetland,15,1,1,3,0,1,0,0,0,3,0
AFRICA_2024_GLC_FCS30D_2022_35PPR_M_R,Bareland,28,7,0,12,5,16,0,0,0,17,5
AFRICA_2024_GLC_FCS30D_2022_35PPR_M_R,Built-up,5,0,2,1,0,0,0,0,0,1,0
AFRICA_2024_GLC_FCS30D_2022_35PPR_M_R,Forest,38,18,1,0,14,10,1,0,0,17,0
AFRICA_2024_GLC_FCS30D_2022_35PPR_M_R,Grassland,0,1,0,2,0,0,0,0,0,1,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PPR_M_R,Grassland,0,9,2,12,2,6,6,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PPR_M_R,Forest,0,9,1,0,1,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PPR_M_R,Bareland,0,14,0,7,0,11,17,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PPR_M_R,Wetland,0,0,2,15,0,0,3,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PPR_M_R,Cropland,0,0,2,15,1,2,2,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PPR_M_R,Water,0,3,7,5,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PPR_M_R,Wetland,1,15,6,2,0,0,6,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PPR_M_R,Forest,1,16,10,0,16,0,3,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PPR_M_R,Water,0,19,13,0,4,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PPR_M_R,Grassland,0,11,11,3,8,0,6,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PPR_M_R,Bareland,0,7,0,0,1,0,2,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PPR_M_R,Built-up,0,0,4,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PPR_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0
