Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Non_Water,Non_Wetland,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_35PQP_M_R,Shrubland,3,2,1,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PQP_M_R,Grassland,0,13,3,1,2,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PQP_M_R,Cropland,62,0,24,12,33,2,2,0,0,0,0
AFRICA_2024_WorldCover_2021_35PQP_M_R,Wetland,54,41,7,0,44,0,14,0,0,0,0
AFRICA_2024_WorldCover_2021_35PQP_M_R,Lichens_and_Mosses,1,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PQP_M_R,Bareland,37,20,0,6,4,1,3,0,0,0,0
AFRICA_2024_WorldCover_2021_35PQP_M_R,Built-up,10,7,8,0,6,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PQP_M_R,Water,70,37,41,0,34,24,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PQP_M_R,Forest,45,22,11,2,0,1,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PQP_M_R,Shrubland,0,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PQP_M_R,Grassland,0,0,0,0,0,0,18,4,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PQP_M_R,Cropland,0,0,0,0,0,0,48,6,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PQP_M_R,Wetland,0,0,0,0,0,0,96,10,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PQP_M_R,Built-up,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PQP_M_R,Water,0,0,0,0,0,0,0,54,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PQP_M_R,Forest,0,0,0,0,0,0,13,3,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PQP_M_R,Bareland,0,0,0,0,0,0,27,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PQP_M_R,Forest,0,0,0,0,0,7,1,0,27,0,0
AFRICA_2024_GWL_FCS30D_2022_35PQP_M_R,Cropland,0,0,0,0,0,18,1,0,22,0,0
AFRICA_2024_GWL_FCS30D_2022_35PQP_M_R,Grassland,0,0,0,0,0,4,1,0,10,0,0
AFRICA_2024_GWL_FCS30D_2022_35PQP_M_R,Water,0,0,0,0,0,38,0,0,28,0,0
AFRICA_2024_GWL_FCS30D_2022_35PQP_M_R,Wetland,0,0,0,0,0,0,0,0,83,0,0
AFRICA_2024_GWL_FCS30D_2022_35PQP_M_R,Bareland,0,0,0,0,0,7,1,0,1,0,0
AFRICA_2024_GLC_FCS30D_2022_35PQP_M_R,Cropland,43,0,3,17,43,18,1,0,0,44,1
AFRICA_2024_GLC_FCS30D_2022_35PQP_M_R,Built-up,7,2,1,0,6,0,0,0,0,5,0
AFRICA_2024_GLC_FCS30D_2022_35PQP_M_R,Water,39,21,17,10,40,38,0,0,0,39,0
AFRICA_2024_GLC_FCS30D_2022_35PQP_M_R,Forest,19,13,4,13,0,7,1,0,0,28,0
AFRICA_2024_GLC_FCS30D_2022_35PQP_M_R,Grassland,0,3,0,0,11,4,1,0,0,8,0
AFRICA_2024_GLC_FCS30D_2022_35PQP_M_R,Bareland,24,7,0,13,13,7,1,0,0,16,2
AFRICA_2024_GLC_FCS30D_2022_35PQP_M_R,Wetland,16,12,1,1,15,0,0,0,0,22,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PQP_M_R,Grassland,0,12,1,8,9,1,6,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PQP_M_R,Wetland,0,16,4,2,31,0,24,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PQP_M_R,Built-up,0,2,0,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PQP_M_R,Forest,0,19,0,14,0,2,4,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PQP_M_R,Cropland,0,0,2,18,15,16,4,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PQP_M_R,Bareland,0,13,0,16,6,0,3,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PQP_M_R,Water,0,27,7,1,10,6,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PQP_M_R,Cropland,6,0,10,0,9,4,7,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PQP_M_R,Wetland,14,22,18,0,5,0,25,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PQP_M_R,Forest,5,13,4,0,0,25,10,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PQP_M_R,Water,1,2,5,0,1,11,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PQP_M_R,Grassland,0,9,8,0,4,9,5,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PQP_M_R,Bareland,0,5,0,0,0,0,3,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PQP_M_R,Built-up,0,7,7,0,2,0,0,0,0,0,0
