Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Non_Water,Shrubland,Non_Wetland
AFRICA_2024_WorldCover_2021_35NRF_M_R,Shrubland,2,1,1,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NRF_M_R,Grassland,0,1,1,0,5,5,0,0,0,0
AFRICA_2024_WorldCover_2021_35NRF_M_R,Cropland,24,0,0,6,10,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NRF_M_R,Wetland,17,0,0,0,27,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NRF_M_R,Bareland,2,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NRF_M_R,Built-up,7,6,6,0,5,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NRF_M_R,Forest,53,12,5,16,0,9,2,0,0,0
AFRICA_2024_WorldCover_2021_35NRF_M_R,Water,44,0,12,1,44,16,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NRF_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NRF_M_R,Forest,0,0,0,0,0,0,26,12,0,0
AFRICA_2024_GSW_Yearly_2021_35NRF_M_R,Water,0,0,0,0,0,0,0,30,0,0
AFRICA_2024_GSW_Yearly_2021_35NRF_M_R,Wetland,0,0,0,0,0,0,2,2,0,0
AFRICA_2024_GLC_FCS30D_2022_35NRF_M_R,Cropland,0,0,1,4,14,0,0,0,15,0
AFRICA_2024_GLC_FCS30D_2022_35NRF_M_R,Built-up,2,6,0,0,4,0,0,0,7,0
AFRICA_2024_GLC_FCS30D_2022_35NRF_M_R,Water,3,8,16,10,23,16,0,0,33,0
AFRICA_2024_GLC_FCS30D_2022_35NRF_M_R,Forest,9,22,20,19,0,15,6,0,46,0
AFRICA_2024_GLC_FCS30D_2022_35NRF_M_R,Grassland,0,7,3,1,7,0,1,0,7,0
AFRICA_2024_GLC_FCS30D_2022_35NRF_M_R,Wetland,0,1,8,1,7,0,0,0,18,0
AFRICA_2024_GLC_FCS30D_2022_35NRF_M_R,Bareland,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NRF_M_R,Built-up,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NRF_M_R,Forest,0,13,0,21,0,7,31,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NRF_M_R,Grassland,0,7,0,2,14,0,1,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NRF_M_R,Cropland,0,0,0,11,4,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NRF_M_R,Wetland,0,1,0,0,11,0,24,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NRF_M_R,Water,0,1,0,1,13,1,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NRF_M_R,Forest,0,0,0,0,0,15,6,0,0,25
AFRICA_2024_GWL_FCS30D_2022_35NRF_M_R,Grassland,0,0,0,0,0,0,1,0,0,5
AFRICA_2024_GWL_FCS30D_2022_35NRF_M_R,Wetland,0,0,0,0,0,0,0,0,0,38
AFRICA_2024_GWL_FCS30D_2022_35NRF_M_R,Water,0,0,0,0,0,16,0,0,0,15
AFRICA_2024_DynamicWorld_2024_35NRF_M_R,Forest,11,5,0,0,0,9,12,0,0,0
AFRICA_2024_DynamicWorld_2024_35NRF_M_R,Water,1,0,0,0,11,6,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NRF_M_R,Grassland,0,2,0,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NRF_M_R,Wetland,0,0,0,0,8,0,5,0,0,0
AFRICA_2024_DynamicWorld_2024_35NRF_M_R,Cropland,0,0,0,0,4,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NRF_M_R,Built-up,0,0,0,0,8,0,0,0,0,0
