Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Forest,Cropland,Water,Non_Wetland,Non_Water,Shrubland
AFRICA_2024_WorldCover_2021_35NPE_M_R,Shrubland,2,2,1,1,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPE_M_R,Cropland,13,1,0,5,3,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPE_M_R,Wetland,28,0,0,0,18,2,4,0,0,0
AFRICA_2024_WorldCover_2021_35NPE_M_R,Bareland,3,0,0,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPE_M_R,Built-up,10,0,2,0,9,2,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPE_M_R,Forest,58,15,5,13,0,1,8,0,0,0
AFRICA_2024_WorldCover_2021_35NPE_M_R,Water,33,10,17,1,39,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPE_M_R,Grassland,0,5,0,0,4,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPE_M_R,Shrubland,0,0,0,0,0,0,0,2,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPE_M_R,Cropland,0,0,0,0,0,0,0,1,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPE_M_R,Forest,0,23,0,0,0,0,3,35,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPE_M_R,Wetland,0,0,0,0,0,0,0,27,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPE_M_R,Water,0,24,0,0,0,0,0,12,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPE_M_R,Grassland,0,2,0,0,0,0,0,5,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPE_M_R,Built-up,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NPE_M_R,Forest,0,0,0,0,0,0,36,0,14,0
AFRICA_2024_GSW_Yearly_2021_35NPE_M_R,Wetland,0,0,0,0,0,0,4,0,7,0
AFRICA_2024_GSW_Yearly_2021_35NPE_M_R,Grassland,0,0,0,0,0,0,4,0,1,0
AFRICA_2024_GSW_Yearly_2021_35NPE_M_R,Water,0,0,0,0,0,0,0,0,30,0
AFRICA_2024_GSW_Yearly_2021_35NPE_M_R,Bareland,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NPE_M_R,Built-up,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35NPE_M_R,Cropland,0,0,0,2,5,0,0,0,0,4
AFRICA_2024_GLC_FCS30D_2022_35NPE_M_R,Wetland,0,0,0,2,12,0,0,0,0,12
AFRICA_2024_GLC_FCS30D_2022_35NPE_M_R,Built-up,0,1,0,0,4,6,0,0,0,7
AFRICA_2024_GLC_FCS30D_2022_35NPE_M_R,Water,2,24,15,10,25,10,0,0,0,30
AFRICA_2024_GLC_FCS30D_2022_35NPE_M_R,Forest,6,23,19,15,0,30,3,0,0,33
AFRICA_2024_GLC_FCS30D_2022_35NPE_M_R,Grassland,0,2,3,1,14,8,0,0,0,8
AFRICA_2024_GLC_FCS30D_2022_35NPE_M_R,Bareland,0,0,0,0,2,0,0,0,0,2
AFRICA_2024_ESRI_Annual_LULC_2024_35NPE_M_R,Forest,0,10,0,27,0,5,39,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NPE_M_R,Cropland,0,0,0,3,3,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NPE_M_R,Wetland,0,0,0,1,8,0,20,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NPE_M_R,Grassland,0,0,0,0,14,2,2,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NPE_M_R,Built-up,0,0,0,0,2,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NPE_M_R,Water,0,4,1,11,6,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NPE_M_R,Wetland,3,0,0,0,12,0,12,0,0,0
AFRICA_2024_DynamicWorld_2024_35NPE_M_R,Forest,16,10,1,0,0,6,10,0,0,0
AFRICA_2024_DynamicWorld_2024_35NPE_M_R,Grassland,0,0,0,0,1,1,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NPE_M_R,Built-up,0,0,0,0,9,4,2,0,0,0
AFRICA_2024_DynamicWorld_2024_35NPE_M_R,Water,0,7,0,0,21,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NPE_M_R,Cropland,0,0,0,0,1,0,0,0,0,0
