Dataset,MajorityClass,Grassland,Wetland,Water,Lichens_and_Mosses,Bareland,Non_Wetland,Non_Water,Shrubland,Forest,Built-up,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_43XDB_M_R,Shrubland,2,3,2,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XDB_M_R,Grassland,0,3,1,1,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XDB_M_R,Wetland,22,0,25,11,17,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XDB_M_R,Lichens_and_Mosses,3,3,2,0,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XDB_M_R,Bareland,6,12,12,5,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XDB_M_R,Built-up,1,3,1,2,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XDB_M_R,Water,6,30,0,6,16,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XDB_M_R,Forest,3,15,9,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43XDB_M_R,Permanent_ice_and_snow,16,15,12,5,9,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XDB_M_R,Shrubland,0,0,0,0,0,3,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XDB_M_R,Grassland,0,0,0,0,0,6,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XDB_M_R,Lichens_and_Mosses,0,0,0,0,0,5,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XDB_M_R,Bareland,0,3,2,0,0,15,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XDB_M_R,Built-up,0,0,0,0,0,3,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XDB_M_R,Forest,0,0,0,0,0,15,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XDB_M_R,Wetland,0,0,2,0,0,46,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XDB_M_R,Water,0,5,0,0,0,17,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43XDB_M_R,Permanent_ice_and_snow,0,0,0,0,0,15,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XDB_M_R,Shrubland,0,0,1,0,0,0,1,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XDB_M_R,Grassland,0,0,2,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XDB_M_R,Wetland,0,0,30,0,0,0,9,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XDB_M_R,Lichens_and_Mosses,0,0,4,0,0,0,1,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XDB_M_R,Bareland,0,0,12,0,0,0,6,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XDB_M_R,Built-up,0,0,3,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XDB_M_R,Water,0,0,0,0,0,0,20,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XDB_M_R,Forest,0,0,2,0,0,0,4,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43XDB_M_R,Permanent_ice_and_snow,0,0,13,0,0,0,6,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43XDB_M_R,Water,4,13,0,11,12,0,0,8,4,1,0
SIBERIA_2024_GLC_FCS30D_2022_43XDB_M_R,Wetland,6,0,3,11,9,0,0,7,6,7,0
SIBERIA_2024_GLC_FCS30D_2022_43XDB_M_R,Bareland,1,6,2,9,0,0,0,3,0,10,0
SIBERIA_2024_GLC_FCS30D_2022_43XDB_M_R,Permanent_ice_and_snow,5,8,2,11,11,0,0,8,1,11,0
SIBERIA_2024_GLC_FCS30D_2022_43XDB_M_R,Forest,3,0,0,4,6,0,0,6,0,1,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43XDB_M_R,Water,0,11,0,0,12,0,0,0,3,0,18
SIBERIA_2024_ESRI_Annual_LULC_2024_43XDB_M_R,Grassland,0,3,1,0,0,0,0,0,1,0,2
SIBERIA_2024_ESRI_Annual_LULC_2024_43XDB_M_R,Lichens_and_Mosses,0,2,0,0,3,0,0,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_43XDB_M_R,Bareland,0,3,0,0,0,0,0,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_43XDB_M_R,Wetland,0,0,6,0,10,0,0,0,3,0,17
