Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Forest,Cropland,Permanent_ice_and_snow,Built-up,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_41WNN_M_R,Shrubland,3,3,3,2,2,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNN_M_R,Grassland,0,3,1,1,0,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNN_M_R,Cropland,4,3,0,0,0,2,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNN_M_R,Wetland,38,0,10,10,34,34,4,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNN_M_R,Lichens_and_Mosses,3,3,0,3,2,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNN_M_R,Bareland,6,4,4,0,5,7,1,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNN_M_R,Built-up,17,7,2,8,7,15,0,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNN_M_R,Water,35,33,21,26,0,35,0,0,2,0,0,0
SIBERIA_2024_WorldCover_2021_41WNN_M_R,Forest,21,22,11,10,9,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNN_M_R,Permanent_ice_and_snow,17,13,11,11,10,14,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNN_M_R,Shrubland,0,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNN_M_R,Grassland,0,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNN_M_R,Cropland,0,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNN_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNN_M_R,Bareland,0,2,0,0,0,0,0,0,0,4,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNN_M_R,Built-up,0,3,0,0,0,0,0,0,0,7,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNN_M_R,Forest,0,3,0,0,2,0,0,0,0,25,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNN_M_R,Wetland,0,0,0,0,2,0,0,0,0,79,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNN_M_R,Water,0,9,0,0,0,0,0,0,0,25,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,13,0,0
SIBERIA_2024_GSW_Yearly_2021_41WNN_M_R,Shrubland,0,0,0,0,5,0,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_41WNN_M_R,Grassland,0,0,0,0,3,0,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_41WNN_M_R,Wetland,0,0,0,0,47,0,0,0,0,0,11,0
SIBERIA_2024_GSW_Yearly_2021_41WNN_M_R,Lichens_and_Mosses,0,0,0,0,7,0,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_41WNN_M_R,Bareland,0,0,0,0,16,0,0,0,0,0,3,0
SIBERIA_2024_GSW_Yearly_2021_41WNN_M_R,Water,0,0,0,0,0,0,0,0,0,0,46,0
SIBERIA_2024_GSW_Yearly_2021_41WNN_M_R,Forest,0,0,0,0,36,0,0,0,0,0,5,0
SIBERIA_2024_GSW_Yearly_2021_41WNN_M_R,Built-up,0,0,0,0,11,0,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_41WNN_M_R,Permanent_ice_and_snow,0,0,0,0,23,0,0,0,0,0,4,0
SIBERIA_2024_GLC_FCS30D_2022_41WNN_M_R,Water,5,9,21,21,0,22,8,0,14,0,0,23
SIBERIA_2024_GLC_FCS30D_2022_41WNN_M_R,Cropland,0,0,0,1,0,1,0,0,0,0,0,2
SIBERIA_2024_GLC_FCS30D_2022_41WNN_M_R,Wetland,8,0,10,13,2,10,10,0,3,0,0,14
SIBERIA_2024_GLC_FCS30D_2022_41WNN_M_R,Bareland,0,2,3,0,0,0,0,0,0,0,0,2
SIBERIA_2024_GLC_FCS30D_2022_41WNN_M_R,Built-up,4,3,11,13,0,7,4,0,0,0,0,9
SIBERIA_2024_GLC_FCS30D_2022_41WNN_M_R,Permanent_ice_and_snow,2,0,12,18,0,11,1,0,8,0,0,16
SIBERIA_2024_GLC_FCS30D_2022_41WNN_M_R,Forest,8,3,10,14,2,0,5,0,6,0,0,16
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNN_M_R,Wetland,0,0,0,10,10,13,2,16,14,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNN_M_R,Forest,0,3,0,1,2,0,1,3,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNN_M_R,Water,0,16,0,3,0,12,0,22,6,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNN_M_R,Grassland,0,3,0,0,2,2,0,2,2,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNN_M_R,Lichens_and_Mosses,0,0,0,1,1,2,0,2,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNN_M_R,Bareland,0,0,0,0,2,1,0,3,3,0,0,0
