Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Forest,Water,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_45WWM_M_R,Shrubland,3,3,2,2,3,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWM_M_R,Grassland,0,3,2,0,3,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWM_M_R,Cropland,4,5,1,0,4,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWM_M_R,Wetland,30,0,18,8,33,24,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWM_M_R,Lichens_and_Mosses,2,2,0,1,1,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWM_M_R,Bareland,12,9,8,0,9,5,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWM_M_R,Built-up,6,3,3,2,10,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWM_M_R,Water,30,31,26,26,30,0,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWM_M_R,Forest,18,21,14,11,0,9,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWM_M_R,Permanent_ice_and_snow,13,14,9,6,13,5,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWM_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWM_M_R,Grassland,0,0,0,0,0,0,0,6,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWM_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWM_M_R,Bareland,0,2,0,0,0,0,0,11,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWM_M_R,Built-up,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWM_M_R,Forest,0,3,0,0,0,2,0,24,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWM_M_R,Cropland,0,0,0,0,0,0,0,5,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWM_M_R,Wetland,0,0,0,0,0,2,0,73,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWM_M_R,Water,0,7,0,0,0,0,0,23,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWM_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,14,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWM_M_R,Shrubland,0,0,0,0,0,5,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWM_M_R,Grassland,0,0,0,0,0,8,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWM_M_R,Wetland,0,0,0,0,0,52,0,0,9,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWM_M_R,Lichens_and_Mosses,0,0,0,0,0,6,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWM_M_R,Bareland,0,0,0,0,0,32,0,0,2,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWM_M_R,Built-up,0,0,0,0,0,6,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWM_M_R,Water,0,0,0,0,0,0,0,0,32,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWM_M_R,Forest,0,0,0,0,0,39,0,0,5,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWM_M_R,Permanent_ice_and_snow,0,0,0,0,0,23,0,0,1,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_45WWM_M_R,Water,17,7,12,22,19,0,17,0,0,21,0,0
SIBERIA_2024_GLC_FCS30D_2022_45WWM_M_R,Cropland,0,0,0,3,4,0,0,0,0,3,0,0
SIBERIA_2024_GLC_FCS30D_2022_45WWM_M_R,Wetland,10,0,4,14,12,2,9,0,0,13,0,0
SIBERIA_2024_GLC_FCS30D_2022_45WWM_M_R,Bareland,4,2,4,0,6,0,1,0,0,8,0,0
SIBERIA_2024_GLC_FCS30D_2022_45WWM_M_R,Built-up,2,0,1,5,2,0,0,0,0,2,0,0
SIBERIA_2024_GLC_FCS30D_2022_45WWM_M_R,Permanent_ice_and_snow,10,0,5,11,11,0,4,0,0,10,0,0
SIBERIA_2024_GLC_FCS30D_2022_45WWM_M_R,Forest,11,3,6,14,0,2,9,0,0,14,1,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWM_M_R,Grassland,0,3,0,2,3,1,1,0,0,0,1,3
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWM_M_R,Wetland,0,0,0,8,13,10,4,0,0,0,8,13
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWM_M_R,Bareland,0,2,0,0,2,2,1,0,0,0,3,2
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWM_M_R,Forest,0,3,0,2,0,2,2,0,0,0,1,3
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWM_M_R,Water,0,19,0,16,17,0,1,0,0,0,0,19
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWM_M_R,Lichens_and_Mosses,0,1,0,1,1,1,0,0,0,0,0,1
