Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Forest,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland,Built-up
SIBERIA_2024_WorldCover_2021_41WNT_M_R,Shrubland,3,3,3,3,2,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNT_M_R,Grassland,0,3,3,1,2,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNT_M_R,Wetland,29,0,30,25,26,15,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNT_M_R,Lichens_and_Mosses,3,3,0,3,1,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNT_M_R,Bareland,5,9,6,0,11,2,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNT_M_R,Built-up,2,3,3,2,1,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNT_M_R,Water,25,26,25,30,0,7,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNT_M_R,Forest,8,15,5,3,2,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNT_M_R,Permanent_ice_and_snow,17,16,16,14,13,4,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNT_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNT_M_R,Grassland,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNT_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNT_M_R,Bareland,0,3,0,0,2,0,0,12,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNT_M_R,Built-up,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNT_M_R,Forest,0,1,0,0,0,0,0,17,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNT_M_R,Wetland,0,0,0,0,2,0,0,96,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNT_M_R,Water,0,7,0,0,0,0,0,22,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNT_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,16,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41WNT_M_R,Shrubland,0,0,0,0,5,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_41WNT_M_R,Grassland,0,0,0,0,5,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_41WNT_M_R,Wetland,0,0,0,0,49,0,0,0,10,0,0
SIBERIA_2024_GSW_Yearly_2021_41WNT_M_R,Lichens_and_Mosses,0,0,0,0,6,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41WNT_M_R,Bareland,0,0,0,0,17,0,0,0,6,0,0
SIBERIA_2024_GSW_Yearly_2021_41WNT_M_R,Built-up,0,0,0,0,4,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41WNT_M_R,Water,0,0,0,0,0,0,0,0,40,0,0
SIBERIA_2024_GSW_Yearly_2021_41WNT_M_R,Forest,0,0,0,0,8,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_41WNT_M_R,Permanent_ice_and_snow,0,0,0,0,24,0,0,0,6,0,0
SIBERIA_2024_GLC_FCS30D_2022_41WNT_M_R,Water,6,16,10,17,0,21,0,0,0,21,7
SIBERIA_2024_GLC_FCS30D_2022_41WNT_M_R,Wetland,11,0,11,13,2,16,0,0,0,19,11
SIBERIA_2024_GLC_FCS30D_2022_41WNT_M_R,Bareland,1,5,6,0,2,4,0,0,0,5,4
SIBERIA_2024_GLC_FCS30D_2022_41WNT_M_R,Permanent_ice_and_snow,8,0,10,12,0,17,0,0,0,17,8
SIBERIA_2024_GLC_FCS30D_2022_41WNT_M_R,Forest,3,1,1,3,0,0,0,0,0,7,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNT_M_R,Water,0,25,0,9,0,1,28,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNT_M_R,Grassland,0,3,0,1,1,1,3,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNT_M_R,Lichens_and_Mosses,0,3,0,1,1,0,3,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNT_M_R,Bareland,0,3,0,0,2,0,3,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNT_M_R,Forest,0,2,0,0,1,0,2,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNT_M_R,Wetland,0,0,0,8,12,3,17,0,0,0,0
