Dataset,MajorityClass,Grassland,Wetland,Forest,Bareland,Built-up,Lichens_and_Mosses,Water,Cropland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_42VXL_M_R,Shrubland,1,1,1,0,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VXL_M_R,Grassland,0,2,2,3,1,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VXL_M_R,Cropland,5,4,3,2,1,1,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VXL_M_R,Wetland,22,0,21,4,2,0,15,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VXL_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VXL_M_R,Bareland,7,5,8,0,3,1,5,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VXL_M_R,Built-up,11,9,12,14,0,1,9,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VXL_M_R,Water,27,19,27,21,1,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VXL_M_R,Forest,16,15,0,9,4,1,11,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VXL_M_R,Permanent_ice_and_snow,2,1,5,3,0,0,2,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXL_M_R,Shrubland,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXL_M_R,Grassland,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXL_M_R,Cropland,0,0,0,0,0,0,0,0,4,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXL_M_R,Bareland,0,0,0,0,0,0,1,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXL_M_R,Built-up,0,0,0,0,0,0,0,0,10,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXL_M_R,Forest,0,3,0,0,0,0,2,0,18,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXL_M_R,Wetland,0,0,0,0,0,0,2,0,41,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXL_M_R,Water,0,6,0,0,0,0,0,0,12,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VXL_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42VXL_M_R,Grassland,0,0,0,0,0,0,1,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_42VXL_M_R,Cropland,0,0,0,0,0,0,3,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42VXL_M_R,Wetland,0,0,0,0,0,0,17,0,0,6,0,0
SIBERIA_2024_GSW_Yearly_2021_42VXL_M_R,Bareland,0,0,0,0,0,0,7,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_42VXL_M_R,Built-up,0,0,0,0,0,0,18,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_42VXL_M_R,Forest,0,0,0,0,0,0,23,0,0,6,0,0
SIBERIA_2024_GSW_Yearly_2021_42VXL_M_R,Water,0,0,0,0,0,0,0,0,0,24,0,0
SIBERIA_2024_GLC_FCS30D_2022_42VXL_M_R,Water,11,6,16,17,10,1,0,17,0,0,3,0
SIBERIA_2024_GLC_FCS30D_2022_42VXL_M_R,Cropland,0,0,3,2,0,0,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_42VXL_M_R,Wetland,3,0,10,10,4,0,2,5,0,0,2,0
SIBERIA_2024_GLC_FCS30D_2022_42VXL_M_R,Bareland,2,0,6,0,6,0,1,5,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_42VXL_M_R,Built-up,9,0,7,9,0,2,0,10,0,0,1,0
SIBERIA_2024_GLC_FCS30D_2022_42VXL_M_R,Permanent_ice_and_snow,0,0,4,1,3,1,0,3,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_42VXL_M_R,Forest,5,3,0,13,7,0,2,12,0,0,3,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VXL_M_R,Grassland,0,1,1,1,1,0,2,1,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VXL_M_R,Wetland,0,0,11,4,5,0,8,4,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_42VXL_M_R,Forest,0,3,0,2,2,0,2,1,0,0,0,2
SIBERIA_2024_ESRI_Annual_LULC_2024_42VXL_M_R,Bareland,0,1,2,0,2,0,2,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VXL_M_R,Water,0,12,11,1,9,0,0,0,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_42VXL_M_R,Built-up,0,1,2,1,0,0,1,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VXL_M_R,Cropland,0,0,1,1,1,0,0,0,0,0,0,0
