Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Water,Bareland,Forest,Built-up,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_42WWE_M_R,Shrubland,47,63,29,34,23,3,4,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WWE_M_R,Grassland,0,3,3,1,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WWE_M_R,Wetland,107,0,101,110,79,3,15,1,0,0,0
SIBERIA_2024_WorldCover_2021_42WWE_M_R,Lichens_and_Mosses,3,3,0,2,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WWE_M_R,Bareland,51,73,63,57,0,1,13,1,0,0,0
SIBERIA_2024_WorldCover_2021_42WWE_M_R,Built-up,7,15,10,9,10,5,0,1,0,0,0
SIBERIA_2024_WorldCover_2021_42WWE_M_R,Water,78,81,83,0,43,0,3,1,0,0,0
SIBERIA_2024_WorldCover_2021_42WWE_M_R,Forest,14,28,1,9,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WWE_M_R,Permanent_ice_and_snow,8,11,9,7,4,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WWE_M_R,Shrubland,0,0,0,0,0,0,0,0,105,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WWE_M_R,Grassland,0,0,0,0,0,0,0,0,18,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WWE_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,25,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WWE_M_R,Bareland,0,26,0,14,0,0,0,0,146,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WWE_M_R,Built-up,0,6,0,2,0,0,0,0,36,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WWE_M_R,Forest,0,0,0,0,0,0,0,0,40,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WWE_M_R,Wetland,0,0,0,22,0,0,0,0,342,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WWE_M_R,Water,0,36,0,0,0,0,0,0,103,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WWE_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,11,0,0
