Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Forest,Cropland,Built-up,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_45VWH_M_R,Shrubland,3,3,1,2,1,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWH_M_R,Grassland,0,3,2,2,1,3,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWH_M_R,Cropland,5,5,5,1,0,9,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWH_M_R,Wetland,31,0,21,8,24,33,0,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWH_M_R,Lichens_and_Mosses,2,1,0,2,0,1,0,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWH_M_R,Bareland,12,4,14,0,7,11,1,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWH_M_R,Built-up,10,3,5,4,2,10,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWH_M_R,Water,32,29,28,26,0,35,2,4,2,0,0,0
SIBERIA_2024_WorldCover_2021_45VWH_M_R,Forest,21,18,15,11,10,0,1,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VWH_M_R,Permanent_ice_and_snow,10,5,2,7,5,11,0,1,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWH_M_R,Shrubland,0,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWH_M_R,Grassland,0,0,0,0,0,0,0,0,0,5,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWH_M_R,Cropland,0,0,0,0,0,0,0,0,0,5,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWH_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,0,1,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWH_M_R,Bareland,0,3,0,0,1,0,0,0,0,7,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWH_M_R,Built-up,0,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWH_M_R,Forest,0,3,0,0,2,0,0,0,0,21,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWH_M_R,Wetland,0,0,0,0,2,0,0,0,0,75,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWH_M_R,Water,0,7,0,0,0,0,0,0,0,19,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VWH_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,5,0,0
SIBERIA_2024_GSW_Yearly_2021_45VWH_M_R,Shrubland,0,0,0,0,4,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VWH_M_R,Grassland,0,0,0,0,8,0,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_45VWH_M_R,Wetland,0,0,0,0,43,0,0,0,0,0,9,0
SIBERIA_2024_GSW_Yearly_2021_45VWH_M_R,Lichens_and_Mosses,0,0,0,0,5,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VWH_M_R,Bareland,0,0,0,0,27,0,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_45VWH_M_R,Built-up,0,0,0,0,7,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VWH_M_R,Water,0,0,0,0,0,0,0,0,0,0,40,0
SIBERIA_2024_GSW_Yearly_2021_45VWH_M_R,Forest,0,0,0,0,35,0,0,0,0,0,5,0
SIBERIA_2024_GSW_Yearly_2021_45VWH_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VWH_M_R,Permanent_ice_and_snow,0,0,0,0,12,0,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VWH_M_R,Water,15,7,13,22,0,21,0,21,0,0,0,22
SIBERIA_2024_GLC_FCS30D_2022_45VWH_M_R,Cropland,1,0,1,6,0,4,0,4,0,0,0,6
SIBERIA_2024_GLC_FCS30D_2022_45VWH_M_R,Wetland,5,0,2,16,2,12,3,12,0,0,0,13
SIBERIA_2024_GLC_FCS30D_2022_45VWH_M_R,Bareland,8,3,7,0,1,6,0,3,0,0,0,7
SIBERIA_2024_GLC_FCS30D_2022_45VWH_M_R,Built-up,4,0,4,8,0,1,0,0,0,0,0,4
SIBERIA_2024_GLC_FCS30D_2022_45VWH_M_R,Permanent_ice_and_snow,4,0,5,10,0,6,0,7,0,0,0,4
SIBERIA_2024_GLC_FCS30D_2022_45VWH_M_R,Forest,10,3,7,17,2,0,3,14,0,0,0,14
SIBERIA_2024_ESRI_Annual_LULC_2024_45VWH_M_R,Grassland,0,2,0,3,2,3,1,1,2,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VWH_M_R,Wetland,0,0,0,11,11,13,7,2,11,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VWH_M_R,Bareland,0,3,0,0,2,2,1,2,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VWH_M_R,Water,0,23,0,16,0,14,2,1,14,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VWH_M_R,Forest,0,3,0,3,2,0,1,1,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VWH_M_R,Lichens_and_Mosses,0,0,0,3,1,2,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VWH_M_R,Built-up,0,0,0,0,1,0,0,0,1,0,0,0
