Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Water,Forest,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_43WFQ_M_R,Shrubland,35,40,23,3,1,16,16,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WFQ_M_R,Grassland,0,3,3,3,1,2,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WFQ_M_R,Wetland,81,0,73,42,4,73,47,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WFQ_M_R,Lichens_and_Mosses,3,3,0,2,1,2,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WFQ_M_R,Bareland,48,58,51,0,8,27,11,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WFQ_M_R,Built-up,21,19,14,16,0,11,11,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WFQ_M_R,Water,60,67,50,37,3,0,34,1,0,0,0
SIBERIA_2024_WorldCover_2021_43WFQ_M_R,Forest,38,41,22,18,7,21,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WFQ_M_R,Permanent_ice_and_snow,15,18,14,14,2,13,13,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WFQ_M_R,Shrubland,0,0,0,0,0,0,0,0,75,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WFQ_M_R,Grassland,0,0,0,0,0,0,0,0,16,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WFQ_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,14,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WFQ_M_R,Bareland,0,3,0,0,0,2,0,0,99,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WFQ_M_R,Built-up,0,0,0,0,0,1,0,0,29,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WFQ_M_R,Forest,0,7,0,0,0,2,0,0,81,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WFQ_M_R,Wetland,0,0,0,0,0,20,0,0,323,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WFQ_M_R,Water,0,17,0,0,0,0,0,0,59,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WFQ_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,18,0,0
SIBERIA_2024_GSW_Yearly_2021_43WFQ_M_R,Shrubland,0,0,0,0,0,12,0,0,0,2,0
SIBERIA_2024_GSW_Yearly_2021_43WFQ_M_R,Grassland,0,0,0,0,0,10,0,0,0,2,0
SIBERIA_2024_GSW_Yearly_2021_43WFQ_M_R,Wetland,0,0,0,0,0,122,0,0,0,28,0
SIBERIA_2024_GSW_Yearly_2021_43WFQ_M_R,Lichens_and_Mosses,0,0,0,0,0,8,0,0,0,2,0
SIBERIA_2024_GSW_Yearly_2021_43WFQ_M_R,Bareland,0,0,0,0,0,56,0,0,0,10,0
SIBERIA_2024_GSW_Yearly_2021_43WFQ_M_R,Built-up,0,0,0,0,0,29,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_43WFQ_M_R,Water,0,0,0,0,0,0,0,0,0,87,0
SIBERIA_2024_GSW_Yearly_2021_43WFQ_M_R,Forest,0,0,0,0,0,40,0,0,0,8,0
SIBERIA_2024_GSW_Yearly_2021_43WFQ_M_R,Permanent_ice_and_snow,0,0,0,0,0,21,0,0,0,6,0
SIBERIA_2024_GLC_FCS30D_2022_43WFQ_M_R,Water,25,20,21,46,19,0,40,0,0,0,22
SIBERIA_2024_GLC_FCS30D_2022_43WFQ_M_R,Wetland,42,0,42,75,39,23,61,0,0,0,40
SIBERIA_2024_GLC_FCS30D_2022_43WFQ_M_R,Bareland,21,3,30,0,39,2,32,0,0,0,17
SIBERIA_2024_GLC_FCS30D_2022_43WFQ_M_R,Built-up,12,0,10,21,0,1,12,0,0,0,10
SIBERIA_2024_GLC_FCS30D_2022_43WFQ_M_R,Permanent_ice_and_snow,14,0,12,16,13,0,14,0,0,0,14
SIBERIA_2024_GLC_FCS30D_2022_43WFQ_M_R,Forest,23,7,10,33,14,2,0,0,0,0,26
SIBERIA_2024_GLC_FCS30D_2022_43WFQ_M_R,Shrubland,16,0,7,39,11,0,24,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WFQ_M_R,Water,0,78,0,20,22,0,23,35,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WFQ_M_R,Grassland,0,9,0,2,6,2,6,5,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WFQ_M_R,Lichens_and_Mosses,0,7,0,3,3,2,3,6,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WFQ_M_R,Bareland,0,39,0,0,37,7,22,23,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WFQ_M_R,Built-up,0,1,0,3,0,0,1,2,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WFQ_M_R,Forest,0,27,0,1,4,4,0,7,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WFQ_M_R,Wetland,0,0,0,14,32,30,33,42,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43WFQ_M_R,Shrubland,0,38,0,0,11,4,16,17,0,0,0
SIBERIA_2024_ESA_CALU_2024_43WFQ_M_R,Grassland,0,4,0,4,0,0,2,0,0,0,7
SIBERIA_2024_ESA_CALU_2024_43WFQ_M_R,Wetland,0,0,0,22,0,8,21,0,0,0,28
SIBERIA_2024_ESA_CALU_2024_43WFQ_M_R,Lichens_and_Mosses,0,4,0,7,0,0,0,0,0,0,4
SIBERIA_2024_ESA_CALU_2024_43WFQ_M_R,Bareland,0,5,0,0,0,0,0,0,0,0,5
SIBERIA_2024_ESA_CALU_2024_43WFQ_M_R,Water,0,50,0,23,0,0,7,0,0,0,29
