Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Forest,Built-up,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_42WWC_M_R,Shrubland,75,75,61,51,51,42,8,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WWC_M_R,Grassland,0,3,3,1,2,2,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WWC_M_R,Wetland,149,0,133,111,129,59,14,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WWC_M_R,Lichens_and_Mosses,3,3,0,3,2,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WWC_M_R,Bareland,74,75,86,0,67,11,7,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WWC_M_R,Built-up,3,2,3,0,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WWC_M_R,Water,126,97,114,91,0,41,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WWC_M_R,Forest,64,74,35,32,43,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42WWC_M_R,Permanent_ice_and_snow,14,16,15,9,16,5,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WWC_M_R,Shrubland,0,0,0,0,0,0,0,160,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WWC_M_R,Grassland,0,0,0,0,0,0,0,24,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WWC_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,25,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WWC_M_R,Bareland,0,20,0,0,15,0,0,177,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WWC_M_R,Built-up,0,0,0,0,0,0,0,7,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WWC_M_R,Forest,0,9,0,0,5,0,0,150,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WWC_M_R,Wetland,0,0,0,0,27,0,0,505,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WWC_M_R,Water,0,49,0,0,0,0,0,150,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42WWC_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,18,0,0,0
SIBERIA_2024_GSW_Yearly_2021_42WWC_M_R,Shrubland,0,0,0,0,71,0,0,0,29,0,0
SIBERIA_2024_GSW_Yearly_2021_42WWC_M_R,Grassland,0,0,0,0,15,0,0,0,4,0,0
SIBERIA_2024_GSW_Yearly_2021_42WWC_M_R,Wetland,0,0,0,0,222,0,0,0,55,0,0
SIBERIA_2024_GSW_Yearly_2021_42WWC_M_R,Lichens_and_Mosses,0,0,0,0,14,0,0,0,5,0,0
SIBERIA_2024_GSW_Yearly_2021_42WWC_M_R,Bareland,0,0,0,0,118,0,0,0,41,0,0
SIBERIA_2024_GSW_Yearly_2021_42WWC_M_R,Water,0,0,0,0,0,0,0,0,164,0,0
SIBERIA_2024_GSW_Yearly_2021_42WWC_M_R,Forest,0,0,0,0,60,0,0,0,15,0,0
SIBERIA_2024_GSW_Yearly_2021_42WWC_M_R,Permanent_ice_and_snow,0,0,0,0,14,0,0,0,9,0,0
SIBERIA_2024_GLC_FCS30D_2022_42WWC_M_R,Water,48,49,90,76,0,60,46,0,0,48,0
SIBERIA_2024_GLC_FCS30D_2022_42WWC_M_R,Wetland,61,0,89,83,27,80,64,0,0,78,0
SIBERIA_2024_GLC_FCS30D_2022_42WWC_M_R,Bareland,33,20,58,0,15,48,57,0,0,59,0
SIBERIA_2024_GLC_FCS30D_2022_42WWC_M_R,Built-up,0,0,0,2,0,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_42WWC_M_R,Permanent_ice_and_snow,10,1,15,16,0,11,8,0,0,9,0
SIBERIA_2024_GLC_FCS30D_2022_42WWC_M_R,Forest,32,9,33,49,5,0,9,0,0,39,0
SIBERIA_2024_GLC_FCS30D_2022_42WWC_M_R,Shrubland,46,0,55,54,0,53,33,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42WWC_M_R,Water,0,142,0,23,0,11,0,0,0,0,117
SIBERIA_2024_ESRI_Annual_LULC_2024_42WWC_M_R,Grassland,0,12,0,2,9,4,0,0,0,0,14
SIBERIA_2024_ESRI_Annual_LULC_2024_42WWC_M_R,Lichens_and_Mosses,0,12,0,3,10,1,2,0,0,0,12
SIBERIA_2024_ESRI_Annual_LULC_2024_42WWC_M_R,Bareland,0,92,0,0,62,6,8,0,0,0,86
SIBERIA_2024_ESRI_Annual_LULC_2024_42WWC_M_R,Forest,0,74,0,4,35,0,0,0,0,0,52
SIBERIA_2024_ESRI_Annual_LULC_2024_42WWC_M_R,Wetland,0,0,0,32,107,30,3,0,0,0,149
SIBERIA_2024_ESRI_Annual_LULC_2024_42WWC_M_R,Shrubland,0,88,0,12,49,24,1,0,0,0,77
SIBERIA_2024_ESRI_Annual_LULC_2024_42WWC_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,2
SIBERIA_2024_ESRI_Annual_LULC_2024_42WWC_M_R,Permanent_ice_and_snow,0,2,0,0,6,0,0,0,0,0,0
SIBERIA_2024_ESA_CALU_2024_42WWC_M_R,Water,0,118,0,120,0,83,0,0,0,133,40
SIBERIA_2024_ESA_CALU_2024_42WWC_M_R,Grassland,0,9,0,12,1,9,0,0,0,13,0
SIBERIA_2024_ESA_CALU_2024_42WWC_M_R,Wetland,0,0,0,73,22,64,0,0,0,92,6
SIBERIA_2024_ESA_CALU_2024_42WWC_M_R,Lichens_and_Mosses,0,10,0,12,2,3,0,0,0,13,2
SIBERIA_2024_ESA_CALU_2024_42WWC_M_R,Bareland,0,16,0,0,2,6,0,0,0,17,2
