,GSW_Yearly_2021,GLC_FCS30D_2022,GWL_FCS30D_2022,WorldCover_2021,ESRI_Annual_LULC_2024,meta,tile_id,ESA_CALU_2024
0,297,520,588,547,438,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42VUL_M_R': 438, 'SIBERIA_2024_GLC_FCS30D_2022_42VUL_M_R': 520, 'SIBERIA_2024_GSW_Yearly_2021_42VUL_M_R': 297, 'SIBERIA_2024_GWL_FCS30D_2022_42VUL_M_R': 588, 'SIBERIA_2024_WorldCover_2021_42VUL_M_R': 547}",42VUL,
1,382,658,738,694,604,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42VVL_M_R': 604, 'SIBERIA_2024_GLC_FCS30D_2022_42VVL_M_R': 658, 'SIBERIA_2024_GSW_Yearly_2021_42VVL_M_R': 382, 'SIBERIA_2024_GWL_FCS30D_2022_42VVL_M_R': 738, 'SIBERIA_2024_WorldCover_2021_42VVL_M_R': 694}",42VVL,
2,418,806,873,821,698,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42VVQ_M_R': 698, 'SIBERIA_2024_GLC_FCS30D_2022_42VVQ_M_R': 806, 'SIBERIA_2024_GSW_Yearly_2021_42VVQ_M_R': 418, 'SIBERIA_2024_GWL_FCS30D_2022_42VVQ_M_R': 873, 'SIBERIA_2024_WorldCover_2021_42VVQ_M_R': 821}",42VVQ,
3,546,931,1021,948,814,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_41VNG_M_R': 814, 'SIBERIA_2024_GLC_FCS30D_2022_41VNG_M_R': 931, 'SIBERIA_2024_GSW_Yearly_2021_41VNG_M_R': 546, 'SIBERIA_2024_GWL_FCS30D_2022_41VNG_M_R': 1021, 'SIBERIA_2024_WorldCover_2021_41VNG_M_R': 948}",41VNG,
4,531,891,979,920,774,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42VUM_M_R': 774, 'SIBERIA_2024_GLC_FCS30D_2022_42VUM_M_R': 891, 'SIBERIA_2024_GSW_Yearly_2021_42VUM_M_R': 531, 'SIBERIA_2024_GWL_FCS30D_2022_42VUM_M_R': 979, 'SIBERIA_2024_WorldCover_2021_42VUM_M_R': 920}",42VUM,
5,561,989,1088,1005,884,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42VVM_M_R': 884, 'SIBERIA_2024_GLC_FCS30D_2022_42VVM_M_R': 989, 'SIBERIA_2024_GSW_Yearly_2021_42VVM_M_R': 561, 'SIBERIA_2024_GWL_FCS30D_2022_42VVM_M_R': 1088, 'SIBERIA_2024_WorldCover_2021_42VVM_M_R': 1005}",42VVM,
6,322,639,701,637,529,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42VUN_M_R': 529, 'SIBERIA_2024_GLC_FCS30D_2022_42VUN_M_R': 639, 'SIBERIA_2024_GSW_Yearly_2021_42VUN_M_R': 322, 'SIBERIA_2024_GWL_FCS30D_2022_42VUN_M_R': 701, 'SIBERIA_2024_WorldCover_2021_42VUN_M_R': 637}",42VUN,
7,465,879,953,887,770,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42VUP_M_R': 770, 'SIBERIA_2024_GLC_FCS30D_2022_42VUP_M_R': 879, 'SIBERIA_2024_GSW_Yearly_2021_42VUP_M_R': 465, 'SIBERIA_2024_GWL_FCS30D_2022_42VUP_M_R': 953, 'SIBERIA_2024_WorldCover_2021_42VUP_M_R': 887}",42VUP,
8,330,579,638,593,515,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_41WPM_M_R': 515, 'SIBERIA_2024_GLC_FCS30D_2022_41WPM_M_R': 579, 'SIBERIA_2024_GSW_Yearly_2021_41WPM_M_R': 330, 'SIBERIA_2024_GWL_FCS30D_2022_41WPM_M_R': 638, 'SIBERIA_2024_WorldCover_2021_41WPM_M_R': 593}",41WPM,
9,503,926,1001,956,835,"{'SIBERIA_2024_ESRI_Annual_LULC_2024_42VUQ_M_R': 835, 'SIBERIA_2024_GLC_FCS30D_2022_42VUQ_M_R': 926, 'SIBERIA_2024_GSW_Yearly_2021_42VUQ_M_R': 503, 'SIBERIA_2024_GWL_FCS30D_2022_42VUQ_M_R': 1001, 'SIBERIA_2024_WorldCover_2021_42VUQ_M_R': 956}",42VUQ,
