Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Forest,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland,Built-up
SIBERIA_2024_WorldCover_2021_45XWC_M_R,Shrubland,32,43,21,5,23,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45XWC_M_R,Grassland,0,3,3,3,2,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45XWC_M_R,Wetland,111,0,79,47,129,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45XWC_M_R,Lichens_and_Mosses,3,3,0,3,2,2,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45XWC_M_R,Bareland,32,49,53,0,63,2,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45XWC_M_R,Built-up,1,1,6,4,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45XWC_M_R,Water,56,61,47,36,0,0,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_45XWC_M_R,Permanent_ice_and_snow,16,16,23,21,19,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45XWC_M_R,Forest,18,39,9,2,13,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45XWC_M_R,Shrubland,0,0,0,0,0,0,0,59,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45XWC_M_R,Grassland,0,0,0,0,0,0,0,17,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45XWC_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,12,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45XWC_M_R,Bareland,0,18,0,0,5,0,0,78,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45XWC_M_R,Built-up,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45XWC_M_R,Forest,0,0,0,0,0,0,0,44,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45XWC_M_R,Wetland,0,0,0,0,16,0,0,278,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45XWC_M_R,Water,0,26,0,0,0,0,0,66,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45XWC_M_R,Permanent_ice_and_snow,0,2,0,0,0,0,0,15,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45XWC_M_R,Shrubland,0,0,0,0,28,0,0,0,3,0,0
SIBERIA_2024_GSW_Yearly_2021_45XWC_M_R,Grassland,0,0,0,0,10,0,0,0,3,0,0
SIBERIA_2024_GSW_Yearly_2021_45XWC_M_R,Wetland,0,0,0,0,185,0,0,0,47,0,0
SIBERIA_2024_GSW_Yearly_2021_45XWC_M_R,Lichens_and_Mosses,0,0,0,0,13,0,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_45XWC_M_R,Bareland,0,0,0,0,70,0,0,0,26,0,0
SIBERIA_2024_GSW_Yearly_2021_45XWC_M_R,Built-up,0,0,0,0,4,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_45XWC_M_R,Water,0,0,0,0,0,0,0,0,76,0,0
SIBERIA_2024_GSW_Yearly_2021_45XWC_M_R,Permanent_ice_and_snow,0,0,0,0,22,0,0,0,6,0,0
SIBERIA_2024_GSW_Yearly_2021_45XWC_M_R,Forest,0,0,0,0,24,0,0,0,4,0,0
SIBERIA_2024_GLC_FCS30D_2022_45XWC_M_R,Water,31,58,29,32,0,22,0,0,0,46,12
SIBERIA_2024_GLC_FCS30D_2022_45XWC_M_R,Wetland,51,0,41,58,26,45,1,0,0,71,4
SIBERIA_2024_GLC_FCS30D_2022_45XWC_M_R,Bareland,32,50,35,0,6,3,3,0,0,49,16
