Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Water,Forest,Cropland,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_42VUR_M_R,Shrubland,3,3,2,3,1,2,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUR_M_R,Grassland,0,2,0,1,1,1,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUR_M_R,Cropland,7,5,2,3,1,2,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUR_M_R,Wetland,39,0,6,9,8,24,34,11,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUR_M_R,Lichens_and_Mosses,3,3,0,3,1,2,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUR_M_R,Bareland,4,3,4,0,4,4,6,1,1,0,0,0
SIBERIA_2024_WorldCover_2021_42VUR_M_R,Built-up,15,15,3,6,0,8,14,0,1,0,0,0
SIBERIA_2024_WorldCover_2021_42VUR_M_R,Water,34,32,6,17,11,0,31,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUR_M_R,Forest,14,22,4,7,7,9,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_42VUR_M_R,Permanent_ice_and_snow,4,0,0,0,0,0,1,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUR_M_R,Shrubland,0,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUR_M_R,Grassland,0,0,0,0,0,0,0,0,0,5,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUR_M_R,Cropland,0,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUR_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUR_M_R,Bareland,0,0,0,0,0,1,0,0,0,5,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUR_M_R,Built-up,0,1,0,0,0,0,0,0,0,16,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUR_M_R,Forest,0,3,0,0,0,2,0,0,0,25,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUR_M_R,Wetland,0,0,0,0,0,2,0,0,0,86,0,0
SIBERIA_2024_GWL_FCS30D_2022_42VUR_M_R,Water,0,9,0,0,0,0,0,0,0,28,0,0
SIBERIA_2024_GSW_Yearly_2021_42VUR_M_R,Shrubland,0,0,0,0,0,4,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_42VUR_M_R,Grassland,0,0,0,0,0,4,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_42VUR_M_R,Cropland,0,0,0,0,0,5,0,0,0,0,2,0
SIBERIA_2024_GSW_Yearly_2021_42VUR_M_R,Wetland,0,0,0,0,0,42,0,0,0,0,10,0
SIBERIA_2024_GSW_Yearly_2021_42VUR_M_R,Lichens_and_Mosses,0,0,0,0,0,5,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_42VUR_M_R,Bareland,0,0,0,0,0,7,0,0,0,0,3,0
SIBERIA_2024_GSW_Yearly_2021_42VUR_M_R,Built-up,0,0,0,0,0,11,0,0,0,0,3,0
SIBERIA_2024_GSW_Yearly_2021_42VUR_M_R,Water,0,0,0,0,0,0,0,0,0,0,44,0
SIBERIA_2024_GSW_Yearly_2021_42VUR_M_R,Forest,0,0,0,0,0,16,0,0,0,0,6,0
SIBERIA_2024_GLC_FCS30D_2022_42VUR_M_R,Water,5,9,12,18,17,0,16,16,0,0,0,16
SIBERIA_2024_GLC_FCS30D_2022_42VUR_M_R,Cropland,0,0,0,2,0,0,2,0,0,0,0,1
SIBERIA_2024_GLC_FCS30D_2022_42VUR_M_R,Wetland,6,0,9,14,8,2,14,12,0,0,0,12
SIBERIA_2024_GLC_FCS30D_2022_42VUR_M_R,Bareland,0,0,0,0,2,1,1,1,0,0,0,1
SIBERIA_2024_GLC_FCS30D_2022_42VUR_M_R,Built-up,4,1,4,14,0,0,6,5,0,0,0,5
SIBERIA_2024_GLC_FCS30D_2022_42VUR_M_R,Permanent_ice_and_snow,0,0,0,2,0,0,1,0,0,0,0,1
SIBERIA_2024_GLC_FCS30D_2022_42VUR_M_R,Forest,5,3,6,13,5,2,0,6,0,0,0,8
SIBERIA_2024_ESRI_Annual_LULC_2024_42VUR_M_R,Wetland,0,0,0,6,6,12,11,4,4,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VUR_M_R,Forest,0,3,0,1,1,2,0,2,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VUR_M_R,Water,0,15,0,5,1,0,9,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VUR_M_R,Grassland,0,3,0,0,3,2,2,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VUR_M_R,Cropland,0,1,0,0,0,1,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VUR_M_R,Bareland,0,2,0,0,2,2,1,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VUR_M_R,Built-up,0,1,0,0,0,2,1,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_42VUR_M_R,Lichens_and_Mosses,0,0,0,0,0,1,1,0,0,0,0,0
