Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Water,Forest,Permanent_ice_and_snow,Cropland,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_43VDH_M_R,Shrubland,3,3,3,3,3,2,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VDH_M_R,Grassland,0,3,1,1,1,0,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VDH_M_R,Cropland,14,15,3,6,8,4,13,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VDH_M_R,Wetland,43,0,26,30,35,33,40,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VDH_M_R,Lichens_and_Mosses,3,3,0,2,1,0,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VDH_M_R,Bareland,22,11,15,0,14,12,15,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VDH_M_R,Built-up,22,21,9,17,0,14,21,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VDH_M_R,Water,43,44,21,33,26,0,41,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_43VDH_M_R,Forest,22,19,11,12,15,13,0,0,1,0,0,0
SIBERIA_2024_WorldCover_2021_43VDH_M_R,Permanent_ice_and_snow,15,10,3,7,10,4,14,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VDH_M_R,Shrubland,0,0,0,0,0,0,0,0,0,3,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VDH_M_R,Grassland,0,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VDH_M_R,Cropland,0,0,0,0,0,0,0,0,0,15,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VDH_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VDH_M_R,Bareland,0,3,0,0,0,2,0,0,0,14,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VDH_M_R,Built-up,0,3,0,0,0,2,0,0,0,24,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VDH_M_R,Forest,0,3,0,0,0,2,0,0,0,22,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VDH_M_R,Wetland,0,0,0,0,0,2,0,0,0,145,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VDH_M_R,Water,0,8,0,0,0,0,0,0,0,30,0,0
SIBERIA_2024_GWL_FCS30D_2022_43VDH_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,10,0,0
SIBERIA_2024_GSW_Yearly_2021_43VDH_M_R,Shrubland,0,0,0,0,0,6,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_43VDH_M_R,Grassland,0,0,0,0,0,7,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_43VDH_M_R,Wetland,0,0,0,0,0,72,0,0,0,0,13,0
SIBERIA_2024_GSW_Yearly_2021_43VDH_M_R,Lichens_and_Mosses,0,0,0,0,0,4,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_43VDH_M_R,Bareland,0,0,0,0,0,30,0,0,0,0,7,0
SIBERIA_2024_GSW_Yearly_2021_43VDH_M_R,Built-up,0,0,0,0,0,35,0,0,0,0,7,0
SIBERIA_2024_GSW_Yearly_2021_43VDH_M_R,Water,0,0,0,0,0,0,0,0,0,0,67,0
SIBERIA_2024_GSW_Yearly_2021_43VDH_M_R,Forest,0,0,0,0,0,30,0,0,0,0,7,0
SIBERIA_2024_GSW_Yearly_2021_43VDH_M_R,Cropland,0,0,0,0,0,9,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_43VDH_M_R,Permanent_ice_and_snow,0,0,0,0,0,12,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43VDH_M_R,Water,14,8,16,26,25,0,25,0,13,0,0,24
SIBERIA_2024_GLC_FCS30D_2022_43VDH_M_R,Cropland,4,0,5,17,9,0,8,0,0,0,0,8
SIBERIA_2024_GLC_FCS30D_2022_43VDH_M_R,Wetland,14,0,18,18,18,2,20,0,18,0,0,22
SIBERIA_2024_GLC_FCS30D_2022_43VDH_M_R,Bareland,4,3,6,0,15,2,14,0,6,0,0,14
SIBERIA_2024_GLC_FCS30D_2022_43VDH_M_R,Built-up,11,3,12,18,0,2,15,0,6,0,0,17
SIBERIA_2024_GLC_FCS30D_2022_43VDH_M_R,Permanent_ice_and_snow,3,0,5,16,11,0,10,0,3,0,0,12
SIBERIA_2024_GLC_FCS30D_2022_43VDH_M_R,Forest,7,3,9,19,12,2,0,0,10,0,0,17
SIBERIA_2024_ESRI_Annual_LULC_2024_43VDH_M_R,Grassland,0,3,0,2,3,2,3,3,1,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VDH_M_R,Wetland,0,0,0,18,16,15,14,13,12,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VDH_M_R,Bareland,0,3,0,0,3,2,3,3,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VDH_M_R,Built-up,0,3,0,3,0,2,3,3,2,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VDH_M_R,Water,0,28,0,20,18,0,15,16,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VDH_M_R,Forest,0,3,0,3,3,2,0,3,3,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_43VDH_M_R,Lichens_and_Mosses,0,3,0,0,1,1,1,0,0,0,0,0
