Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Water,Permanent_ice_and_snow,Forest,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_41WPR_M_R,Shrubland,32,30,13,6,2,25,2,10,0,0,0
SIBERIA_2024_WorldCover_2021_41WPR_M_R,Grassland,0,3,3,3,1,2,0,3,0,0,0
SIBERIA_2024_WorldCover_2021_41WPR_M_R,Wetland,89,0,46,43,7,77,2,32,0,0,0
SIBERIA_2024_WorldCover_2021_41WPR_M_R,Lichens_and_Mosses,3,3,0,3,1,2,2,3,0,0,0
SIBERIA_2024_WorldCover_2021_41WPR_M_R,Bareland,41,33,30,0,2,39,12,11,0,0,0
SIBERIA_2024_WorldCover_2021_41WPR_M_R,Built-up,7,7,9,8,0,2,1,7,0,0,0
SIBERIA_2024_WorldCover_2021_41WPR_M_R,Water,55,49,41,37,6,0,13,31,0,0,0
SIBERIA_2024_WorldCover_2021_41WPR_M_R,Permanent_ice_and_snow,23,21,26,26,5,19,0,20,0,0,0
SIBERIA_2024_WorldCover_2021_41WPR_M_R,Forest,33,30,20,16,3,21,1,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPR_M_R,Shrubland,0,0,0,0,0,0,0,0,56,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPR_M_R,Grassland,0,0,0,0,0,0,0,0,12,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPR_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,9,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPR_M_R,Bareland,0,7,0,0,0,2,0,0,66,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPR_M_R,Built-up,0,0,0,0,0,0,0,0,9,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPR_M_R,Forest,0,3,0,0,0,2,0,0,46,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPR_M_R,Wetland,0,0,0,0,0,16,0,0,232,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPR_M_R,Water,0,18,0,0,0,0,0,0,57,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPR_M_R,Permanent_ice_and_snow,0,3,0,0,0,2,0,0,21,0,0
SIBERIA_2024_GSW_Yearly_2021_41WPR_M_R,Shrubland,0,0,0,0,0,18,0,0,0,4,0
SIBERIA_2024_GSW_Yearly_2021_41WPR_M_R,Grassland,0,0,0,0,0,8,0,0,0,2,0
SIBERIA_2024_GSW_Yearly_2021_41WPR_M_R,Wetland,0,0,0,0,0,113,0,0,0,26,0
