Dataset,MajorityClass,Grassland,Bareland,Built-up,Shrubland,Lichens_and_Mosses,Water,Forest,Wetland,Non_Wetland,Non_Water,Permanent_ice_and_snow,Cropland
SIBERIA_2024_GLC_FCS30D_2022_41WPU_M_R,Cropland,1,1,1,0,0,0,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_41WPU_M_R,Wetland,20,21,21,23,23,6,7,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_41WPU_M_R,Bareland,19,0,19,19,23,10,5,18,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_41WPU_M_R,Built-up,2,3,0,3,3,0,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_41WPU_M_R,Water,11,16,11,13,16,0,3,21,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_41WPU_M_R,Permanent_ice_and_snow,3,6,3,2,4,1,0,2,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_41WPU_M_R,Forest,13,17,9,16,15,0,0,1,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_41WPU_M_R,Shrubland,17,18,18,0,20,1,7,1,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPU_M_R,Wetland,0,0,0,0,0,2,0,0,115,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPU_M_R,Water,0,0,0,0,0,0,0,12,19,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPU_M_R,Shrubland,0,0,0,0,0,0,0,0,18,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPU_M_R,Bareland,0,0,0,0,0,2,0,3,21,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPU_M_R,Built-up,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPU_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WPU_M_R,Forest,0,0,0,0,0,0,0,1,18,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41WPU_M_R,Wetland,0,0,0,0,0,72,0,0,0,8,0,0
SIBERIA_2024_GSW_Yearly_2021_41WPU_M_R,Water,0,0,0,0,0,0,0,0,0,39,0,0
SIBERIA_2024_GSW_Yearly_2021_41WPU_M_R,Bareland,0,0,0,0,0,40,0,0,0,10,0,0
SIBERIA_2024_GSW_Yearly_2021_41WPU_M_R,Built-up,0,0,0,0,0,7,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41WPU_M_R,Permanent_ice_and_snow,0,0,0,0,0,6,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_41WPU_M_R,Forest,0,0,0,0,0,20,0,0,0,3,0,0
SIBERIA_2024_GSW_Yearly_2021_41WPU_M_R,Shrubland,0,0,0,0,0,29,0,0,0,6,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPU_M_R,Water,0,17,15,0,0,0,8,34,0,0,15,2
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPU_M_R,Wetland,0,20,27,0,0,24,23,0,0,0,26,5
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPU_M_R,Shrubland,0,9,11,0,0,13,15,19,0,0,14,3
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPU_M_R,Bareland,0,0,16,0,0,13,11,20,0,0,16,3
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPU_M_R,Permanent_ice_and_snow,0,0,0,0,0,4,0,1,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WPU_M_R,Forest,0,0,4,0,0,9,0,18,0,0,7,0
SIBERIA_2024_ESA_CALU_2024_41WPU_M_R,Wetland,0,21,0,21,0,3,10,0,0,0,2,0
SIBERIA_2024_ESA_CALU_2024_41WPU_M_R,Water,0,30,0,27,0,0,16,27,0,0,10,0
SIBERIA_2024_ESA_CALU_2024_41WPU_M_R,Bareland,0,0,0,3,0,1,0,3,0,0,0,0
SIBERIA_2024_ESA_CALU_2024_41WPU_M_R,Built-up,0,3,0,3,0,0,1,3,0,0,0,0
SIBERIA_2024_ESA_CALU_2024_41WPU_M_R,Forest,0,0,0,1,0,0,0,0,0,0,0,0
