Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Forest,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_45VVK_M_R,Shrubland,3,3,3,3,1,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVK_M_R,Grassland,0,3,2,2,0,3,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVK_M_R,Cropland,5,3,1,0,0,6,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVK_M_R,Wetland,25,0,7,3,21,29,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVK_M_R,Lichens_and_Mosses,3,1,0,1,0,2,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVK_M_R,Bareland,18,6,20,0,12,9,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVK_M_R,Built-up,5,3,2,1,0,9,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVK_M_R,Water,37,29,31,26,0,33,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVK_M_R,Forest,19,16,11,9,10,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45VVK_M_R,Permanent_ice_and_snow,18,14,12,10,7,16,3,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVK_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVK_M_R,Grassland,0,0,0,0,0,0,0,5,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVK_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVK_M_R,Bareland,0,1,0,0,2,0,0,6,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVK_M_R,Built-up,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVK_M_R,Forest,0,3,0,0,2,0,0,19,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVK_M_R,Cropland,0,0,0,0,0,0,0,3,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVK_M_R,Wetland,0,0,0,0,2,0,0,45,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVK_M_R,Water,0,8,0,0,0,0,0,19,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45VVK_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,14,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVK_M_R,Shrubland,0,0,0,0,5,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVK_M_R,Grassland,0,0,0,0,8,0,0,0,1,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVK_M_R,Wetland,0,0,0,0,34,0,0,0,10,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVK_M_R,Lichens_and_Mosses,0,0,0,0,5,0,0,0,1,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVK_M_R,Bareland,0,0,0,0,28,0,0,0,7,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVK_M_R,Built-up,0,0,0,0,5,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVK_M_R,Water,0,0,0,0,0,0,0,0,54,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVK_M_R,Forest,0,0,0,0,30,0,0,0,6,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45VVK_M_R,Permanent_ice_and_snow,0,0,0,0,26,0,0,0,3,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VVK_M_R,Water,16,8,15,20,0,20,18,0,0,20,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VVK_M_R,Cropland,1,0,0,4,0,3,1,0,0,4,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VVK_M_R,Wetland,4,0,0,12,2,9,2,0,0,9,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VVK_M_R,Bareland,7,1,6,0,2,8,9,0,0,12,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VVK_M_R,Built-up,2,0,0,3,0,2,0,0,0,3,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VVK_M_R,Permanent_ice_and_snow,13,0,7,16,0,13,7,0,0,16,0,0
SIBERIA_2024_GLC_FCS30D_2022_45VVK_M_R,Forest,9,3,4,15,2,0,7,0,0,15,2,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVK_M_R,Grassland,0,2,0,3,2,3,1,0,0,0,1,3
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVK_M_R,Wetland,0,0,0,9,12,13,1,0,0,0,6,12
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVK_M_R,Forest,0,3,0,3,2,0,1,0,0,0,1,3
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVK_M_R,Water,0,13,0,19,0,14,0,0,0,0,0,17
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVK_M_R,Lichens_and_Mosses,0,0,0,3,2,0,0,0,0,0,0,3
SIBERIA_2024_ESRI_Annual_LULC_2024_45VVK_M_R,Bareland,0,0,0,0,2,2,0,0,0,0,0,3
