Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Forest,Built-up,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland
SIBERIA_2024_WorldCover_2021_43WDV_M_R,Shrubland,14,22,12,12,14,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WDV_M_R,Grassland,0,3,3,3,2,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WDV_M_R,Wetland,26,0,26,20,29,0,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WDV_M_R,Lichens_and_Mosses,3,3,0,3,2,1,1,1,0,0,0
SIBERIA_2024_WorldCover_2021_43WDV_M_R,Bareland,14,18,14,0,14,1,3,2,0,0,0
SIBERIA_2024_WorldCover_2021_43WDV_M_R,Built-up,3,3,3,3,2,1,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WDV_M_R,Water,14,26,15,12,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WDV_M_R,Forest,6,17,3,0,6,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_43WDV_M_R,Permanent_ice_and_snow,1,0,1,0,0,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WDV_M_R,Shrubland,0,0,0,0,0,0,0,0,22,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WDV_M_R,Grassland,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WDV_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,6,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WDV_M_R,Bareland,0,3,0,0,2,0,0,0,20,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WDV_M_R,Built-up,0,0,0,0,0,0,0,0,4,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WDV_M_R,Forest,0,0,0,0,0,0,0,0,17,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WDV_M_R,Wetland,0,0,0,0,2,0,0,0,55,0,0
SIBERIA_2024_GWL_FCS30D_2022_43WDV_M_R,Water,0,5,0,0,0,0,0,0,14,0,0
SIBERIA_2024_GSW_Yearly_2021_43WDV_M_R,Shrubland,0,0,0,0,19,0,0,0,0,6,0
SIBERIA_2024_GSW_Yearly_2021_43WDV_M_R,Grassland,0,0,0,0,7,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_43WDV_M_R,Wetland,0,0,0,0,43,0,0,0,0,8,0
SIBERIA_2024_GSW_Yearly_2021_43WDV_M_R,Lichens_and_Mosses,0,0,0,0,7,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_43WDV_M_R,Bareland,0,0,0,0,23,0,0,0,0,8,0
SIBERIA_2024_GSW_Yearly_2021_43WDV_M_R,Built-up,0,0,0,0,4,0,0,0,0,1,0
SIBERIA_2024_GSW_Yearly_2021_43WDV_M_R,Water,0,0,0,0,0,0,0,0,0,24,0
SIBERIA_2024_GSW_Yearly_2021_43WDV_M_R,Forest,0,0,0,0,5,0,0,0,0,2,0
SIBERIA_2024_GSW_Yearly_2021_43WDV_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43WDV_M_R,Water,5,6,13,11,0,1,5,0,0,0,10
SIBERIA_2024_GLC_FCS30D_2022_43WDV_M_R,Shrubland,11,0,12,11,0,5,10,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43WDV_M_R,Wetland,10,0,11,11,2,2,11,0,0,0,10
SIBERIA_2024_GLC_FCS30D_2022_43WDV_M_R,Bareland,9,5,12,0,2,0,13,0,0,0,10
SIBERIA_2024_GLC_FCS30D_2022_43WDV_M_R,Permanent_ice_and_snow,0,0,0,2,0,0,0,0,0,0,0
SIBERIA_2024_GLC_FCS30D_2022_43WDV_M_R,Forest,3,0,5,6,0,0,1,0,0,0,6
SIBERIA_2024_ESA_CALU_2024_43WDV_M_R,Grassland,0,3,0,3,0,1,0,0,0,0,3
SIBERIA_2024_ESA_CALU_2024_43WDV_M_R,Water,0,18,0,19,0,9,0,1,0,0,16
SIBERIA_2024_ESA_CALU_2024_43WDV_M_R,Wetland,0,0,0,15,3,6,0,2,0,0,15
SIBERIA_2024_ESA_CALU_2024_43WDV_M_R,Lichens_and_Mosses,0,3,0,3,1,1,0,0,0,0,3
SIBERIA_2024_ESA_CALU_2024_43WDV_M_R,Bareland,0,2,0,0,1,0,0,0,0,0,3
SIBERIA_2024_ESA_CALU_2024_43WDV_M_R,Built-up,0,1,0,1,0,0,0,0,0,0,0
